variant,exit_vix_below,atr_window,atr_mult,cooldown_days,is_return_pct,is_max_drawdown_pct,is_sharpe,oos_return_pct,oos_max_drawdown_pct,oos_sharpe,full_return_pct,full_max_drawdown_pct,full_sharpe,oos_exposure_days_pct,trades
exit VIX<15; ATR21 trail 2x,15,21.0,2.0,0,36.0,-46.04,0.251,1114.49,-66.93,0.951,1551.67,-66.93,0.613,15.02,20
exit VIX<15; ATR21 trail 2x; cooldown 21d,15,21.0,2.0,21,-8.31,-57.79,0.072,774.79,-38.56,0.944,702.1,-57.79,0.539,12.16,15
exit VIX<15; ATR21 trail 3x,15,21.0,3.0,0,138.85,-39.29,0.447,1920.93,-62.84,1.082,4726.98,-62.84,0.76,18.58,12
exit VIX<15; ATR21 trail 3x; cooldown 21d,15,21.0,3.0,21,32.36,-58.34,0.24,1415.46,-56.04,1.066,1905.88,-58.34,0.664,17.27,12
exit VIX<15; ATR21 trail 4x,15,21.0,4.0,0,109.13,-53.17,0.396,1548.23,-62.84,1.012,3346.89,-62.84,0.701,20.39,12
exit VIX<15; ATR21 trail 4x; cooldown 21d,15,21.0,4.0,21,67.02,-62.6,0.324,1135.98,-56.04,0.983,1964.29,-62.6,0.653,19.08,12
exit VIX<15; ATR21 trail 5x,15,21.0,5.0,0,116.31,-51.56,0.399,740.5,-72.45,0.837,1718.12,-72.45,0.61,23.38,11
exit VIX<15; ATR21 trail 5x; cooldown 21d,15,21.0,5.0,21,116.31,-51.56,0.399,479.36,-73.15,0.757,1153.23,-73.15,0.568,22.07,11
exit VIX<15; ATR21 trail 6x,15,21.0,6.0,0,299.89,-49.45,0.571,686.05,-72.45,0.817,3043.31,-72.45,0.673,25.94,10
exit VIX<15; ATR21 trail 6x; cooldown 21d,15,21.0,6.0,21,299.89,-49.45,0.571,695.71,-72.45,0.825,3081.93,-72.45,0.678,24.31,10
exit VIX<20; ATR10 trail 2x,20,10.0,2.0,0,-13.22,-53.35,0.078,1138.75,-76.91,0.96,974.96,-76.91,0.556,13.53,20
exit VIX<20; ATR10 trail 2x; cooldown 21d,20,10.0,2.0,21,-31.07,-62.94,-0.076,1177.85,-38.56,1.097,780.83,-62.94,0.567,10.66,15
exit VIX<20; ATR10 trail 3x,20,10.0,3.0,0,25.21,-39.29,0.22,1524.6,-62.84,1.038,1934.23,-62.84,0.647,14.96,12
exit VIX<20; ATR10 trail 3x; cooldown 21d,20,10.0,3.0,21,-26.48,-58.34,-0.001,1118.26,-56.04,1.02,795.69,-58.87,0.545,13.65,12
exit VIX<20; ATR10 trail 4x,20,10.0,4.0,0,-16.36,-50.85,0.082,1645.43,-68.14,1.044,1359.86,-68.14,0.594,16.4,12
exit VIX<20; ATR10 trail 4x; cooldown 21d,20,10.0,4.0,21,-33.2,-60.75,-0.017,805.65,-73.27,0.907,504.95,-77.28,0.477,15.09,12
exit VIX<20; ATR10 trail 5x,20,10.0,5.0,0,23.76,-44.25,0.227,1424.91,-72.45,1.008,1787.26,-72.45,0.625,17.96,10
exit VIX<20; ATR10 trail 5x; cooldown 21d,20,10.0,5.0,21,23.76,-44.25,0.227,1133.91,-72.45,0.982,1427.12,-72.45,0.605,16.65,10
exit VIX<20; ATR10 trail 6x,20,10.0,6.0,0,61.05,-51.31,0.311,1971.29,-72.45,1.08,3235.82,-72.45,0.696,17.96,10
exit VIX<20; ATR10 trail 6x; cooldown 21d,20,10.0,6.0,21,61.05,-51.31,0.311,1534.16,-72.45,1.047,2531.82,-72.45,0.674,16.58,10
exit VIX<20; ATR14 trail 2x,20,14.0,2.0,0,27.82,-40.77,0.226,1138.75,-76.91,0.96,1483.32,-76.91,0.612,13.53,20
exit VIX<20; ATR14 trail 2x; cooldown 21d,20,14.0,2.0,21,-10.0,-51.61,0.054,1177.85,-38.56,1.097,1050.08,-51.61,0.617,10.66,15
exit VIX<20; ATR14 trail 3x,20,14.0,3.0,0,27.94,-39.29,0.229,1674.85,-62.84,1.065,2170.71,-62.84,0.664,14.84,12
