year,strategy,return_pct,max_drawdown_pct
2020,SMH_HIST_PIT Top2 L252 S0 smh_sma100 DCA1,19.48,-12.08
2021,SMH_HIST_PIT Top2 L252 S0 smh_sma100 DCA1,-3.04,-12.17
2022,SMH_HIST_PIT Top2 L252 S0 smh_sma100 DCA1,-7.12,-7.12
2023,SMH_HIST_PIT Top2 L252 S0 smh_sma100 DCA1,69.72,-9.54
2024,SMH_HIST_PIT Top2 L252 S0 smh_sma100 DCA1,48.19,-11.3
2025,SMH_HIST_PIT Top2 L252 S0 smh_sma100 DCA1,84.55,-0.69
2026,SMH_HIST_PIT Top2 L252 S0 smh_sma100 DCA1,58.72,-11.45
2020,SMH buy-and-hold,54.45,-21.11
2021,SMH buy-and-hold,35.99,-5.38
2022,SMH buy-and-hold,-24.65,-32.46
2023,SMH buy-and-hold,45.49,-12.82
2024,SMH buy-and-hold,31.53,-8.48
2025,SMH buy-and-hold,56.84,-10.6
2026,SMH buy-and-hold,44.49,-2.66
