year,SMH_HIST_PIT Top2 L252 S0 smh_sma100 DCA1,SMH buy-and-hold
2020,-12.08,-21.11
2021,-12.17,-5.38
2022,-7.12,-32.46
2023,-9.54,-12.82
2024,-11.3,-8.48
2025,-0.69,-10.6
2026,-11.45,-2.66
