outcome,trades,average_return_pct,median_return_pct,average_holding_trading_days,median_holding_trading_days,average_holding_calendar_days,median_holding_calendar_days
loss,50,-10.93,-8.6,32.98,21.0,48.18,31.5
win,71,27.34,12.57,44.59,22.0,64.61,32.0
