strategy,top_n,membership_filter,strategy_return,max_drawdown,sharpe_ratio,trade_count,buy_count,sell_count,rebalance_count,skipped_not_yet_nasdaq100,membership_violations,known_date_buys,assumed_prewindow_buys,final_holdings,qqq_return,vgt_return,excess_vs_qqq,excess_vs_vgt
Nasdaq-100 Top1 current-member baseline,1,Current members only,36.068504466221526,-0.6735613409514634,1.0934295881927334,77,39,38,77,0,0,35,4,SNDK,2.4031212760398413,2.8060615783331975,33.665383190181686,33.26244288788833
Nasdaq-100 Top1 PIT membership,1,Nasdaq-100 changes date,36.4262435621438,-0.6036179567076583,1.1661892980586275,79,40,39,77,77,0,30,10,SNDK,2.4031212760398413,2.8060615783331975,34.02312228610396,33.6201819838106
Nasdaq-100 Top2 current-member baseline,2,Current members only,69.82732737393131,-0.527894337453052,1.3768496746355452,138,70,68,77,0,0,61,9,"SNDK, WDC",2.4031212760398413,2.8060615783331975,67.42420609789147,67.02126579559811
Nasdaq-100 Top2 PIT membership,2,Nasdaq-100 changes date,28.110581245958382,-0.5248730230319683,1.2339250371035453,146,74,72,77,123,0,60,14,"SNDK, WDC",2.4031212760398413,2.8060615783331975,25.707459969918542,25.304519667625186
Nasdaq-100 Top3 current-member baseline,3,Current members only,133.31007454540338,-0.4548696830050176,1.6791776918352608,205,104,101,77,0,0,93,11,"SNDK, WDC, STX",2.4031212760398413,2.8060615783331975,130.90695326936353,130.5040129670702
Nasdaq-100 Top3 PIT membership,3,Nasdaq-100 changes date,18.57297827643946,-0.45486968300501784,1.217354009877153,213,108,105,77,161,0,88,20,"SNDK, WDC, STX",2.4031212760398413,2.8060615783331975,16.16985700039962,15.766916698106263
