date,NASDAQ100 Top3 L126 S21 none DCA3,QQQ buy-and-hold
2020-01-01,1.0,1.0
2020-01-02,1.1755186678527827,1.0267723637987065
2020-02-03,1.1663661435746102,0.9742538666263463
2020-03-02,0.9463713623461925,0.8636369607498366
2020-04-01,1.178792358572105,1.0025985532944968
2020-05-01,1.4298455509789278,1.0865456882411448
2020-06-01,1.7651738079247,1.1595117973897255
2020-07-01,2.1400579865336518,1.2548424377073633
2020-08-03,2.61024014370727,1.3935303629134532
2020-09-01,2.47264288120348,1.3194106838982669
2020-10-01,2.671335377051081,1.2728692569243707
2020-11-02,3.1559193901907014,1.4138980872137747
2020-12-01,3.2763347498026887,1.4780973230569558
2021-01-04,4.055995835906999,1.4921691969879363
2021-02-01,3.6810361485652088,1.4976106962762499
2021-03-01,3.4260747521561368,1.5173495506090446
2021-04-01,3.739651552029872,1.5932478930053897
2021-05-03,3.8401848323852668,1.5747897148258143
2021-06-01,4.23285157847799,1.6648748994240026
2021-07-01,5.136469297670249,1.722287813759203
2021-08-02,5.445271954881091,1.7916909991602123
2021-09-01,4.9862013436869175,1.6880450101502997
2021-10-01,5.533405157346632,1.8196616077193302
2021-11-01,5.0402361869830115,1.8748314047116188
2021-12-01,4.585175660907461,1.880855169262816
2022-01-03,3.6850213488188293,1.7176797737197873
2022-02-01,3.4584756771449463,1.6296347568363
2022-03-01,3.9398653112082114,1.7121582250199092
2022-04-01,3.68610381467782,1.4762947160729625
2022-05-02,3.7968063736499036,1.465157390242923
2022-06-01,3.7164577188152594,1.3189401017382683
2022-07-01,3.777362274045756,1.4830095990688346
2022-08-01,4.663326911079307,1.4029604245783631
2022-09-01,4.671464966168704,1.2745114967657714
2022-10-03,4.508109099079771,1.3333890364970882
2022-11-01,5.149408648572356,1.391129517715119
2022-12-01,4.802994567186917,1.2755686385828862
2023-01-03,5.25644256510849,1.3978788700041014
2023-02-01,4.8372171307168506,1.392418340146691
2023-03-01,4.665922637947375,1.515884933270581
2023-04-03,4.571564703128848,1.5316725254384713
2023-05-01,5.7682591059815715,1.6536020350881477
2023-06-01,6.574615399941355,1.7622519232913576
2023-07-03,6.996470983890975,1.8205380123090655
2023-08-01,6.966803583487717,1.8114426704300757
2023-09-01,6.493060337113902,1.7098181370982841
2023-10-02,6.446010676833321,1.677294330652091
2023-11-01,7.564408541561118,1.849115647671731
2023-12-01,7.52314030858059,1.9402697565450642
2024-01-02,7.891056716345869,2.0021820032468463
2024-02-01,8.113312001474402,2.1031062703814167
2024-03-01,7.473736460222438,2.130158345022087
2024-04-01,6.649990746721688,2.025701530930454
2024-05-01,7.4239609839516465,2.176115118393745
2024-06-03,7.600522347975159,2.301697607663557
2024-07-01,6.698262507871273,2.2619969368242923
2024-08-01,6.779212544909127,2.268901550606801
2024-09-03,6.832802141591921,2.3417120216702507
2024-10-01,6.530952532856168,2.3311486268080546
2024-11-01,6.267563987313767,2.453636436187886
2024-12-02,6.331545488260805,2.4734150075572736
2025-01-02,6.652927098649011,2.46942299457374
2025-02-03,6.492117250284428,2.460045138111249
2025-03-03,5.849543966306559,2.250729962311133
2025-04-01,7.084141350794397,2.328323071893993
2025-05-01,8.568953072481353,2.4912640827376324
2025-06-02,9.184432801586565,2.6507241588817054
2025-07-01,9.003410707401239,2.6946031991254813
2025-08-01,9.252723610965447,2.7065615041545077
2025-09-02,9.893337637259423,2.8828114476456124
2025-10-01,10.452498715260557,3.0659650868857398
2025-11-03,10.316268152269574,2.9622715611437838
2025-12-01,12.046500977589055,2.9971688434417003
2026-01-02,12.940008538829755,2.9905950079071197
2026-02-02,13.377896318792716,2.894694636314946
2026-03-02,13.003477806828014,2.8142294842664626
2026-04-01,17.52387144748977,3.2385805003917927
2026-05-22,22.237271268541505,3.472728606540537
