variant,total_return,excess_vs_spmo,cagr,max_drawdown,sharpe,buy_trades,sell_trades,final_holdings
126 skip21,3.4724913567717692,1.4475661682205394,0.2838053523098658,-0.45594195687277794,0.7670236333780732,379,377,"SNDK, LITE"
252 skip21,1.5095704500262492,-0.5153547385249806,0.16585761850492586,-0.4626489382789194,0.5641434336540497,231,229,"WDC, LITE"
126 skip21 + SMA50 topN,1.1009276250377082,-0.9239975635135216,0.1318059868222179,-0.4792498297088915,0.5178501770109852,368,366,"SNDK, LITE"
252 risk-adjusted skip21,0.9536460161373361,-1.0712791724138937,0.11816917124153159,-0.433333789125535,0.48226235759695496,347,345,"WDC, STX"
126 raw baseline,0.6029222150773696,-1.4220029734738602,0.08187096754713918,-0.6048238066610814,0.4104279189659466,320,318,"SNDK, LITE"
126 raw + SMA50 topN,0.48516396293256236,-1.5397612256186675,0.06819041348646349,-0.5527172394877556,0.3742436809937549,335,333,"SNDK, LITE"
126 raw + SPY SMA200,0.38241779952286836,-1.6425073890283615,0.05549441801455335,-0.5055108241459842,0.34522112961041596,282,280,"SNDK, LITE"
126 raw + SMA50 topN + SPY SMA200,0.3139022882554139,-1.711022900295816,0.04658389170623933,-0.513340138516871,0.31824120065000905,294,292,"SNDK, LITE"
252 risk-adjusted skip21 + SMA50 topN,0.13991859749165103,-1.8850065910595788,0.022081354426652267,-0.31395804030370245,0.2261434275554612,312,310,"WDC, STX"
126 raw + SMA100 topN,0.10875166375144785,-1.916173524799782,0.01736665415976857,-0.5833864504590502,0.2775568510989887,327,325,"SNDK, LITE"
252 risk-adjusted skip21 + SMA50 topN + SPY SMA200,0.005988937085367185,-2.0189362514658624,0.0009963567774946558,-0.3639714830687636,0.15039945893840667,240,238,"WDC, STX"
126 risk-adjusted + SMA50 topN,-0.017003227050797598,-2.0419284156020274,-0.002856111512835713,-0.5480377970208445,0.1826510686031017,506,504,"SNDK, LITE"
252 skip21 + SMA50 topN,-0.07273014324560834,-2.097655331796838,-0.012514758826201011,-0.44624810265777315,0.13531951909246803,235,233,"WDC, LITE"
126 risk-adjusted,-0.12773097250547572,-2.1526561610567057,-0.022534059269811557,-0.6215651320482685,0.13584167167311947,515,513,"SNDK, LITE"
