is_rank,profile_pair,date,action,symbol,fraction,price,remaining_before,r_multiple,reason
1,risk_first_trend_runner__one_r_invalidation,2018-10-05,entry,TQQQ,1.0,7.714617,1.0,0.0,scanner target TQQQ
1,risk_first_trend_runner__one_r_invalidation,2018-10-10,stop_exit,TQQQ,1.0,6.943155,1.0,-1.0,active stop breached
1,risk_first_trend_runner__one_r_invalidation,2018-10-16,entry,TQQQ,1.0,7.226125,1.0,0.0,scanner target TQQQ
1,risk_first_trend_runner__one_r_invalidation,2018-10-18,scanner_exit,TQQQ,1.0,6.747162,1.0,-0.5205,target changed to CASH
1,risk_first_trend_runner__one_r_invalidation,2019-02-25,entry,TQQQ,1.0,6.127537,1.0,0.0,scanner target TQQQ
1,risk_first_trend_runner__one_r_invalidation,2019-03-01,scanner_exit,TQQQ,1.0,6.211051,1.0,0.1363,target changed to SOXL
1,risk_first_trend_runner__one_r_invalidation,2019-03-01,entry,SOXL,1.0,8.342928,1.0,0.0,scanner target SOXL
1,risk_first_trend_runner__one_r_invalidation,2019-03-07,stop_exit,SOXL,1.0,7.508635,1.0,-1.0,active stop breached
1,risk_first_trend_runner__one_r_invalidation,2019-03-07,entry,SOXL,1.0,7.558994,1.0,0.0,scanner target SOXL
1,risk_first_trend_runner__one_r_invalidation,2019-03-15,scale_out,SOXL,0.333333,8.839461,1.0,1.694,recover risk
1,risk_first_trend_runner__one_r_invalidation,2019-03-19,scale_out,SOXL,0.333333,9.137308,0.666667,2.088,lock profit
1,risk_first_trend_runner__one_r_invalidation,2019-03-27,stop_exit,SOXL,0.333333,8.314894,0.333333,1.0,active stop breached
1,risk_first_trend_runner__one_r_invalidation,2019-03-27,entry,SOXL,1.0,8.494652,1.0,0.0,scanner target SOXL
1,risk_first_trend_runner__one_r_invalidation,2019-04-03,scale_out,SOXL,0.333333,10.168774,1.0,1.4507,recover risk
1,risk_first_trend_runner__one_r_invalidation,2019-04-12,scale_out,SOXL,0.333333,10.828783,0.666667,2.0226,lock profit
1,risk_first_trend_runner__one_r_invalidation,2019-04-26,stop_exit,SOXL,0.333333,11.411536,0.333333,2.5275,active stop breached
1,risk_first_trend_runner__one_r_invalidation,2019-04-26,entry,SOXL,1.0,11.885312,1.0,0.0,scanner target SOXL
1,risk_first_trend_runner__one_r_invalidation,2019-05-07,stop_exit,SOXL,1.0,10.684092,1.0,-1.0,active stop breached
1,risk_first_trend_runner__one_r_invalidation,2019-05-07,entry,SOXL,1.0,10.952818,1.0,0.0,scanner target SOXL
1,risk_first_trend_runner__one_r_invalidation,2019-05-13,stop_exit,SOXL,1.0,9.452394,1.0,-1.0,active stop breached
1,risk_first_trend_runner__one_r_invalidation,2019-05-13,entry,SOXL,1.0,8.880244,1.0,0.0,scanner target SOXL
1,risk_first_trend_runner__one_r_invalidation,2019-05-23,stop_exit,SOXL,1.0,7.094665,1.0,-1.0,active stop breached
1,risk_first_trend_runner__one_r_invalidation,2019-05-23,entry,SOXL,1.0,7.249823,1.0,0.0,scanner target SOXL
1,risk_first_trend_runner__one_r_invalidation,2019-06-03,scanner_exit,SOXL,1.0,6.877723,1.0,-0.2023,target changed to CASH
1,risk_first_trend_runner__one_r_invalidation,2019-06-04,entry,TQQQ,1.0,6.065264,1.0,0.0,scanner target TQQQ
1,risk_first_trend_runner__one_r_invalidation,2019-06-10,scale_out,TQQQ,0.333333,6.948439,1.0,1.3564,recover risk
1,risk_first_trend_runner__one_r_invalidation,2019-06-19,scale_out,TQQQ,0.333333,7.392413,0.666667,2.0382,lock profit
1,risk_first_trend_runner__one_r_invalidation,2019-07-31,stop_exit,TQQQ,0.333333,7.691635,0.333333,2.4978,active stop breached
1,risk_first_trend_runner__one_r_invalidation,2019-07-31,entry,TQQQ,1.0,7.829226,1.0,0.0,scanner target TQQQ
1,risk_first_trend_runner__one_r_invalidation,2019-08-05,stop_exit,TQQQ,1.0,7.046303,1.0,-1.0,active stop breached
1,risk_first_trend_runner__one_r_invalidation,2019-08-05,entry,TQQQ,1.0,6.592782,1.0,0.0,scanner target TQQQ
1,risk_first_trend_runner__one_r_invalidation,2019-08-08,scale_out,TQQQ,0.333333,7.424636,1.0,1.0937,recover risk
1,risk_first_trend_runner__one_r_invalidation,2019-08-15,stop_exit,TQQQ,0.666667,6.592782,0.666667,0.0,active stop breached
1,risk_first_trend_runner__one_r_invalidation,2019-08-15,entry,TQQQ,1.0,6.727645,1.0,0.0,scanner target TQQQ
1,risk_first_trend_runner__one_r_invalidation,2019-09-03,scanner_exit,TQQQ,1.0,7.009306,1.0,0.2854,target changed to SOXL
1,risk_first_trend_runner__one_r_invalidation,2019-09-03,entry,SOXL,1.0,9.453563,1.0,0.0,scanner target SOXL
1,risk_first_trend_runner__one_r_invalidation,2019-09-05,scale_out,SOXL,0.333333,11.181579,1.0,1.2926,recover risk
1,risk_first_trend_runner__one_r_invalidation,2019-09-12,scale_out,SOXL,0.333333,12.157246,0.666667,2.0224,lock profit
1,risk_first_trend_runner__one_r_invalidation,2019-09-24,stop_exit,SOXL,0.333333,10.790464,0.333333,1.0,active stop breached
1,risk_first_trend_runner__one_r_invalidation,2019-09-24,entry,SOXL,1.0,10.881533,1.0,0.0,scanner target SOXL
1,risk_first_trend_runner__one_r_invalidation,2019-10-15,scale_out,SOXL,0.333333,12.290883,1.0,1.1384,recover risk
1,risk_first_trend_runner__one_r_invalidation,2019-10-28,scale_out,SOXL,0.333333,13.376585,0.666667,2.0153,lock profit
1,risk_first_trend_runner__one_r_invalidation,2019-11-01,scanner_exit,SOXL,0.333333,13.664127,0.333333,2.2476,target changed to TQQQ
1,risk_first_trend_runner__one_r_invalidation,2019-11-01,entry,TQQQ,1.0,8.493993,1.0,0.0,scanner target TQQQ
1,risk_first_trend_runner__one_r_invalidation,2019-11-27,scale_out,TQQQ,0.333333,9.403426,1.0,1.0707,recover risk
1,risk_first_trend_runner__one_r_invalidation,2019-12-02,scanner_exit,TQQQ,0.666667,8.97974,0.666667,0.5719,target changed to SOXL
1,risk_first_trend_runner__one_r_invalidation,2019-12-02,entry,SOXL,1.0,13.648655,1.0,0.0,scanner target SOXL
1,risk_first_trend_runner__one_r_invalidation,2019-12-11,scale_out,SOXL,0.333333,15.297196,1.0,1.2078,recover risk
1,risk_first_trend_runner__one_r_invalidation,2019-12-12,scale_out,SOXL,0.333333,16.538275,0.666667,2.1171,lock profit
1,risk_first_trend_runner__one_r_invalidation,2020-01-02,scanner_exit,SOXL,0.333333,18.842726,0.333333,3.8056,target changed to TQQQ
1,risk_first_trend_runner__one_r_invalidation,2020-01-02,entry,TQQQ,1.0,10.84549,1.0,0.0,scanner target TQQQ
1,risk_first_trend_runner__one_r_invalidation,2020-01-22,scale_out,TQQQ,0.333333,12.002389,1.0,1.0667,recover risk
1,risk_first_trend_runner__one_r_invalidation,2020-01-27,stop_exit,TQQQ,0.666667,10.84549,0.666667,0.0,active stop breached
1,risk_first_trend_runner__one_r_invalidation,2020-01-27,entry,TQQQ,1.0,11.069946,1.0,0.0,scanner target TQQQ
1,risk_first_trend_runner__one_r_invalidation,2020-02-04,scale_out,TQQQ,0.333333,12.491892,1.0,1.2845,recover risk
1,risk_first_trend_runner__one_r_invalidation,2020-02-12,scale_out,TQQQ,0.333333,13.635664,0.666667,2.3177,lock profit
1,risk_first_trend_runner__one_r_invalidation,2020-02-24,stop_exit,TQQQ,0.333333,12.598407,0.333333,1.3807,active stop breached
1,risk_first_trend_runner__one_r_invalidation,2020-02-24,entry,TQQQ,1.0,11.423344,1.0,0.0,scanner target TQQQ
1,risk_first_trend_runner__one_r_invalidation,2020-02-27,stop_exit,TQQQ,1.0,10.183552,1.0,-1.0,active stop breached
1,risk_first_trend_runner__one_r_invalidation,2020-02-27,entry,TQQQ,1.0,9.052236,1.0,0.0,scanner target TQQQ
1,risk_first_trend_runner__one_r_invalidation,2020-03-04,scale_out,TQQQ,0.333333,10.612677,1.0,1.0202,recover risk
1,risk_first_trend_runner__one_r_invalidation,2020-03-06,stop_exit,TQQQ,0.666667,9.052236,0.666667,0.0,active stop breached
1,risk_first_trend_runner__one_r_invalidation,2020-03-06,entry,TQQQ,1.0,9.174012,1.0,0.0,scanner target TQQQ
1,risk_first_trend_runner__one_r_invalidation,2020-03-09,scanner_exit,TQQQ,1.0,7.310318,1.0,-0.8079,target changed to CASH
1,risk_first_trend_runner__one_r_invalidation,2020-04-14,entry,TQQQ,1.0,7.630286,1.0,0.0,scanner target TQQQ
