period,start,end,strategy_return,strategy_max_drawdown,monthly_decisions,executed_trades,final_holding,spmo_return,spmo_max_drawdown,smh_return,smh_max_drawdown,vgt_return,vgt_max_drawdown,no_lookahead_checks_ok
2020,2020-01-01,2020-12-31,1.2976192860071132,-0.606265385382069,12,13,TSLA,0.2715697697807786,-0.3094754901247293,0.5296003748963425,-0.336223205026726,0.4474307287013586,-0.31843840036447846,True
2021,2021-01-01,2021-12-31,0.3165206524468165,-0.646079166401703,12,9,TSLA,0.22205924644208697,-0.10673827351157417,0.4075890710712893,-0.15578625011881375,0.2986666519495653,-0.10824702241125983,True
2022,2022-01-01,2022-12-31,-0.14267563609135836,-0.376469062689904,12,21,DXCM,-0.10561329590472668,-0.22736178003540453,-0.3406767734172266,-0.45136253422444095,-0.2978100022978084,-0.3449787217798853,True
2023,2023-01-01,2023-12-31,0.8473157898897223,-0.3237336955791522,12,19,PDD,0.17433683600940575,-0.08626152210646254,0.7032052110220841,-0.1441912580445398,0.5126185842053688,-0.12872839146127824,True
2024,2024-01-01,2024-12-31,-0.3361168184429526,-0.4794829989705829,12,9,APP,0.4672684020351865,-0.13160187801604306,0.4113334831071984,-0.24816010281254308,0.31018029509383926,-0.15229462108603398,True
2025,2025-01-01,2025-12-31,0.8639414223496846,-0.5699723736744688,12,7,SNDK,0.25537823606848664,-0.20127159829532493,0.47738661495970547,-0.3264588905537469,0.207639869729489,-0.271333003196754,True
2026 YTD,2026-01-01,2026-05-15,4.760630039662235,-0.2585061584959846,5,1,SNDK,0.19645707406196355,-0.10984360991729203,0.5079008224650394,-0.1493101284400754,0.19096804250145372,-0.13646487527744156,True
