strategy,strategy_return,max_drawdown,sharpe_ratio,trade_count,buy_count,sell_count,rebalance_count,skipped_not_yet_nasdaq100,membership_violations,known_date_buys,assumed_prewindow_buys,final_holding,qqq_return,vgt_return,excess_vs_qqq,excess_vs_vgt
Nasdaq-100 Top1 current-member baseline,36.068504466221526,-0.6735613409514634,1.0934295881927334,77,39,38,77,0,0,35,4,SNDK,2.4031210267689653,2.80606035910966,33.66538343945256,33.26244410711187
Nasdaq-100 Top1 PIT membership,36.4262435621438,-0.6036179567076583,1.1661892980586275,79,40,39,77,77,0,30,10,SNDK,2.4031210267689653,2.80606035910966,34.02312253537484,33.620183203034145
