variant,cash_mode,cash_sma,cash_exit_buffer,cash_reentry_buffer,unit_exposure,max_exposure,add1_drop,add2_drop,sell_mode,sell_param,max_extra_days,trend_guard_sma,trend_guard_exposure,is_range,is_return_pct,is_max_drawdown_pct,is_sharpe,is_cash_days_pct,oos_range,oos_return_pct,oos_max_drawdown_pct,oos_sharpe,oos_cash_days_pct,full_return_pct,full_max_drawdown_pct,full_sharpe,avg_exposure,days_above_1x_pct,max_exposure_used,trade_events,rotation_resets
"cash=selected_or_qqq SMA100 exit=0% reentry=2%; unit=1.50, cap=2.00, add=8%/20%, sell=extra_profit 10%, max_days=10, trend_sma=75, trend_exp=0.5",selected_or_qqq,100,0.0,0.02,1.5,2.0,0.08,0.2,extra_profit,0.1,10,75.0,0.5,2010-06-25 to 2019-12-31,3724.89,-74.03,0.896,19.91,2020-01-02 to 2026-05-20,4501.96,-82.64,1.108,25.0,192387.06,-82.64,0.989,1.213,72.4,2.0,418,51
"cash=qqq SMA100 exit=0% reentry=0%; unit=1.50, cap=3.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=200, trend_exp=0.5",qqq,100,0.0,0.0,1.5,3.0,0.05,0.15,extra_profit,0.12,10,200.0,0.5,2010-06-25 to 2019-12-31,114.82,-97.23,0.645,18.49,2020-01-02 to 2026-05-20,1416.02,-93.6,1.061,25.12,3461.43,-97.71,0.838,1.625,74.4,3.0,607,53
"cash=selected_or_qqq SMA200 exit=0% reentry=2%; unit=1.25, cap=1.50, add=5%/20%, sell=rebound_from_low 5%, max_days=20, trend_sma=75, trend_exp=0.25",selected_or_qqq,200,0.0,0.02,1.25,1.5,0.05,0.2,rebound_from_low,0.05,20,75.0,0.25,2010-06-25 to 2019-12-31,2550.43,-64.58,0.883,13.81,2020-01-02 to 2026-05-20,6988.3,-64.46,1.228,20.57,202417.28,-64.58,1.042,0.988,71.28,1.5,846,69
"cash=selected_and_qqq SMA250 exit=3% reentry=3%; unit=1.00, cap=1.00, add=10%/20%, sell=extra_profit 10%, max_days=20, trend_sma=200, trend_exp=0.5",selected_and_qqq,250,0.03,0.03,1.0,1.0,0.1,0.2,extra_profit,0.1,20,200.0,0.5,2010-06-25 to 2019-12-31,1381.78,-57.36,0.839,16.11,2020-01-02 to 2026-05-20,6319.54,-51.62,1.334,25.19,100956.04,-57.36,1.069,0.792,0.0,1.0,344,61
"cash=selected_or_qqq SMA100 exit=3% reentry=3%; unit=1.50, cap=3.00, add=10%/20%, sell=extra_profit 10%, max_days=10, trend_sma=75, trend_exp=0.5",selected_or_qqq,100,0.03,0.03,1.5,3.0,0.1,0.2,extra_profit,0.1,10,75.0,0.5,2010-06-25 to 2019-12-31,1066.36,-89.08,0.753,16.4,2020-01-02 to 2026-05-20,1018.51,-89.26,0.997,20.57,14166.32,-89.26,0.862,1.373,72.25,3.0,391,61
"cash=selected_or_qqq SMA150 exit=0% reentry=0%; unit=1.00, cap=2.00, add=5%/20%, sell=rebound_from_low 5%, max_days=10, trend_sma=100, trend_exp=0.5",selected_or_qqq,150,0.0,0.0,1.0,2.0,0.05,0.2,rebound_from_low,0.05,10,100.0,0.5,2010-06-25 to 2019-12-31,1608.55,-87.5,0.784,12.27,2020-01-02 to 2026-05-20,5328.06,-73.34,1.14,20.07,98425.05,-87.5,0.947,1.092,29.05,2.0,873,64
"cash=selected SMA200 exit=5% reentry=5%; unit=1.25, cap=3.00, add=5%/20%, sell=extra_profit 10%, max_days=5, trend_sma=75, trend_exp=0.25",selected,200,0.05,0.05,1.25,3.0,0.05,0.2,extra_profit,0.1,5,75.0,0.25,2010-06-25 to 2019-12-31,1334.66,-90.8,0.769,16.65,2020-01-02 to 2026-05-20,2759.64,-89.64,1.075,23.63,44124.56,-90.8,0.908,1.279,69.92,3.0,848,61
"cash=selected SMA150 exit=0% reentry=0%; unit=1.00, cap=1.00, add=10%/20%, sell=extra_profit 15%, max_days=10, trend_sma=75, trend_exp=0.25",selected,150,0.0,0.0,1.0,1.0,0.1,0.2,extra_profit,0.15,10,75.0,0.25,2010-06-25 to 2019-12-31,963.19,-60.98,0.796,17.65,2020-01-02 to 2026-05-20,3764.55,-48.67,1.257,24.5,43549.92,-60.98,1.011,0.731,0.0,1.0,412,54
"cash=selected_or_qqq SMA100 exit=3% reentry=3%; unit=2.00, cap=3.00, add=8%/20%, sell=extra_profit 12%, max_days=10, trend_sma=75, trend_exp=0.5",selected_or_qqq,100,0.03,0.03,2.0,3.0,0.08,0.2,extra_profit,0.12,10,75.0,0.5,2010-06-25 to 2019-12-31,1090.33,-90.82,0.795,16.4,2020-01-02 to 2026-05-20,3415.59,-92.91,1.179,20.57,46966.86,-92.91,0.973,1.725,72.25,3.0,453,61
"cash=qqq SMA200 exit=3% reentry=3%; unit=1.25, cap=2.00, add=10%/20%, sell=rebound_from_low 5%, max_days=5, trend_sma=100, trend_exp=0.5",qqq,200,0.03,0.03,1.25,2.0,0.1,0.2,rebound_from_low,0.05,5,100.0,0.5,2010-06-25 to 2019-12-31,3089.13,-80.91,0.887,13.48,2020-01-02 to 2026-05-20,2343.64,-71.14,1.016,20.89,83906.27,-80.91,0.94,1.077,73.83,2.0,695,73
"cash=qqq SMA250 exit=0% reentry=0%; unit=1.25, cap=3.00, add=5%/15%, sell=extra_profit 15%, max_days=10, trend_sma=75, trend_exp=0.5",qqq,250,0.0,0.0,1.25,3.0,0.05,0.15,extra_profit,0.15,10,75.0,0.5,2010-06-25 to 2019-12-31,2761.43,-88.9,0.861,8.93,2020-01-02 to 2026-05-20,3365.06,-91.54,1.113,19.7,106780.11,-91.54,0.973,1.453,71.78,3.0,659,71
"cash=none SMA150 exit=0% reentry=2%; unit=1.25, cap=2.00, add=5%/20%, sell=rebound_from_low 5%, max_days=20, trend_sma=100, trend_exp=0.5",none,150,0.0,0.02,1.25,2.0,0.05,0.2,rebound_from_low,0.05,20,100.0,0.5,2010-06-25 to 2019-12-31,5019.12,-84.34,0.93,0.0,2020-01-02 to 2026-05-20,9424.67,-79.96,1.212,0.0,525490.91,-84.34,1.056,1.306,76.1,2.0,1123,123
"cash=none SMA100 exit=5% reentry=5%; unit=1.25, cap=3.00, add=5%/20%, sell=extra_profit 10%, max_days=5, trend_sma=75, trend_exp=0.25",none,100,0.05,0.05,1.25,3.0,0.05,0.2,extra_profit,0.1,5,75.0,0.25,2010-06-25 to 2019-12-31,3947.1,-87.62,0.896,0.0,2020-01-02 to 2026-05-20,3571.55,-92.92,1.122,0.0,160075.49,-92.92,0.992,1.405,73.83,3.0,1171,123
"cash=qqq SMA150 exit=3% reentry=3%; unit=1.50, cap=3.00, add=10%/20%, sell=rebound_from_low 5%, max_days=20, trend_sma=100, trend_exp=0.5",qqq,150,0.03,0.03,1.5,3.0,0.1,0.2,rebound_from_low,0.05,20,100.0,0.5,2010-06-25 to 2019-12-31,3473.04,-94.65,0.889,13.9,2020-01-02 to 2026-05-20,1010.15,-86.1,0.986,21.32,43277.14,-94.65,0.924,1.365,73.92,3.0,595,70
"cash=none SMA250 exit=0% reentry=0%; unit=1.50, cap=1.50, add=5%/15%, sell=extra_profit 15%, max_days=20, trend_sma=75, trend_exp=0.5",none,250,0.0,0.0,1.5,1.5,0.05,0.15,extra_profit,0.15,20,75.0,0.5,2010-06-25 to 2019-12-31,7851.35,-64.04,1.024,0.0,2020-01-02 to 2026-05-20,14096.75,-76.35,1.291,0.0,1234337.89,-76.35,1.143,1.238,73.83,1.5,598,123
"cash=none SMA200 exit=3% reentry=3%; unit=1.00, cap=1.00, add=10%/20%, sell=extra_profit 12%, max_days=5, trend_sma=none, trend_exp=none",none,200,0.03,0.03,1.0,1.0,0.1,0.2,extra_profit,0.12,5,,,2010-06-25 to 2019-12-31,7394.05,-57.25,1.079,0.0,2020-01-02 to 2026-05-20,6570.85,-78.35,1.193,0.0,530995.51,-78.35,1.117,1.0,0.0,1.0,804,123
"cash=none SMA200 exit=0% reentry=0%; unit=1.50, cap=3.00, add=8%/20%, sell=extra_profit 10%, max_days=5, trend_sma=200, trend_exp=0.5",none,200,0.0,0.0,1.5,3.0,0.08,0.2,extra_profit,0.1,5,200.0,0.5,2010-06-25 to 2019-12-31,4003.74,-93.25,0.932,0.0,2020-01-02 to 2026-05-20,783.67,-93.33,1.092,0.0,39556.07,-96.77,0.996,1.736,80.45,3.0,941,123
"cash=selected SMA250 exit=5% reentry=5%; unit=1.00, cap=1.00, add=8%/20%, sell=extra_profit 12%, max_days=5, trend_sma=75, trend_exp=0.5",selected,250,0.05,0.05,1.0,1.0,0.08,0.2,extra_profit,0.12,5,75.0,0.5,2010-06-25 to 2019-12-31,1371.67,-47.77,0.873,16.65,2020-01-02 to 2026-05-20,3847.37,-50.03,1.265,25.31,61615.36,-50.03,1.054,0.739,0.0,1.0,651,64
"cash=selected_or_qqq SMA200 exit=0% reentry=2%; unit=1.50, cap=2.00, add=5%/20%, sell=rebound_from_low 5%, max_days=20, trend_sma=none, trend_exp=none",selected_or_qqq,200,0.0,0.02,1.5,2.0,0.05,0.2,rebound_from_low,0.05,20,,,2010-06-25 to 2019-12-31,4261.32,-86.87,0.904,13.81,2020-01-02 to 2026-05-20,21130.67,-85.05,1.319,20.57,1012460.53,-88.8,1.094,1.435,83.45,2.0,846,69
"cash=qqq SMA100 exit=0% reentry=0%; unit=1.50, cap=3.00, add=10%/20%, sell=rebound_from_low 5%, max_days=20, trend_sma=100, trend_exp=0.5",qqq,100,0.0,0.0,1.5,3.0,0.1,0.2,rebound_from_low,0.05,20,100.0,0.5,2010-06-25 to 2019-12-31,684.54,-94.86,0.7,18.49,2020-01-02 to 2026-05-20,2676.38,-85.24,1.058,25.12,23719.45,-95.56,0.867,1.292,73.88,3.0,504,53
"cash=qqq SMA200 exit=5% reentry=5%; unit=1.25, cap=1.50, add=8%/20%, sell=extra_profit 15%, max_days=20, trend_sma=100, trend_exp=0.5",qqq,200,0.05,0.05,1.25,1.5,0.08,0.2,extra_profit,0.15,20,100.0,0.5,2010-06-25 to 2019-12-31,1530.32,-71.41,0.795,15.32,2020-01-02 to 2026-05-20,2777.7,-68.66,1.05,19.76,50473.23,-71.41,0.911,1.026,71.65,1.5,355,74
"cash=selected_or_qqq SMA150 exit=0% reentry=0%; unit=1.00, cap=1.50, add=8%/20%, sell=extra_profit 12%, max_days=10, trend_sma=75, trend_exp=0.25",selected_or_qqq,150,0.0,0.0,1.0,1.5,0.08,0.2,extra_profit,0.12,10,75.0,0.25,2010-06-25 to 2019-12-31,1990.43,-63.93,0.87,12.27,2020-01-02 to 2026-05-20,4232.9,-63.55,1.158,20.07,96125.49,-63.93,1.0,0.869,22.48,1.5,496,64
