variant,wins,compound,worst_excess,2020_return,2020_excess,2020_drawdown,2020_trades,2021_return,2021_excess,2021_drawdown,2021_trades,2022_return,2022_excess,2022_drawdown,2022_trades,2023_return,2023_excess,2023_drawdown,2023_trades,2024_return,2024_excess,2024_drawdown,2024_trades,2025_return,2025_excess,2025_drawdown,2025_trades,2026 YTD_return,2026 YTD_excess,2026 YTD_drawdown,2026 YTD_trades
Top3 skip21 daily O2O,7,319.8097245852785,0.05222224062235359,2.6760219511693024,2.4052664777332824,-0.47320324855175444,219,0.3323117845359558,0.0901587331137943,-0.31038175273973334,241,-0.05224071871220681,0.05222224062235359,-0.2976045464054319,179,1.854963371988664,1.6602378464091259,-0.26857941396804885,183,1.7520012020943194,1.2802105123000591,-0.28314089439685985,197,1.9364944152557744,1.6778315685227845,-0.4904823592997195,175,1.9956231188368379,1.7594121126527593,-0.17573997013338327,39
Top2 skip21 monthly O2O,7,225.6975286352831,0.33852789682723416,1.1222875593434658,0.851532085907446,-0.5441783511555947,26,0.6059001143963028,0.3637470629741413,-0.24494151029875055,22,0.23406493749267376,0.33852789682723416,-0.2782841490582727,22,1.158986607556269,0.9642610819767308,-0.35907679692248506,26,1.9392645956693064,1.4674739058750461,-0.3696306552848736,22,1.2370546181898852,0.9783917714568953,-0.5248730230319683,16,2.7968268811195256,2.560615874935447,-0.2561593287957177,6
Top4 skip21 daily O2O,7,199.25209236940896,0.03073686073923787,2.0694195099702832,1.7986640365342634,-0.49205784736449654,272,0.5220750540599601,0.27992200263779865,-0.2560694841688377,286,-0.07372609859532253,0.03073686073923787,-0.28288037469318084,228,1.2609529752018975,1.0662274496223594,-0.20106182164837716,214,1.8139763960031545,1.3421857062088942,-0.3023360573636711,254,1.729773700195456,1.4711108534624662,-0.4824118568025936,190,1.6644445859234804,1.428233579739402,-0.1717499768740789,56
Top2 skip21 daily O2O,6,357.4911722884087,-0.13138113574932264,3.351644975051819,3.0808895016157996,-0.5304305324609718,160,0.11077191567283884,-0.13138113574932264,-0.3669806899652096,156,-0.06481735117247156,0.03964560816208884,-0.28385289595298824,106,1.6992676131476254,1.5045420875680873,-0.32732393595151577,128,2.041157078277662,1.5693663884834015,-0.3183996947928823,118,2.294019531573254,2.0353566848402638,-0.42322743884779157,92,1.932869315278169,1.6966583090940905,-0.2160120988240276,16
Top2 skip21 weekly O2O,6,334.5040938707187,-0.33999185195717274,1.9206548528474916,1.6498993794114718,-0.557704234621369,60,-0.09783880053501126,-0.33999185195717274,-0.38716745290960897,60,0.23405628990462768,0.3385192492391881,-0.2884121279366344,48,1.806803473031561,1.6120779474520228,-0.4068963515123041,54,1.8803377076460879,1.4085470178518276,-0.3461475612963514,60,2.3077446758977356,2.049081829164746,-0.47314891461320685,44,2.8584340132089743,2.6222230070248957,-0.18573346433603233,12
Top2 raw daily O2O,6,164.49169836716868,-0.4326913150641384,1.4218439180185887,1.1510884445825689,-0.5769536784538656,100,-0.1905382636419769,-0.4326913150641384,-0.4514419222675733,140,0.2556722441517536,0.360135203486314,-0.27689603081650416,108,1.2647213680499347,1.0699958424703966,-0.3670848354011358,94,2.192455205095726,1.7206645153014657,-0.3827636724927992,90,1.8356900110828658,1.5770271643498759,-0.5248730230319683,114,2.2791335176352607,2.042922511451182,-0.19369175998948296,12
Top20 risk-adj inv-vol monthly O2O,4,4.049049711330469,-0.0835135990470095,0.21610371115774907,-0.05465176227827073,-0.3807059710343331,156,0.20621423939636108,-0.035938812025800404,-0.15727272754737598,206,-0.010258729077241346,0.09420423025731905,-0.18911691646484918,174,0.2467712452351587,0.05204571965562055,-0.08441376359248287,158,0.5450539607982308,0.07326327100397045,-0.17403742496079455,186,0.1751492476859804,-0.0835135990470095,-0.21579464327424203,180,0.5362767063156255,0.300065700131547,-0.09948645422388847,68
Top100 risk-adj inv-vol monthly O2O,2,1.7119511460829213,-0.14451712495899072,0.15946795937711244,-0.11128751405890736,-0.33966082480974524,594,0.24478523440231448,0.0026321829801529972,-0.0808802807214909,662,-0.07377947955703368,0.030683479777526723,-0.17890573745248406,668,0.15851326121589193,-0.03621226436364622,-0.09002605727435908,644,0.3272735648352696,-0.14451712495899072,-0.07879510362132669,610,0.14111199691834408,-0.11755084981464581,-0.1727978645572361,614,0.15617761809214636,-0.08003338809193217,-0.07233853947177149,280
Top50 risk-adj inv-vol monthly O2O,2,1.6790474855428146,-0.1325964653331524,0.1381590081028674,-0.1325964653331524,-0.3657514225174996,350,0.16572274544783583,-0.07643030597432565,-0.11636555388227665,416,-0.07580558208937394,0.028657377245186466,-0.18561256717869723,366,0.1301693043947303,-0.06455622118480786,-0.10051704023428654,404,0.3610142658333573,-0.11077642396090304,-0.09066404481727242,378,0.14768281833539731,-0.11098002839759258,-0.17683600286163847,372,0.2376299055509734,0.0014188993668948768,-0.07503063715145941,156
