strategy,top_n,date,equity,daily_return,holdings
Nasdaq-100 Top1 PIT membership,1,2020-01-03,1.0376914341172783,0.037691434117278266,TSLA
Nasdaq-100 Top1 PIT membership,1,2020-01-06,1.0376208015582298,-6.806701561401507e-05,TSLA
Nasdaq-100 Top1 PIT membership,1,2020-01-07,1.0869258324431252,0.04751738863643862,TSLA
Nasdaq-100 Top1 PIT membership,1,2020-01-08,1.11590108745834,0.026657987279671058,TSLA
Nasdaq-100 Top1 PIT membership,1,2020-01-09,1.1710247449847853,0.049398336596300885,TSLA
Nasdaq-100 Top1 PIT membership,1,2020-01-10,1.1349587358928652,-0.030798673765334184,TSLA
Nasdaq-100 Top1 PIT membership,1,2020-01-13,1.1625442548703107,0.024305305651261433,TSLA
Nasdaq-100 Top1 PIT membership,1,2020-01-14,1.2821201899260992,0.1028571037660222,TSLA
Nasdaq-100 Top1 PIT membership,1,2020-01-15,1.2479623382881717,-0.026641692336111134,TSLA
Nasdaq-100 Top1 PIT membership,1,2020-01-16,1.1631331740506226,-0.06797413802880403,TSLA
Nasdaq-100 Top1 PIT membership,1,2020-01-17,1.195783344060766,0.028070878501761598,TSLA
Nasdaq-100 Top1 PIT membership,1,2020-01-21,1.2491165875307926,0.044601092442809964,TSLA
Nasdaq-100 Top1 PIT membership,1,2020-01-22,1.3472084974742802,0.07852902677194606,TSLA
Nasdaq-100 Top1 PIT membership,1,2020-01-23,1.3292109440028044,-0.013359144857842842,TSLA
Nasdaq-100 Top1 PIT membership,1,2020-01-24,1.3442403124547178,0.011306985185251195,TSLA
Nasdaq-100 Top1 PIT membership,1,2020-01-27,1.276772739067287,-0.05019011315337529,TSLA
Nasdaq-100 Top1 PIT membership,1,2020-01-28,1.3391991157450627,0.048893882809073475,TSLA
Nasdaq-100 Top1 PIT membership,1,2020-01-29,1.356160230768972,0.01266511814747795,TSLA
Nasdaq-100 Top1 PIT membership,1,2020-01-30,1.4897997283881559,0.09854255757330943,TSLA
Nasdaq-100 Top1 PIT membership,1,2020-01-31,1.5076561515364943,0.01198578762506397,TSLA
Nasdaq-100 Top1 PIT membership,1,2020-02-03,1.5870200541201767,0.052640585522634176,TSLA
Nasdaq-100 Top1 PIT membership,1,2020-02-04,2.0800000000000005,0.3106324615117264,TSLA
Nasdaq-100 Top1 PIT membership,1,2020-02-05,1.939363969981163,-0.06761347597059497,TSLA
Nasdaq-100 Top1 PIT membership,1,2020-02-06,1.6488103333816353,-0.14981903402193752,TSLA
Nasdaq-100 Top1 PIT membership,1,2020-02-07,1.7209659406834783,0.0437622240963611,TSLA
Nasdaq-100 Top1 PIT membership,1,2020-02-10,1.884570088324398,0.09506530244052636,TSLA
Nasdaq-100 Top1 PIT membership,1,2020-02-11,1.8110483341027885,-0.03901248071223451,TSLA
Nasdaq-100 Top1 PIT membership,1,2020-02-12,1.832438272332998,0.011810804729740276,TSLA
Nasdaq-100 Top1 PIT membership,1,2020-02-13,1.747561929859443,-0.04631880034108504,TSLA
