date,SMH_HIST_PIT Top2 L252 S0 smh_sma100 DCA1,SMH buy-and-hold
2020-01-01,1.0,1.0
2020-01-02,0.9166229785973673,0.9609152890785471
2020-02-03,0.8791788034996845,0.9296892136360598
2020-03-02,0.8791788034996845,0.7889283527422556
2020-04-01,0.8791788034996845,0.9100772867015414
2020-05-01,0.8791788034996845,0.9799011970513809
2020-06-01,0.9080013284700049,1.063356244576128
2020-07-01,0.9912984025523216,1.1637109849046896
2020-08-03,1.2054047292164571,1.228875428873149
2020-09-01,1.1597410196069566,1.2346477023554414
2020-10-01,1.0630322937214052,1.227554020091275
2020-11-02,1.2129965761684827,1.4648446973336788
2020-12-01,1.1948089480714048,1.5445167845651313
2021-01-04,1.1710562321640066,1.611675901707788
2021-02-01,1.2318478266542547,1.7135699751155145
2021-03-01,1.2092954480816216,1.737030006021226
2021-04-01,1.134594716274205,1.7127996067117948
2021-05-03,1.179791277398404,1.7575488678059066
2021-06-01,1.1609386549614793,1.8317810435627762
2021-07-01,1.1456687474876002,1.8585326073286461
2021-08-02,1.175374846153302,1.9057327292094484
2021-09-01,1.0818978576199323,1.8031385356278977
2021-10-01,1.0818978576199323,1.9180582297167874
2021-11-01,1.1444132275028638,2.1754894525829647
2021-12-01,1.1355118314133128,2.191716387329639
2022-01-03,0.9695819647419078,1.9522680500014518
2022-02-01,0.9695819647419078,1.8814404406247387
2022-03-01,0.9695819647419078,1.9065047685154342
2022-04-01,0.9695819647419078,1.618547129543039
2022-05-02,0.9695819647419078,1.7299284181454135
2022-06-01,0.9695819647419078,1.4095137827965287
2022-07-01,0.9695819647419078,1.6545242291152584
2022-08-01,0.9575669660454154,1.4717520096909107
2022-09-01,0.9575669660454154,1.3184797603813976
2022-10-03,0.9575669660454154,1.3609341387885574
2022-11-01,0.9575669660454154,1.6135482550718045
2022-12-01,0.900557154795071,1.47096846252875
2023-01-03,0.900557154795071,1.6971893736816555
2023-02-01,0.954280509865307,1.712071256617022
2023-03-01,1.0154496667372495,1.8645228166452963
2023-04-03,0.9737437926282172,1.7656891623068285
2023-05-01,1.2253123743526906,2.0629733746296703
2023-06-01,1.3050720132060845,2.181317354249734
2023-07-03,1.4494617860487164,2.2738847001499205
2023-08-01,1.5032997046649506,2.2419844017344857
2023-09-01,1.359853984910298,2.068812091013436
2023-10-02,1.359853984910298,1.9823682968496696
2023-11-01,1.359853984910298,2.27858425852683
2023-12-01,1.5284077913714382,2.4692572191414373
2024-01-02,1.8602804420272712,2.6752790803575333
2024-02-01,2.28576546799876,3.0676954666573226
2024-03-01,2.3301094540759064,3.230736857489562
2024-04-01,2.2211214914009343,3.0250010600204145
2024-05-01,2.658333031248954,3.511546024125147
2024-06-03,2.798253329548935,3.7393451971272684
2024-07-01,2.481927667206427,3.496359005364752
2024-08-01,2.4885702937454415,3.4222884848218444
2024-09-03,2.6462482416405053,3.5191392569787623
2024-10-01,2.756769536147408,3.4985082552569624
2024-11-01,2.756769536147408,3.486473574735638
2024-12-02,2.756769536147408,3.518763272297252
2025-01-02,2.756769536147408,3.3957245696287814
2025-02-03,2.756769536147408,3.3870902221265298
2025-03-03,2.756769536147408,3.0358183337059588
2025-04-01,2.756769536147408,3.092948469281644
2025-05-01,2.756769536147408,3.441917897899268
2025-06-02,3.1884384995335044,3.983287934256896
2025-07-01,3.3163796877457847,4.071214220570731
2025-08-01,3.2936263901782494,4.073804473798084
2025-09-02,3.904887741450185,4.666548731557235
2025-10-01,4.572468065130161,5.291240185142895
2025-11-03,4.697356577394362,5.020123531578754
2025-12-01,5.087706829110196,5.325892944482612
2026-01-02,6.890161852241688,5.757651474553443
2026-02-02,6.740848097235969,5.7344109017362355
2026-03-02,6.1013194599946425,5.604637967799163
2026-04-01,7.944005652999003,7.278407229110974
2026-05-22,10.935973686550536,8.319334758687747
