universe,top_n,strategy,membership_filter,strategy_return,max_drawdown,trade_count,buy_count,sell_count,rebalance_count,skipped_not_yet_index,membership_violations,final_holdings,sharpe_ratio,spmo_return,vgt_return,excess_vs_spmo,excess_vs_vgt
S&P 500,1,S&P 500 Top1 PIT membership,Date added,1.27971291243913,-0.538477426672122,77,39,38,60,101,0,PLTR,0.5748670927517897,1.3897029023140246,1.5963105847669072,-0.10998998987489461,-0.31659767232777725
S&P 500,2,S&P 500 Top2 PIT membership,Date added,0.8712802688595311,-0.4911551466584142,146,74,72,60,151,0,"PLTR, TPL",0.5040790092266626,1.3897029023140246,1.5963105847669072,-0.5184226334544935,-0.7250303159073761
S&P 500,3,S&P 500 Top3 PIT membership,Date added,0.7137142235757334,-0.4623320024751386,207,105,102,60,197,0,"PLTR, TPL, GEV",0.46792111955886956,1.3897029023140246,1.5963105847669072,-0.6759886787382912,-0.8825963611911738
Nasdaq-100,1,Nasdaq-100 Top1 current constituents,Not available/current constituents,2.5839223510257234,-0.6735613409514634,71,36,35,60,0,N/A,APP,0.7125256235767506,1.3897029023140246,1.5963105847669072,1.1942194487116988,0.9876117662588162
Nasdaq-100,2,Nasdaq-100 Top2 current constituents,Not available/current constituents,7.607137937033123,-0.527894337453052,116,59,57,60,0,N/A,"APP, PLTR",1.0481727450732061,1.3897029023140246,1.5963105847669072,6.217435034719099,6.010827352266215
Nasdaq-100,3,Nasdaq-100 Top3 current constituents,Not available/current constituents,15.314285550969316,-0.44948057759475246,171,87,84,60,0,N/A,"APP, PLTR, ALNY",1.3758398636088618,1.3897029023140246,1.5963105847669072,13.924582648655292,13.717974966202409
