Symbol,YahooSymbol,Company,Sector,Industry,Score,ScoreBand,ScoreMeaning,Bucket,Status,LatestDate,LatestClose,BreakoutLevel,BreakoutGainPct,MeasuredTarget,TargetGainPct,TargetReturnPct,HandleLow,HandleRiskPct,LeftRimDate,LeftRimPrice,CupLowDate,CupLowPrice,RightRimDate,RightRimPrice,HandleLowDate,CupDepthPct,HandleDepthPctOfCup,RimGapPct,CupWidthWeeks,HandleWidthWeeks,VolumeNote,Notes
BMY,BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,82.88,Strong,Clean cup/handle geometry with stronger confirmation traits.,Cup and Handle Pattern in Force,awaiting breakout,2026-05-25,57.18,60.78,6.3,78.69,37.62,29.47,55.41,-3.1,2025-01-27,61.1,2025-09-22,43.19,2026-04-27,60.78,2026-05-11,29.31,29.98,0.52,65,4,handle avg volume 0.82x cup avg; latest week 1.21x handle avg,"cup has a declining left side, rising right side, and rounded U-shape fit; handle remains in upper half of the cup; right rim is modestly below the left rim; no weekly close above the handle/rim resistance yet"
WST,WST,West Pharmaceutical Services,Health Care,Health Care Supplies,80.7,Strong,Clean cup/handle geometry with stronger confirmation traits.,Cup and Handle Pattern in Force,near breakout,2026-05-25,322.81,330.88,2.5,437.93,35.66,32.35,295.9,-8.34,2025-10-20,322.34,2026-01-26,223.83,2026-05-11,330.88,2026-05-11,32.35,32.68,2.58,29,2,handle avg volume 0.87x cup avg; latest week 1.07x handle avg,"cup has a declining left side, rising right side, and rounded U-shape fit; handle remains in upper half of the cup; no weekly close above the handle/rim resistance yet"
LYV,LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,80.34,Strong,Clean cup/handle geometry with stronger confirmation traits.,Cup and Handle Pattern in Force,near breakout,2026-05-25,168.41,173.12,2.8,223.03,32.43,28.83,159.71,-5.17,2025-09-08,175.25,2025-11-24,125.34,2026-05-11,173.12,2026-05-18,28.48,26.87,1.22,35,2,handle avg volume 0.86x cup avg; latest week 1.11x handle avg,"cup has a declining left side, rising right side, and rounded U-shape fit; handle remains in upper half of the cup; right rim is modestly below the left rim; no weekly close above the handle/rim resistance yet"
MO,MO,Altria,Consumer Staples,Tobacco,79.43,Strong,Clean cup/handle geometry with stronger confirmation traits.,Cup and Handle Pattern in Force,awaiting breakout,2026-05-25,69.58,74.56,7.16,87.79,26.17,17.74,64.08,-7.9,2025-10-06,67.12,2026-01-05,54.7,2026-04-06,67.93,2026-04-13,19.48,29.1,1.19,26,7,handle avg volume 0.99x cup avg; latest week 1.13x handle avg,"cup has a declining left side, rising right side, and rounded U-shape fit; handle remains in upper half of the cup; no weekly close above the handle/rim resistance yet"
FTV,FTV,Fortive,Industrials,Industrial Machinery & Supplies & Components,78.74,Strong,Clean cup/handle geometry with stronger confirmation traits.,Cup and Handle Pattern in Force,awaiting breakout,2026-05-25,58.32,62.81,7.7,79.07,35.58,25.89,57.38,-1.61,2025-01-27,62.17,2025-09-01,46.54,2026-04-27,62.81,2026-05-18,25.9,33.35,1.01,65,4,handle avg volume 0.97x cup avg; latest week 1.31x handle avg,"cup has a declining left side, rising right side, and rounded U-shape fit; handle remains in upper half of the cup; no weekly close above the handle/rim resistance yet"
IEX,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,77.69,Strong,Clean cup/handle geometry with stronger confirmation traits.,Cup and Handle Pattern in Force,awaiting breakout,2026-05-25,210.83,223.85,6.18,291.71,38.36,30.31,203.45,-3.5,2025-01-27,226.05,2025-09-22,158.19,2026-04-27,223.85,2026-04-27,30.02,30.06,0.97,65,4,handle avg volume 1.05x cup avg; latest week 1.06x handle avg,"cup has a declining left side, rising right side, and rounded U-shape fit; handle remains in upper half of the cup; right rim is modestly below the left rim; no weekly close above the handle/rim resistance yet"
APO,APO,Apollo Global Management,Financials,Asset Management & Custody Banks,77.54,Strong,Clean cup/handle geometry with stronger confirmation traits.,Cup and Handle Pattern in Force,awaiting breakout,2026-05-25,128.71,136.58,6.11,174.05,35.23,27.43,126.08,-2.04,2025-11-10,137.03,2026-03-02,99.56,2026-05-11,136.58,2026-05-25,27.34,28.02,0.33,26,2,handle avg volume 0.76x cup avg; latest week 1.06x handle avg,"cup has a declining left side, rising right side, and rounded U-shape fit; handle remains in upper half of the cup; right rim is modestly below the left rim; no weekly close above the handle/rim resistance yet"
VZ,VZ,Verizon,Communication Services,Integrated Telecommunication Services,77.34,Strong,Clean cup/handle geometry with stronger confirmation traits.,Cup and Handle Pattern in Force,near breakout,2026-05-25,47.81,48.96,2.41,59.22,23.87,20.96,45.81,-4.18,2025-03-10,47.36,2025-10-20,38.39,2026-04-27,48.65,2026-05-18,21.09,27.68,2.65,59,4,handle avg volume 0.95x cup avg; latest week 1.21x handle avg,"cup has a declining left side, rising right side, and rounded U-shape fit; handle remains in upper half of the cup; no weekly close above the handle/rim resistance yet"
AMZN,AMZN,Amazon,Consumer Discretionary,Broadline Retail,73.98,Good watchlist,"Pattern shape is usable, but still needs breakout/confirmation.",Cup and Handle Pattern in Force,near breakout,2026-05-25,270.64,278.56,2.93,361.12,33.43,29.64,255.19,-5.71,2025-11-03,258.6,2026-02-16,196.0,2026-05-04,278.56,2026-05-18,29.64,28.31,7.17,26,3,handle avg volume 0.88x cup avg; latest week 1.15x handle avg,"cup has a declining left side, rising right side, and rounded U-shape fit; handle remains in upper half of the cup; no weekly close above the handle/rim resistance yet"
XYZ,XYZ,"Block, Inc.",Financials,Transaction & Payment Processing Services,71.68,Good watchlist,"Pattern shape is usable, but still needs breakout/confirmation.",Cup and Handle Pattern in Force,near breakout,2026-05-25,75.72,77.16,1.9,110.65,46.13,43.4,67.08,-11.41,2025-10-27,81.7,2026-02-09,48.21,2026-05-04,77.16,2026-05-18,40.99,30.1,5.56,27,3,handle avg volume 0.89x cup avg; latest week 1.01x handle avg,"cup has a declining left side, rising right side, and rounded U-shape fit; handle remains in upper half of the cup; right rim is modestly below the left rim; no weekly close above the handle/rim resistance yet"
