Variant,StopMode_IS,AtrMult_IS,UseTarget_IS,TrailMode_IS,TimeStopDays_IS,TotalReturnPct_IS,CagrPct_IS,MaxDrawdownPct_IS,Sharpe_IS,Trades_IS,WinRatePct_IS,StopMode_OOS,AtrMult_OOS,UseTarget_OOS,TrailMode_OOS,TimeStopDays_OOS,TotalReturnPct_OOS,CagrPct_OOS,MaxDrawdownPct_OOS,Sharpe_OOS,Trades_OOS,WinRatePct_OOS,BeatsSP500_IS
wider_1.5x_target_60d,wider,1.5,True,none,60,273.95,14.12,-15.93,0.968,92,59.78,wider,1.5,True,none,60,55.85,7.17,-27.49,0.552,63,50.79,True
wider_1.5x_no_target_60d,wider,1.5,False,none,60,273.95,14.12,-15.93,0.968,92,59.78,wider,1.5,False,none,60,54.42,7.02,-27.49,0.542,63,50.79,True
wider_2x_target_60d,wider,2.0,True,none,60,273.95,14.12,-15.93,0.968,92,59.78,wider,2.0,True,none,60,55.85,7.17,-27.49,0.552,63,50.79,True
wider_2x_no_target_60d,wider,2.0,False,none,60,273.95,14.12,-15.93,0.968,92,59.78,wider,2.0,False,none,60,54.42,7.02,-27.49,0.542,63,50.79,True
wider_2.5x_target_60d,wider,2.5,True,none,60,273.95,14.12,-15.93,0.968,92,59.78,wider,2.5,True,none,60,55.85,7.17,-27.49,0.552,63,50.79,True
wider_2.5x_no_target_60d,wider,2.5,False,none,60,273.95,14.12,-15.93,0.968,92,59.78,wider,2.5,False,none,60,54.42,7.02,-27.49,0.542,63,50.79,True
wider_3x_target_60d,wider,3.0,True,none,60,273.52,14.1,-15.93,0.967,92,59.78,wider,3.0,True,none,60,54.38,7.02,-28.13,0.541,63,50.79,True
wider_3x_no_target_60d,wider,3.0,False,none,60,273.52,14.1,-15.93,0.967,92,59.78,wider,3.0,False,none,60,52.96,6.86,-28.13,0.531,63,50.79,True
wider_3.5x_target_60d,wider,3.5,True,none,60,270.45,14.01,-15.93,0.961,92,59.78,wider,3.5,True,none,60,41.31,5.55,-29.56,0.441,63,50.79,True
wider_3.5x_no_target_60d,wider,3.5,False,none,60,270.45,14.01,-15.93,0.961,92,59.78,wider,3.5,False,none,60,41.38,5.56,-29.56,0.442,63,50.79,True
tighter_3x_target_60d,tighter,3.0,True,none,60,130.9,8.74,-13.99,0.706,101,48.51,tighter,3.0,True,none,60,27.7,3.89,-30.33,0.335,73,36.99,False
tighter_3x_no_target_60d,tighter,3.0,False,none,60,130.9,8.74,-13.99,0.706,101,48.51,tighter,3.0,False,none,60,26.56,3.75,-30.33,0.325,73,36.99,False
atr_3x_target_60d,atr,3.0,True,none,60,129.72,8.68,-13.99,0.702,101,48.51,atr,3.0,True,none,60,26.57,3.75,-30.91,0.325,73,36.99,False
atr_3x_no_target_60d,atr,3.0,False,none,60,129.72,8.68,-13.99,0.702,101,48.51,atr,3.0,False,none,60,25.44,3.6,-30.91,0.316,73,36.99,False
tighter_3.5x_target_60d,tighter,3.5,True,none,60,119.79,8.2,-15.81,0.655,99,49.49,tighter,3.5,True,none,60,56.22,7.21,-20.72,0.56,69,43.48,False
tighter_3.5x_no_target_60d,tighter,3.5,False,none,60,119.79,8.2,-15.81,0.655,99,49.49,tighter,3.5,False,none,60,54.81,7.06,-20.72,0.55,69,43.48,False
atr_3.5x_target_60d,atr,3.5,True,none,60,116.03,8.02,-15.82,0.636,99,49.49,atr,3.5,True,none,60,50.37,6.58,-22.85,0.517,68,44.12,False
atr_3.5x_no_target_60d,atr,3.5,False,none,60,116.03,8.02,-15.82,0.636,99,49.49,atr,3.5,False,none,60,48.97,6.42,-22.85,0.506,68,44.12,False
tighter_2.5x_target_60d,tighter,2.5,True,none,60,101.87,7.29,-15.26,0.609,107,42.99,tighter,2.5,True,none,60,-2.45,-0.39,-41.74,0.042,86,26.74,False
tighter_2.5x_no_target_60d,tighter,2.5,False,none,60,101.87,7.29,-15.26,0.609,107,42.99,tighter,2.5,False,none,60,-3.28,-0.52,-41.74,0.032,86,26.74,False
atr_2.5x_target_60d,atr,2.5,True,none,60,101.86,7.29,-15.26,0.609,107,42.99,atr,2.5,True,none,60,-2.45,-0.39,-41.74,0.042,86,26.74,False
atr_2.5x_no_target_60d,atr,2.5,False,none,60,101.86,7.29,-15.26,0.609,107,42.99,atr,2.5,False,none,60,-3.28,-0.52,-41.74,0.032,86,26.74,False
atr_1.5x_target_60d,atr,1.5,True,none,60,91.48,6.72,-14.82,0.596,130,29.23,atr,1.5,True,none,60,7.28,1.1,-30.44,0.151,101,19.8,False
atr_1.5x_no_target_60d,atr,1.5,False,none,60,91.48,6.72,-14.82,0.596,130,29.23,atr,1.5,False,none,60,7.21,1.09,-30.42,0.15,100,20.0,False
tighter_1.5x_target_60d,tighter,1.5,True,none,60,91.48,6.72,-14.82,0.596,130,29.23,tighter,1.5,True,none,60,7.28,1.1,-30.44,0.151,101,19.8,False
tighter_1.5x_no_target_60d,tighter,1.5,False,none,60,91.48,6.72,-14.82,0.596,130,29.23,tighter,1.5,False,none,60,7.21,1.09,-30.42,0.15,100,20.0,False
atr_2x_target_60d,atr,2.0,True,none,60,78.26,5.96,-14.81,0.516,118,34.75,atr,2.0,True,none,60,33.47,4.61,-32.66,0.414,92,26.09,False
atr_2x_no_target_60d,atr,2.0,False,none,60,78.26,5.96,-14.81,0.516,118,34.75,atr,2.0,False,none,60,33.8,4.65,-32.64,0.417,91,26.37,False
tighter_2x_target_60d,tighter,2.0,True,none,60,78.26,5.96,-14.81,0.516,118,34.75,tighter,2.0,True,none,60,33.47,4.61,-32.66,0.414,92,26.09,False
tighter_2x_no_target_60d,tighter,2.0,False,none,60,78.26,5.96,-14.81,0.516,118,34.75,tighter,2.0,False,none,60,33.8,4.65,-32.64,0.417,91,26.37,False
atr_3.5x_atrtrail_target_60d,atr,3.5,True,atr_trail,60,75.08,5.77,-14.82,0.578,138,46.38,atr,3.5,True,atr_trail,60,-19.17,-3.27,-45.89,-0.224,109,32.11,False
atr_3.5x_atrtrail_no_target_60d,atr,3.5,False,atr_trail,60,75.08,5.77,-14.82,0.578,138,46.38,atr,3.5,False,atr_trail,60,-19.17,-3.27,-45.89,-0.224,109,32.11,False
tighter_3.5x_atrtrail_target_60d,tighter,3.5,True,atr_trail,60,75.08,5.77,-14.82,0.578,138,46.38,tighter,3.5,True,atr_trail,60,-19.88,-3.4,-46.36,-0.235,110,31.82,False
tighter_3.5x_atrtrail_no_target_60d,tighter,3.5,False,atr_trail,60,75.08,5.77,-14.82,0.578,138,46.38,tighter,3.5,False,atr_trail,60,-19.88,-3.4,-46.36,-0.235,110,31.82,False
wider_3.5x_atrtrail_target_60d,wider,3.5,True,atr_trail,60,75.08,5.77,-14.82,0.578,138,46.38,wider,3.5,True,atr_trail,60,-19.3,-3.29,-45.98,-0.226,109,32.11,False
wider_3.5x_atrtrail_no_target_60d,wider,3.5,False,atr_trail,60,75.08,5.77,-14.82,0.578,138,46.38,wider,3.5,False,atr_trail,60,-19.3,-3.29,-45.98,-0.226,109,32.11,False
atr_2.5x_atrtrail_target_60d,atr,2.5,True,atr_trail,60,66.07,5.21,-12.68,0.612,184,46.74,atr,2.5,True,atr_trail,60,3.7,0.57,-30.3,0.107,144,36.81,False
atr_2.5x_atrtrail_no_target_60d,atr,2.5,False,atr_trail,60,66.07,5.21,-12.68,0.612,184,46.74,atr,2.5,False,atr_trail,60,3.7,0.57,-30.3,0.107,144,36.81,False
tighter_2.5x_atrtrail_target_60d,tighter,2.5,True,atr_trail,60,66.07,5.21,-12.68,0.612,184,46.74,tighter,2.5,True,atr_trail,60,3.7,0.57,-30.3,0.107,144,36.81,False
tighter_2.5x_atrtrail_no_target_60d,tighter,2.5,False,atr_trail,60,66.07,5.21,-12.68,0.612,184,46.74,tighter,2.5,False,atr_trail,60,3.7,0.57,-30.3,0.107,144,36.81,False
wider_2.5x_atrtrail_target_60d,wider,2.5,True,atr_trail,60,66.07,5.21,-12.68,0.612,184,46.74,wider,2.5,True,atr_trail,60,3.56,0.55,-30.4,0.105,144,36.81,False
