Symbol,SignalDate,EntryDate,ExitDate,EntryPrice,ExitPrice,Shares,PnL,ReturnPct,ExitReason,Score,BreakoutLevel,Target,Stop,HoldingDays
ALGN,2020-01-03,2020-01-06,2020-01-27,284.14,265.2025,117.313062,-2221.62,-6.66,stop,77.7,284.14,405.08,265.2025,21
CI,2020-01-03,2020-01-07,2020-01-31,188.55,176.8792,176.563779,-2060.64,-6.19,stop,78.32,188.55,253.61,176.8792,24
KR,2020-02-14,2020-02-18,2020-05-12,25.45,29.3903,1253.670483,4939.79,15.48,time_stop,85.94,25.45,33.28,23.4008,84
ADSK,2020-05-22,2020-05-26,2020-08-18,199.59,242.69,168.107177,7245.42,21.59,time_stop,65.73,199.59,259.75,177.8825,84
CAG,2020-06-26,2020-06-30,2020-09-23,26.5,25.6564,1349.868922,-1138.8,-3.18,time_stop,78.84,26.5,35.92,23.686,85
QCOM,2020-07-03,2020-07-06,2020-09-28,81.73,105.241,383.378156,9013.6,28.77,time_stop,80.69,81.73,112.29,74.7054,84
EXPD,2020-08-14,2020-08-19,2020-11-11,82.29,83.1935,474.820692,429.0,1.1,time_stop,82.08,82.29,109.42,76.5159,84
AOS,2020-10-02,2020-10-05,2020-12-29,48.99,49.4654,798.205876,379.46,0.97,time_stop,78.57,48.99,66.99,44.193,85
XYL,2020-10-02,2020-10-06,2020-12-30,81.85,94.3908,459.384931,5761.05,15.32,time_stop,77.37,81.85,111.93,74.3271,85
MTB,2021-01-01,2021-01-06,2021-04-01,110.13,130.7049,370.311637,7619.13,18.68,time_stop,81.49,110.13,145.97,98.371,85
RJF,2021-01-01,2021-01-06,2021-04-01,59.7,78.5457,700.360198,13198.78,31.57,time_stop,78.8,59.7,79.7,54.7386,85
IRM,2021-01-15,2021-01-20,2021-04-15,24.46,31.1874,1625.238651,10933.7,27.5,time_stop,84.69,24.46,32.58,22.3037,85
MSI,2021-04-02,2021-04-05,2021-06-28,179.61,203.369,284.533092,6760.23,13.23,time_stop,72.28,179.61,237.93,167.2947,84
ESS,2021-04-16,2021-04-20,2021-07-14,244.62,274.0147,208.030669,6114.99,12.02,time_stop,72.91,244.62,335.99,229.4934,85
KMI,2021-04-23,2021-04-26,2021-07-20,12.67,13.2517,4070.889651,2368.24,4.59,time_stop,77.08,12.67,17.1,11.7906,85
IFF,2021-08-06,2021-08-09,2021-09-14,133.6,126.4581,425.842291,-3041.33,-5.35,stop,71.71,133.6,179.64,126.4581,36
