Symbol,SignalDate,EntryDate,ExitDate,EntryPrice,ExitPrice,Shares,PnL,ReturnPct,ExitReason,Score,BreakoutLevel,Target,Stop,HoldingDays
MO,2010-01-08,2010-01-11,2010-02-05,7.43,7.1098,4481.732481,-1435.23,-4.31,stop,77.93,7.43,9.68,7.1098,25
ABT,2010-01-08,2010-01-11,2010-02-10,18.47,17.7863,1804.911849,-1234.03,-3.7,stop,77.29,18.47,24.15,17.7863,30
DVA,2010-01-08,2010-01-11,2010-02-12,30.99,29.3813,1075.61579,-1730.4,-5.19,stop,86.17,30.99,40.48,29.3813,32
DVA,2010-02-26,2010-03-01,2010-05-24,31.7,30.215,1005.261238,-1492.81,-4.68,time_stop,81.16,31.7,41.59,29.48,84
MKC,2010-02-26,2010-03-03,2010-05-26,13.67,13.8119,2326.489742,330.16,1.04,time_stop,75.56,13.67,18.15,13.036,84
D,2010-03-05,2010-03-09,2010-06-02,19.98,20.4264,1587.621781,708.73,2.23,time_stop,75.78,19.98,27.91,19.0547,85
HAL,2010-09-10,2010-09-13,2010-12-06,24.23,31.5239,1308.934241,9547.23,30.1,time_stop,73.55,24.23,33.15,21.6363,84
DRI,2010-09-10,2010-09-13,2010-12-06,24.54,27.364,1294.590998,3655.88,11.51,time_stop,70.39,24.54,32.26,22.4339,84
CBRE,2010-10-08,2010-10-12,2011-01-05,19.0,20.62,1666.40475,2699.58,8.53,time_stop,77.68,19.0,25.19,16.84,85
QCOM,2010-12-10,2010-12-13,2011-03-09,33.49,37.3305,1097.832551,4216.24,11.47,time_stop,84.16,33.49,45.6,31.6228,86
JEF,2010-12-17,2010-12-20,2011-03-16,18.03,21.2294,2060.494049,6592.42,17.75,time_stop,85.09,18.03,24.01,16.7546,86
TXT,2010-12-31,2011-01-05,2011-03-31,23.51,26.6479,1579.413015,4956.11,13.35,time_stop,81.17,23.51,30.82,21.8791,85
MSI,2011-03-18,2011-03-21,2011-06-14,32.61,35.7091,1288.100383,3991.97,9.5,time_stop,82.69,32.61,44.38,29.85,85
BAX,2011-04-15,2011-04-20,2011-07-15,22.53,24.9805,1908.538373,4676.83,10.88,time_stop,79.56,22.53,29.58,21.2784,86
EA,2011-04-15,2011-04-20,2011-07-15,19.91,22.9028,2099.928207,6284.64,15.03,time_stop,77.85,19.91,26.7,18.3791,86
ISRG,2011-07-01,2011-07-05,2011-08-05,42.16,39.0436,1091.008506,-3400.0,-7.39,stop,88.2,42.16,55.18,39.0436,31
FFIV,2011-12-02,2011-12-05,2012-03-01,113.6,127.33,406.007414,5574.48,12.09,time_stop,77.84,113.6,159.49,97.4575,87
JBL,2011-12-02,2011-12-05,2012-03-01,18.53,22.7528,2504.114113,10574.46,22.79,time_stop,74.03,18.53,25.36,16.2637,87
INTU,2012-01-06,2012-01-10,2012-04-04,48.28,52.4699,945.476732,3961.49,8.68,time_stop,82.95,48.28,62.79,45.2578,85
SNA,2012-04-20,2012-04-25,2012-06-04,45.59,42.0567,1155.268521,-4081.89,-7.75,stop,85.23,45.59,61.02,42.0567,40
MAR,2012-03-09,2012-03-12,2012-06-05,32.57,31.7174,1615.421509,-1377.31,-2.62,time_stop,84.88,32.57,43.2,30.5528,85
WFC,2012-03-09,2012-03-13,2012-06-06,21.42,20.993,2483.417069,-1060.32,-1.99,time_stop,85.12,21.42,28.1,19.6019,85
FIS,2012-06-29,2012-07-02,2012-07-23,26.67,24.9582,1899.240749,-3251.21,-6.42,stop,89.11,26.67,35.26,24.9582,21
AES,2012-06-29,2012-07-02,2012-07-25,8.12,7.5116,6261.173239,-3809.27,-7.49,stop,82.59,8.12,10.67,7.5116,23
KLAC,2012-07-27,2012-07-31,2012-10-09,30.87,28.2156,1553.444899,-4123.51,-8.6,stop,80.99,30.87,41.52,28.2156,70
AMZN,2012-07-27,2012-07-30,2012-10-22,11.92,11.689,4051.951337,-936.0,-1.94,time_stop,85.99,11.92,15.52,10.7531,84
GS,2012-10-12,2012-10-15,2012-11-09,95.43,88.7159,459.303476,-3083.79,-7.04,stop,85.35,95.43,124.54,88.7159,25
GE,2012-09-07,2012-09-10,2012-11-14,81.2,77.9373,599.060047,-1954.55,-4.02,stop,75.95,81.2,108.4,77.9373,65
