Year,StrategyReturnPct,SP500ReturnPct,ExcessPct,StrategyMaxDDPct,SP500MaxDDPct
2020,22.35,15.29,7.05,-7.86,-33.92
2021,29.87,28.79,1.08,-15.09,-5.21
2022,-2.89,-19.95,17.06,-11.69,-25.43
2023,13.38,24.73,-11.35,-9.22,-10.28
2024,19.26,24.01,-4.75,-5.33,-8.49
2025,0.54,16.65,-16.11,-11.01,-18.9
2026,16.04,10.52,5.52,-6.85,-9.1
