period_end,source_type,form,accession,source_url,stock_count,mapped_ticker_count,tickers,names
2019-09-30,SEC N-PORT,NPORT-P,0001752724-19-167594,https://www.sec.gov/Archives/edgar/data/1137360/000175272419167594/primary_doc.xml,25,25,"ADI, AMAT, AMD, ASML, AVGO, CDNS, INTC, KLAC, LRCX, MCHP, MRVL, MU, MXIM, NVDA, NXPI, OLED, ON, QCOM, QRVO, STM, SWKS, TER, TSM, TXN, XLNX",ADVANCED MICRO DEVICES INC; ANALOG DEVICES INC; APPLIED MATERIALS INC; ASML HOLDING NV; BROADCOM INC; CADENCE DESIGN SYSTEMS INC; INTEL CORP; KLA-TENCOR CORP; LAM RESEARCH CORP; MARVELL TECHNOLOGY GROUP LTD; MAXIM INTEGRATED PRODUCTS INC; MICROCHIP TECHNOLOGY INC; MICRON TECHNOLOGY INC; NVIDIA CORP; NXP SEMICONDUCTORS NV; ON SEMICONDUCTOR CORP; QORVO INC; QUALCOMM INC; SKYWORKS SOLUTIONS INC; STMicroelectronics NV; TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD; TERADYNE INC; TEXAS INSTRUMENTS INC; UNIVERSAL DISPLAY CORP; XILINX INC
2019-12-31,SEC N-PORT,NPORT-P,0001752724-20-035152,https://www.sec.gov/Archives/edgar/data/1137360/000175272420035152/primary_doc.xml,25,25,"ADI, AMAT, AMD, ASML, AVGO, CDNS, INTC, KLAC, LRCX, MCHP, MRVL, MU, MXIM, NVDA, NXPI, OLED, ON, QCOM, QRVO, STM, SWKS, TER, TSM, TXN, XLNX",ASML Holding NV; Advanced Micro Devices Inc; Analog Devices Inc; Applied Materials Inc; Broadcom Inc; Cadence Design Systems Inc; Intel Corp; KLA Corp; Lam Research Corp; Marvell Technology Group Ltd; Maxim Integrated Products Inc; Microchip Technology Inc; Micron Technology Inc; NVIDIA Corp; NXP Semiconductors NV; ON Semiconductor Corp; QUALCOMM Inc; Qorvo Inc; STMicroelectronics NV; Skyworks Solutions Inc; Taiwan Semiconductor Manufacturing Co Ltd; Teradyne Inc; Texas Instruments Inc; Universal Display Corp; Xilinx Inc
2020-03-31,SEC N-PORT,NPORT-P,0001752724-20-100662,https://www.sec.gov/Archives/edgar/data/1137360/000175272420100662/primary_doc.xml,25,25,"ADI, AMAT, AMD, ASML, AVGO, CDNS, INTC, KLAC, LRCX, MCHP, MRVL, MU, MXIM, NVDA, NXPI, OLED, ON, QCOM, QRVO, STM, SWKS, TER, TSM, TXN, XLNX",ASML Holding NV; Advanced Micro Devices Inc; Analog Devices Inc; Applied Materials Inc; Broadcom Inc; Cadence Design Systems Inc; Intel Corp; KLA Corp; Lam Research Corp; Marvell Technology Group Ltd; Maxim Integrated Products Inc; Microchip Technology Inc; Micron Technology Inc; NVIDIA Corp; NXP Semiconductors NV; ON Semiconductor Corp; QUALCOMM Inc; Qorvo Inc; STMicroelectronics NV; Skyworks Solutions Inc; Taiwan Semiconductor Manufacturing Co Ltd; Teradyne Inc; Texas Instruments Inc; Universal Display Corp; Xilinx Inc
2020-06-30,SEC N-PORT,NPORT-P,0001752724-20-176429,https://www.sec.gov/Archives/edgar/data/1137360/000175272420176429/primary_doc.xml,25,25,"ADI, AMAT, AMD, ASML, AVGO, CDNS, INTC, KLAC, LRCX, MCHP, MRVL, MU, MXIM, NVDA, NXPI, OLED, ON, QCOM, QRVO, STM, SWKS, TER, TSM, TXN, XLNX",ASML Holding NV; Advanced Micro Devices Inc; Analog Devices Inc; Applied Materials Inc; Broadcom Inc; Cadence Design Systems Inc; Intel Corp; KLA Corp; Lam Research Corp; Marvell Technology Group Ltd; Maxim Integrated Products Inc; Microchip Technology Inc; Micron Technology Inc; NVIDIA Corp; NXP Semiconductors NV; ON Semiconductor Corp; QUALCOMM Inc; Qorvo Inc; STMicroelectronics NV; Skyworks Solutions Inc; Taiwan Semiconductor Manufacturing Co Ltd; Teradyne Inc; Texas Instruments Inc; Universal Display Corp; Xilinx Inc
2020-09-30,SEC N-PORT,NPORT-P,0001752724-20-245814,https://www.sec.gov/Archives/edgar/data/1137360/000175272420245814/primary_doc.xml,25,25,"ADI, AMAT, AMD, ASML, AVGO, CDNS, INTC, KLAC, LRCX, MCHP, MRVL, MU, MXIM, NVDA, NXPI, OLED, ON, QCOM, QRVO, STM, SWKS, TER, TSM, TXN, XLNX",ASML Holding NV; Advanced Micro Devices Inc; Analog Devices Inc; Applied Materials Inc; Broadcom Inc; Cadence Design Systems Inc; Intel Corp; KLA Corp; Lam Research Corp; Marvell Technology Group Ltd; Maxim Integrated Products Inc; Microchip Technology Inc; Micron Technology Inc; NVIDIA Corp; NXP Semiconductors NV; ON Semiconductor Corp; QUALCOMM Inc; Qorvo Inc; STMicroelectronics NV; Skyworks Solutions Inc; Taiwan Semiconductor Manufacturing Co Ltd; Teradyne Inc; Texas Instruments Inc; Universal Display Corp; Xilinx Inc
2020-12-31,SEC N-PORT,NPORT-P,0001752724-21-034780,https://www.sec.gov/Archives/edgar/data/1137360/000175272421034780/primary_doc.xml,25,25,"ADI, AMAT, AMD, ASML, AVGO, CDNS, INTC, KLAC, LRCX, MCHP, MRVL, MU, MXIM, NVDA, NXPI, OLED, ON, QCOM, QRVO, STM, SWKS, TER, TSM, TXN, XLNX",ASML Holding NV; Advanced Micro Devices Inc; Analog Devices Inc; Applied Materials Inc; Broadcom Inc; Cadence Design Systems Inc; Intel Corp; KLA Corp; Lam Research Corp; Marvell Technology Group Ltd; Maxim Integrated Products Inc; Microchip Technology Inc; Micron Technology Inc; NVIDIA Corp; NXP Semiconductors NV; ON Semiconductor Corp; QUALCOMM Inc; Qorvo Inc; STMicroelectronics NV; Skyworks Solutions Inc; Taiwan Semiconductor Manufacturing Co Ltd; Teradyne Inc; Texas Instruments Inc; Universal Display Corp; Xilinx Inc
2021-03-31,SEC N-PORT,NPORT-P,0001752724-21-118486,https://www.sec.gov/Archives/edgar/data/1137360/000175272421118486/primary_doc.xml,25,25,"ADI, AMAT, AMD, ASML, AVGO, CDNS, INTC, KLAC, LRCX, MCHP, MRVL, MU, MXIM, NVDA, NXPI, OLED, ON, QCOM, QRVO, STM, SWKS, TER, TSM, TXN, XLNX",ASML Holding NV; Advanced Micro Devices Inc; Analog Devices Inc; Applied Materials Inc; Broadcom Inc; Cadence Design Systems Inc; Intel Corp; KLA Corp; Lam Research Corp; Marvell Technology Group Ltd; Maxim Integrated Products Inc; Microchip Technology Inc; Micron Technology Inc; NVIDIA Corp; NXP Semiconductors NV; ON Semiconductor Corp; QUALCOMM Inc; Qorvo Inc; STMicroelectronics NV; Skyworks Solutions Inc; Taiwan Semiconductor Manufacturing Co Ltd; Teradyne Inc; Texas Instruments Inc; Universal Display Corp; Xilinx Inc
2021-06-30,SEC N-PORT,NPORT-P,0001752724-21-190473,https://www.sec.gov/Archives/edgar/data/1137360/000175272421190473/primary_doc.xml,25,25,"ADI, AMAT, AMD, ASML, AVGO, CDNS, INTC, KLAC, LRCX, MCHP, MRVL, MU, MXIM, NVDA, NXPI, OLED, ON, QCOM, QRVO, STM, SWKS, TER, TSM, TXN, XLNX",ASML Holding NV; Advanced Micro Devices Inc; Analog Devices Inc; Applied Materials Inc; Broadcom Inc; Cadence Design Systems Inc; Intel Corp; KLA Corp; Lam Research Corp; Marvell Technology Inc; Maxim Integrated Products Inc; Microchip Technology Inc; Micron Technology Inc; NVIDIA Corp; NXP Semiconductors NV; ON Semiconductor Corp; QUALCOMM Inc; Qorvo Inc; STMicroelectronics NV; Skyworks Solutions Inc; Taiwan Semiconductor Manufacturing Co Ltd; Teradyne Inc; Texas Instruments Inc; Universal Display Corp; Xilinx Inc
2021-09-30,SEC N-PORT,NPORT-P,0001752724-21-249942,https://www.sec.gov/Archives/edgar/data/1137360/000175272421249942/primary_doc.xml,25,25,"ADI, AMAT, AMD, ASML, AVGO, CDNS, INTC, KLAC, LRCX, MCHP, MRVL, MU, NVDA, NXPI, OLED, ON, QCOM, QRVO, SNPS, STM, SWKS, TER, TSM, TXN, XLNX",ASML Holding NV; Advanced Micro Devices Inc; Analog Devices Inc; Applied Materials Inc; Broadcom Inc; Cadence Design Systems Inc; Intel Corp; KLA Corp; Lam Research Corp; Marvell Technology Inc; Microchip Technology Inc; Micron Technology Inc; NVIDIA Corp; NXP Semiconductors NV; ON Semiconductor Corp; QUALCOMM Inc; Qorvo Inc; STMicroelectronics NV; Skyworks Solutions Inc; Synopsys Inc; Taiwan Semiconductor Manufacturing Co Ltd; Teradyne Inc; Texas Instruments Inc; Universal Display Corp; Xilinx Inc
2021-12-31,SEC N-PORT,NPORT-P,0001752724-22-046844,https://www.sec.gov/Archives/edgar/data/1137360/000175272422046844/primary_doc.xml,25,25,"ADI, AMAT, AMD, ASML, AVGO, CDNS, INTC, KLAC, LRCX, MCHP, MRVL, MU, NVDA, NXPI, OLED, ON, QCOM, QRVO, SNPS, STM, SWKS, TER, TSM, TXN, XLNX",ASML Holding NV; Advanced Micro Devices Inc; Analog Devices Inc; Applied Materials Inc; Broadcom Inc; Cadence Design Systems Inc; Intel Corp; KLA Corp; Lam Research Corp; Marvell Technology Inc; Microchip Technology Inc; Micron Technology Inc; NVIDIA Corp; NXP Semiconductors NV; ON Semiconductor Corp; QUALCOMM Inc; Qorvo Inc; STMicroelectronics NV; Skyworks Solutions Inc; Synopsys Inc; Taiwan Semiconductor Manufacturing Co Ltd; Teradyne Inc; Texas Instruments Inc; Universal Display Corp; Xilinx Inc
2022-03-31,SEC N-PORT,NPORT-P,0001752724-22-126699,https://www.sec.gov/Archives/edgar/data/1137360/000175272422126699/primary_doc.xml,25,25,"ADI, AMAT, AMD, ASML, AVGO, CDNS, INTC, KLAC, LRCX, MCHP, MPWR, MRVL, MU, NVDA, NXPI, OLED, ON, QCOM, QRVO, SNPS, STM, SWKS, TER, TSM, TXN",ASML Holding NV; Advanced Micro Devices Inc; Analog Devices Inc; Applied Materials Inc; Broadcom Inc; Cadence Design Systems Inc; Intel Corp; KLA Corp; Lam Research Corp; Marvell Technology Inc; Microchip Technology Inc; Micron Technology Inc; Monolithic Power Systems Inc; NVIDIA Corp; NXP Semiconductors NV; ON Semiconductor Corp; QUALCOMM Inc; Qorvo Inc; STMicroelectronics NV; Skyworks Solutions Inc; Synopsys Inc; Taiwan Semiconductor Manufacturing Co Ltd; Teradyne Inc; Texas Instruments Inc; Universal Display Corp
2022-06-30,SEC N-PORT,NPORT-P,0001752724-22-189785,https://www.sec.gov/Archives/edgar/data/1137360/000175272422189785/primary_doc.xml,25,25,"ADI, AMAT, AMD, ASML, AVGO, CDNS, INTC, KLAC, LRCX, MCHP, MPWR, MRVL, MU, NVDA, NXPI, OLED, ON, QCOM, QRVO, SNPS, STM, SWKS, TER, TSM, TXN",ASML Holding NV; Advanced Micro Devices Inc; Analog Devices Inc; Applied Materials Inc; Broadcom Inc; Cadence Design Systems Inc; Intel Corp; KLA Corp; Lam Research Corp; Marvell Technology Inc; Microchip Technology Inc; Micron Technology Inc; Monolithic Power Systems Inc; NVIDIA Corp; NXP Semiconductors NV; ON Semiconductor Corp; QUALCOMM Inc; Qorvo Inc; STMicroelectronics NV; Skyworks Solutions Inc; Synopsys Inc; Taiwan Semiconductor Manufacturing Co Ltd; Teradyne Inc; Texas Instruments Inc; Universal Display Corp
2022-09-30,SEC N-PORT,NPORT-P,0001752724-22-271608,https://www.sec.gov/Archives/edgar/data/1137360/000175272422271608/primary_doc.xml,25,25,"ADI, AMAT, AMD, ASML, AVGO, CDNS, INTC, KLAC, LRCX, MCHP, MPWR, MRVL, MU, NVDA, NXPI, OLED, ON, QCOM, QRVO, SNPS, STM, SWKS, TER, TSM, TXN",ASML Holding NV; Advanced Micro Devices Inc; Analog Devices Inc; Applied Materials Inc; Broadcom Inc; Cadence Design Systems Inc; Intel Corp; KLA Corp; Lam Research Corp; Marvell Technology Inc; Microchip Technology Inc; Micron Technology Inc; Monolithic Power Systems Inc; NVIDIA Corp; NXP Semiconductors NV; ON Semiconductor Corp; QUALCOMM Inc; Qorvo Inc; STMicroelectronics NV; Skyworks Solutions Inc; Synopsys Inc; Taiwan Semiconductor Manufacturing Co Ltd; Teradyne Inc; Texas Instruments Inc; Universal Display Corp
2022-12-31,SEC N-PORT,NPORT-P,0001752724-23-042837,https://www.sec.gov/Archives/edgar/data/1137360/000175272423042837/primary_doc.xml,25,25,"ADI, AMAT, AMD, ASML, AVGO, CDNS, INTC, KLAC, LRCX, MCHP, MPWR, MRVL, MU, NVDA, NXPI, OLED, ON, QCOM, QRVO, SNPS, STM, SWKS, TER, TSM, TXN",ASML Holding NV; Advanced Micro Devices Inc; Analog Devices Inc; Applied Materials Inc; Broadcom Inc; Cadence Design Systems Inc; Intel Corp; KLA Corp; Lam Research Corp; Marvell Technology Inc; Microchip Technology Inc; Micron Technology Inc; Monolithic Power Systems Inc; NVIDIA Corp; NXP Semiconductors NV; ON Semiconductor Corp; QUALCOMM Inc; Qorvo Inc; STMicroelectronics NV; Skyworks Solutions Inc; Synopsys Inc; Taiwan Semiconductor Manufacturing Co Ltd; Teradyne Inc; Texas Instruments Inc; Universal Display Corp
2023-03-31,SEC N-PORT,NPORT-P,0001752724-23-126285,https://www.sec.gov/Archives/edgar/data/1137360/000175272423126285/primary_doc.xml,25,25,"ADI, AMAT, AMD, ASML, AVGO, CDNS, INTC, KLAC, LRCX, MCHP, MPWR, MRVL, MU, NVDA, NXPI, OLED, ON, QCOM, QRVO, SNPS, STM, SWKS, TER, TSM, TXN",ASML Holding NV; Advanced Micro Devices Inc; Analog Devices Inc; Applied Materials Inc; Broadcom Inc; Cadence Design Systems Inc; Intel Corp; KLA Corp; Lam Research Corp; Marvell Technology Inc; Microchip Technology Inc; Micron Technology Inc; Monolithic Power Systems Inc; NVIDIA Corp; NXP Semiconductors NV; ON Semiconductor Corp; QUALCOMM Inc; Qorvo Inc; STMicroelectronics NV; Skyworks Solutions Inc; Synopsys Inc; Taiwan Semiconductor Manufacturing Co Ltd; Teradyne Inc; Texas Instruments Inc; Universal Display Corp
2023-06-30,SEC N-PORT,NPORT-P,0001752724-23-177922,https://www.sec.gov/Archives/edgar/data/1137360/000175272423177922/primary_doc.xml,25,25,"ADI, AMAT, AMD, ASML, AVGO, CDNS, INTC, KLAC, LRCX, MCHP, MPWR, MRVL, MU, NVDA, NXPI, OLED, ON, QCOM, QRVO, SNPS, STM, SWKS, TER, TSM, TXN",ASML Holding NV; Advanced Micro Devices Inc; Analog Devices Inc; Applied Materials Inc; Broadcom Inc; Cadence Design Systems Inc; Intel Corp; KLA Corp; Lam Research Corp; Marvell Technology Inc; Microchip Technology Inc; Micron Technology Inc; Monolithic Power Systems Inc; NVIDIA Corp; NXP Semiconductors NV; ON Semiconductor Corp; QUALCOMM Inc; Qorvo Inc; STMicroelectronics NV; Skyworks Solutions Inc; Synopsys Inc; Taiwan Semiconductor Manufacturing Co Ltd; Teradyne Inc; Texas Instruments Inc; Universal Display Corp
