Family,Variant,IS_TotalReturnPct,IS_Sharpe,IS_Trades,OOS_TotalReturnPct,OOS_Sharpe,OOS_Trades,IS_Return_vs_SP500_PctPts,IS_Sharpe_vs_SP500,OOS_Return_vs_SP500_PctPts,OOS_Sharpe_vs_SP500
Trend filters,stock_close_gt_sma50_sma50_rising__market_spx_close_gt_sma200,206.54,0.813,71,145.81,1.058,49,21.38,0.028,13.14,0.311
Trend filters,stock_close_gt_sma50_sma50_rising__market_spx_sma200_rising,202.65,0.827,67,114.27,0.888,51,17.49,0.042,-18.4,0.141
Trend filters,stock_close_gt_sma50_sma50_rising__market_spx_close_gt_sma200_sma200_rising,199.35,0.82,67,146.57,1.067,47,14.19,0.035,13.9,0.32
Trend filters,stock_close_gt_sma200_sma200_rising__market_spx_close_gt_sma100,199.09,0.85,61,90.81,0.787,46,13.93,0.065,-41.86,0.04
Trend filters,stock_none__market_spx_close_gt_sma50_sma50_gt_sma200,197.01,0.852,61,159.65,1.092,47,11.85,0.067,26.98,0.345
Trend filters,stock_close_gt_sma50__market_spx_close_gt_sma50_sma50_gt_sma200,197.01,0.852,61,159.65,1.092,47,11.85,0.067,26.98,0.345
Trend filters,stock_close_gt_sma200__market_spx_close_gt_sma50_sma50_gt_sma200,197.01,0.852,61,159.65,1.092,47,11.85,0.067,26.98,0.345
Trend filters,stock_close_gt_sma200_sma200_rising__market_spx_close_gt_sma200,194.67,0.842,61,74.62,0.691,44,9.51,0.057,-58.05,-0.056
Trend filters,stock_close_gt_sma200_sma200_rising__market_none,186.16,0.809,65,110.26,0.789,53,1.0,0.024,-22.41,0.042
Trend filters,stock_close_gt_sma50_rs63_gt_spx__market_spx_sma50_gt_sma200,177.17,0.789,67,104.03,0.814,52,-7.99,0.004,-28.64,0.067
Trend filters,stock_close_gt_sma20_sma20_gt_sma50__market_spx_close_gt_sma100,175.33,0.756,68,119.43,0.89,50,-9.83,-0.029,-13.24,0.143
Trend filters,stock_close_gt_sma20_sma20_gt_sma50__market_none,173.15,0.743,72,130.21,0.847,60,-12.01,-0.042,-2.46,0.1
Trend filters,stock_close_gt_sma50_sma50_gt_sma150_gt_sma200__market_spx_sma200_rising,172.79,1.072,34,69.25,0.649,39,-12.37,0.287,-63.42,-0.098
Trend filters,stock_close_gt_sma50_sma50_gt_sma150_gt_sma200__market_spx_close_gt_sma200_sma200_rising,172.79,1.072,34,69.25,0.649,39,-12.37,0.287,-63.42,-0.098
Trend filters,stock_close_gt_sma50_sma50_rising__market_spx_sma50_gt_sma200,172.47,0.776,66,92.2,0.759,51,-12.69,-0.009,-40.47,0.012
Trend filters,stock_close_gt_sma20_sma20_gt_sma50__market_spx_close_gt_sma200,168.09,0.741,68,122.79,0.918,50,-17.07,-0.044,-9.88,0.171
Trend filters,stock_close_gt_sma50_sma50_gt_sma150_gt_sma200__market_spx_close_gt_sma100,167.16,1.041,34,51.68,0.519,41,-18.0,0.256,-80.99,-0.228
Trend filters,stock_close_gt_sma20_sma20_gt_sma50__market_spx_sma200_rising,164.43,0.754,64,99.23,0.778,51,-20.73,-0.031,-33.44,0.031
Trend filters,stock_close_gt_sma20_sma20_gt_sma50__market_spx_close_gt_sma200_sma200_rising,161.8,0.747,64,123.48,0.926,48,-23.36,-0.038,-9.19,0.179
Trend filters,stock_close_gt_sma50_sma50_gt_sma150_gt_sma200__market_spx_close_gt_sma200,161.15,1.018,35,59.03,0.573,40,-24.01,0.233,-73.64,-0.174
Trend filters,stock_close_gt_sma50_rs63_gt_spx__market_spx_close_gt_sma50_sma50_gt_sma200,158.43,0.757,60,159.65,1.092,47,-26.73,-0.028,26.98,0.345
Trend filters,stock_close_gt_sma200_sma200_rising__market_spx_close_gt_sma50_sma50_gt_sma200,156.68,0.784,53,106.35,0.902,41,-28.48,-0.001,-26.32,0.155
Trend filters,stock_close_gt_sma50_sma50_gt_sma150_gt_sma200__market_none,154.67,0.991,36,91.5,0.705,46,-30.49,0.206,-41.17,-0.042
Trend filters,stock_close_gt_sma200_sma200_rising__market_spx_sma50_gt_sma200,154.18,0.76,59,68.37,0.639,45,-30.98,-0.025,-64.3,-0.108
Trend filters,stock_close_gt_sma50_sma50_rising__market_spx_close_gt_sma50_sma50_gt_sma200,153.97,0.744,59,145.52,1.044,46,-31.19,-0.041,12.85,0.297
Trend filters,stock_close_gt_sma50_sma50_gt_sma150_gt_sma200__market_spx_close_gt_sma50_sma50_gt_sma200,145.1,1.0,30,69.54,0.672,36,-40.06,0.215,-63.13,-0.075
Trend filters,stock_close_gt_sma50_sma50_gt_sma150_gt_sma200__market_spx_sma50_gt_sma200,138.84,0.963,33,52.69,0.531,39,-46.32,0.178,-79.98,-0.216
Trend filters,stock_close_gt_sma20_sma20_gt_sma50__market_spx_sma50_gt_sma200,138.72,0.7,63,85.82,0.699,50,-46.44,-0.085,-46.85,-0.048
Trend filters,stock_close_gt_sma20_sma20_gt_sma50__market_spx_close_gt_sma50_sma50_gt_sma200,117.31,0.657,55,120.8,0.97,44,-67.85,-0.128,-11.87,0.223
ATR exits,tighter_3x_atrtrail_target_60d,296.68,1.223,100,99.17,0.911,71,111.52,0.438,-33.5,0.164
ATR exits,handle_3x_atrtrail_target_60d,296.68,1.223,100,97.46,0.899,71,111.52,0.438,-35.21,0.152
ATR exits,tighter_3x_atrtrail_no_target_60d,295.78,1.172,98,94.7,0.871,70,110.62,0.387,-37.97,0.124
ATR exits,atr_3x_atrtrail_target_60d,294.89,1.219,100,98.79,0.909,71,109.73,0.434,-33.88,0.162
ATR exits,wider_3x_atrtrail_target_60d,294.89,1.219,100,97.09,0.897,71,109.73,0.434,-35.58,0.15
ATR exits,atr_3x_atrtrail_no_target_60d,293.99,1.169,98,94.34,0.868,70,108.83,0.384,-38.33,0.121
ATR exits,wider_3x_atrtrail_no_target_60d,293.99,1.169,98,92.67,0.856,70,108.83,0.384,-40.0,0.109
ATR exits,atr_3.5x_atrtrail_no_target_60d,291.38,1.057,90,68.02,0.637,67,106.22,0.272,-64.65,-0.11
ATR exits,wider_3.5x_atrtrail_no_target_60d,291.16,1.056,90,67.64,0.633,67,106.0,0.271,-65.03,-0.114
ATR exits,tighter_3.5x_atrtrail_no_target_60d,289.52,1.053,91,65.79,0.626,68,104.36,0.268,-66.88,-0.121
