Symbol,SignalDate,EntryDate,ExitDate,EntryPrice,ExitPrice,Shares,PnL,ReturnPct,ExitReason,Score,BreakoutLevel,Target,Stop,HoldingDays
ABT,2010-01-08,2010-01-11,2010-03-26,18.47,17.7,1804.911772,-1389.78,-4.17,stop,77.29,18.47,24.15,17.7,74
DVA,2010-01-08,2010-01-11,2010-04-07,30.99,32.305,1075.61579,1414.44,4.24,time_stop,86.17,30.99,40.48,26.5,86
MO,2010-01-08,2010-01-11,2010-04-07,7.43,7.7809,4481.732481,1572.62,4.72,time_stop,77.93,7.43,9.68,6.78,86
SPGI,2010-04-09,2010-04-14,2010-04-22,28.04,25.81,1244.412092,-2775.04,-7.95,stop,69.72,28.04,37.57,25.81,8
TLAB,2010-04-02,2010-04-05,2010-06-04,7.78,7.07,4110.23294,-2918.27,-9.13,stop,90.84,7.78,10.2,7.07,60
DRI,2010-09-03,2010-09-07,2010-11-30,24.54,26.7305,1302.689042,2853.55,8.93,time_stop,70.01,24.54,32.26,21.34,84
HAL,2010-09-10,2010-09-13,2010-12-06,24.23,31.5239,1321.806099,9641.13,30.1,time_stop,73.55,24.23,33.15,21.01,84
CBRE,2010-10-08,2010-10-12,2011-01-05,19.0,20.62,1679.400862,2720.63,8.53,time_stop,77.68,19.0,25.19,17.14,85
NBR,2010-11-26,2010-12-01,2011-02-25,960.82,1210.7383,36.24148,9057.41,26.01,time_stop,85.34,960.82,1257.73,892.89,86
JEF,2010-12-17,2010-12-20,2011-03-16,18.03,21.2294,2054.99161,6574.82,17.75,time_stop,85.09,18.03,24.01,15.86,86
QCOM,2010-12-31,2011-01-05,2011-03-31,34.04,37.2151,1119.167665,3553.5,9.33,time_stop,82.53,34.04,46.15,30.07,85
MSI,2011-03-18,2011-03-21,2011-06-14,32.61,35.7091,1322.635711,4098.97,9.5,time_stop,82.69,32.61,44.38,28.47,85
BAX,2011-03-25,2011-03-30,2011-06-23,21.94,24.2368,2018.872024,4636.97,10.47,time_stop,84.56,21.94,28.53,20.43,85
