Symbol,Watchlist Source,Asset Type,Watchlist Note,Dashboard Trading Score,Dashboard Near-Term Score,Dashboard Flag,Dashboard Risk,Next Earnings,Latest Date,Last,Chg%,Trading Score,Trading View,Technical Label,RSI14,MACD,MACD Signal,ADX14,ATR%,EMA8,SMA20,SMA50,SMA200,Nearest Support,Nearest Resistance,Entry Plan,Entry Zone,Entry Trigger,Stop,Target 1,Target 2,Score Error,Investment Score,Investment View,Investment Note
AAPL,etrade,,,87.0,82.2,HOLD,Medium,2026-07-30,2026-06-26,283.7800,3.14,47.0,Avoid short-term,Bearish,41.3,-2.24,0.53,25.0,2.87,289.65,298.29,291.41,269.08,278.25,302.81,Reclaim entry,298.29-302.37,Wait for a daily close back above SMA20/SMA50 with MACD above signal before considering a long.,286.05,322.76,339.08,,70.0,Buy / accumulate,"Final stance: HOLD. AAPL closed at 315.20 on 2026 06 02, with a one day return of 2.9% and a 30 calendar day TradingAgents window return of 13.96%."
APP,etrade,,,90.0,84.4,HOLD,Medium,2026-08-05,2026-06-26,477.0800,6.99,31.0,Avoid short-term,Bearish,45.2,-12.81,-4.12,20.7,6.92,475.35,519.09,496.68,540.95,472.00,482.58,Reclaim entry,519.09-535.60,Wait for a daily close back above SMA20/SMA50 with MACD above signal before considering a long.,469.56,618.15,684.18,,70.0,Buy / accumulate,"Final stance: HOLD. APP closed at 605.63 on 2026 06 02, with a one day return of 1.31% and a 30 calendar day TradingAgents window return of 27.5%."
AVGO,etrade,,,87.8,80.0,HOLD,Medium,2026-06-03,2026-06-26,365.0200,-3.67,31.0,Avoid short-term,Bearish,39.9,-10.00,-6.69,19.4,5.35,382.34,403.21,411.37,360.01,366.79,414.64,Reclaim entry,411.37-421.13,Wait for a daily close back above SMA20/SMA50 with MACD above signal before considering a long.,382.10,469.93,508.97,,60.0,Hold / watch,"Final stance: HOLD. AVGO closed at 481.57 on 2026 06 02, with a one day return of 4.7% and a 30 calendar day TradingAgents window return of 15.62%."
CHAT,etrade,,,80.0,73.0,HOLD,Medium-high,,2026-06-26,93.6100,-4.26,50.0,Weak / neutral,Neutral,49.6,2.35,3.06,17.5,4.74,96.65,96.81,88.60,68.38,93.97,105.20,Pullback entry,86.38-89.71,Buy only after price holds the zone and closes back above the prior day's high or EMA8.,84.16,105.20,101.37,,55.0,Hold / watch,"Final stance: HOLD. CHAT closed at 103.45 on 2026 06 02, with a one day return of 1.39% and a 30 calendar day TradingAgents window return of 28.62%."
CRWD,etrade,,,80.0,69.1,HOLD,Medium-high,2026-06-03,2026-06-26,701.0900,3.31,78.0,Watch / constructive,Neutral,60.7,21.33,28.47,28.4,4.58,684.09,694.75,594.02,495.98,694.75,706.40,Pullback entry,678.68-702.78,Buy only after price holds the zone and closes back above the prior day's high or EMA8.,561.89,948.41,1077.25,,41.0,Speculative / avoid new,"Final stance: HOLD. CRWD closed at 768.95 on 2026 06 02, with a one day return of 1.69% and a 30 calendar day TradingAgents window return of 63.87%."
CRWV,etrade,,,82.5,69.2,BUY,High,2026-08-12,2026-06-26,96.5800,-2.21,26.0,Avoid short-term,Bearish,41.6,-1.61,-0.66,11.5,8.89,103.54,106.79,110.84,100.66,94.16,101.26,Reclaim entry,110.84-115.13,Wait for a daily close back above SMA20/SMA50 with MACD above signal before considering a long.,97.96,136.58,153.75,,35.0,Avoid long-term,"Final stance: BUY. CRWV closed at 119.27 on 2026 06 02, with a one day return of 4.45% and a 30 calendar day TradingAgents window return of 4.91%."
HOOD,etrade,,,82.6,79.1,HOLD,Medium,2026-07-29,2026-06-26,98.6900,5.58,67.0,Watch / constructive,Neutral,57.2,5.03,5.05,24.4,6.72,98.34,93.70,85.22,102.58,93.35,111.69,Pullback entry,90.38-95.35,Buy only after price holds the zone and closes back above the prior day's high or EMA8.,78.59,121.43,135.71,,70.0,Buy / accumulate,"Final stance: HOLD. HOOD closed at 88.16 on 2026 06 02, with a one day return of 2.83% and a 30 calendar day TradingAgents window return of 15.17%."
LITE,etrade,,,31.1,11.1,HOLD,High,2026-08-12,2026-06-26,816.9800,-5.22,39.0,Avoid short-term,Bearish,44.0,-16.87,-9.35,8.7,9.83,854.65,885.67,903.65,530.04,786.42,970.41,Reclaim entry,903.65-943.81,Wait for a daily close back above SMA20/SMA50 with MACD above signal before considering a long.,783.15,1144.64,1305.30,,78.0,Buy / accumulate,"Avoid near-term trade; No short-term entry; risk High. Trading score 31.1, investment score 78.0."
MU,etrade,,,35.7,15.7,HOLD,High,2026-06-24,2026-06-26,1132.3300,-6.69,78.0,Trade candidate,Bullish,59.0,94.53,94.05,24.3,8.41,1104.83,1035.41,802.14,425.71,1014.25,1246.77,Pullback entry,987.82-1059.20,Buy only after price holds the zone and closes back above the prior day's high or EMA8.,706.96,1656.61,1973.17,,79.0,Buy / accumulate,"Avoid near-term trade; No short-term entry; risk High. Trading score 35.7, investment score 79.0."
NVDA,etrade,,,73.0,53.0,HOLD,Medium,2026-06-03,2026-06-26,192.5300,-1.64,36.0,Avoid short-term,Bearish,37.6,-3.64,-1.73,16.0,3.79,200.56,207.71,209.92,190.43,192.32,192.07,Reclaim entry,209.92-213.56,Wait for a daily close back above SMA20/SMA50 with MACD above signal before considering a long.,198.99,231.78,246.36,,94.0,Strong long-term buy,"Long-term buy, wait for better short-term setup; Watch for pullback; risk Medium. Trading score 73.0, investment score 94.0."
