Symbol,Watchlist Source,Asset Type,Watchlist Note,Dashboard Trading Score,Dashboard Near-Term Score,Dashboard Flag,Dashboard Risk,Next Earnings,Latest Date,Last,Chg%,Trading Score,Trading View,Technical Label,RSI14,MACD,MACD Signal,ADX14,ATR%,EMA8,SMA20,SMA50,SMA200,Nearest Support,Nearest Resistance,Entry Plan,Entry Zone,Entry Trigger,Stop,Target 1,Target 2,Score Error,Investment Score,Investment View,Investment Note
AAPL,etrade,,,87.0,82.2,HOLD,Medium,2026-07-30,2026-07-06,312.6600,1.31,95.0,Strong trade,Bullish,62.4,0.89,-0.56,23.6,2.76,298.01,294.87,294.25,270.70,305.02,315.82,Pullback entry,300.71-307.18,Buy only after price holds the zone and closes back above the prior day's high or EMA8.,285.63,340.57,358.89,,70.0,Buy / accumulate,"Final stance: HOLD. AAPL closed at 315.20 on 2026 06 02, with a one day return of 2.9% and a 30 calendar day TradingAgents window return of 13.96%."
APP,etrade,,,90.0,84.4,HOLD,Medium,2026-08-05,2026-07-06,543.7900,3.17,60.0,Weak / neutral,Neutral,56.9,3.77,-2.28,18.3,6.48,517.57,503.46,501.84,539.61,505.91,573.54,Pullback entry,491.66-518.10,Buy only after price holds the zone and closes back above the prior day's high or EMA8.,466.59,581.46,619.75,,70.0,Buy / accumulate,"Final stance: HOLD. APP closed at 605.63 on 2026 06 02, with a one day return of 1.31% and a 30 calendar day TradingAgents window return of 27.5%."
AVGO,etrade,,,87.8,80.0,HOLD,Medium,2026-06-03,2026-07-06,373.9000,3.73,36.0,Avoid short-term,Bearish,44.8,-11.06,-9.52,21.6,4.87,373.65,381.76,407.93,360.28,369.74,383.15,Reclaim entry,407.93-417.03,Wait for a daily close back above SMA20/SMA50 with MACD above signal before considering a long.,380.61,462.56,498.98,,60.0,Hold / watch,"Final stance: HOLD. AVGO closed at 481.57 on 2026 06 02, with a one day return of 4.7% and a 30 calendar day TradingAgents window return of 15.62%."
CHAT,etrade,,,80.0,73.0,HOLD,Medium-high,,2026-07-06,91.0000,2.49,55.0,Weak / neutral,Neutral,46.7,0.61,1.90,16.2,4.93,93.73,94.85,90.36,69.29,90.36,104.61,Pullback entry,88.12-91.48,Buy only after price holds the zone and closes back above the prior day's high or EMA8.,85.88,104.61,103.25,,55.0,Hold / watch,"Final stance: HOLD. CHAT closed at 103.45 on 2026 06 02, with a one day return of 1.39% and a 30 calendar day TradingAgents window return of 28.62%."
CRWD,etrade,,,80.0,69.1,HOLD,Medium-high,2026-06-03,2026-07-06,199.3800,2.78,92.0,Strong trade,Bullish,74.6,9.48,7.86,34.3,4.61,187.53,174.98,156.81,126.08,176.19,209.49,Pullback entry,172.81-179.70,Buy only after price holds the zone and closes back above the prior day's high or EMA8.,147.62,233.53,262.16,,41.0,Speculative / avoid new,"Final stance: HOLD. CRWD closed at 768.95 on 2026 06 02, with a one day return of 1.69% and a 30 calendar day TradingAgents window return of 63.87%."
CRWV,etrade,,,82.5,69.2,BUY,High,2026-08-12,2026-07-06,86.4600,5.77,21.0,Avoid short-term,Bearish,38.3,-5.25,-2.90,15.8,9.89,92.51,100.61,107.98,100.00,80.62,87.18,Reclaim entry,107.98-112.26,Wait for a daily close back above SMA20/SMA50 with MACD above signal before considering a long.,95.16,133.63,150.73,,35.0,Avoid long-term,"Final stance: BUY. CRWV closed at 119.27 on 2026 06 02, with a one day return of 4.45% and a 30 calendar day TradingAgents window return of 4.91%."
HOOD,etrade,,,82.6,79.1,HOLD,Medium,2026-07-29,2026-07-06,117.5500,4.28,89.0,Strong trade,Bullish,69.9,6.80,5.57,26.6,5.85,106.97,98.53,87.17,102.37,112.14,119.80,Pullback entry,108.70-113.86,Buy only after price holds the zone and closes back above the prior day's high or EMA8.,80.29,173.26,204.24,,70.0,Buy / accumulate,"Final stance: HOLD. HOOD closed at 88.16 on 2026 06 02, with a one day return of 2.83% and a 30 calendar day TradingAgents window return of 15.17%."
LITE,etrade,,,31.1,11.1,HOLD,High,2026-08-12,2026-07-06,731.2500,0.40,32.0,Avoid short-term,Bearish,38.1,-33.98,-19.79,9.4,10.37,798.29,850.57,895.23,545.73,720.24,796.30,Reclaim entry,895.23-933.13,Wait for a daily close back above SMA20/SMA50 with MACD above signal before considering a long.,781.54,1122.63,1274.22,,78.0,Buy / accumulate,"Avoid near-term trade; No short-term entry; risk High. Trading score 31.1, investment score 78.0."
MU,etrade,,,35.7,15.7,HOLD,High,2026-06-24,2026-07-06,984.7500,0.94,48.0,Weak / neutral,Neutral,49.0,52.85,78.83,19.9,9.45,1054.51,1042.71,862.03,448.35,970.69,1089.29,Pullback entry,924.15-993.96,Buy only after price holds the zone and closes back above the prior day's high or EMA8.,768.95,1339.26,1529.36,,79.0,Buy / accumulate,"Avoid near-term trade; No short-term entry; risk High. Trading score 35.7, investment score 79.0."
NVDA,etrade,,,73.0,53.0,HOLD,Medium,2026-06-03,2026-07-06,195.5500,0.37,36.0,Avoid short-term,Bearish,42.0,-4.09,-3.25,18.3,3.51,197.55,202.33,209.51,190.92,196.95,197.39,Reclaim entry,209.51-212.95,Wait for a daily close back above SMA20/SMA50 with MACD above signal before considering a long.,199.21,230.12,243.85,,94.0,Strong long-term buy,"Long-term buy, wait for better short-term setup; Watch for pullback; risk Medium. Trading score 73.0, investment score 94.0."
