Symbol,Watchlist Source,Asset Type,Watchlist Note,Dashboard Trading Score,Dashboard Near-Term Score,Dashboard Flag,Dashboard Risk,Next Earnings,Latest Date,Last,Chg%,Trading Score,Trading View,Technical Label,RSI14,MACD,MACD Signal,ADX14,ATR%,EMA8,SMA20,SMA50,SMA200,Nearest Support,Nearest Resistance,Entry Plan,Entry Zone,Entry Trigger,Stop,Target 1,Target 2,Score Error,Investment Score,Investment View,Investment Note
AAPL,etrade,,,87.0,82.2,HOLD,Medium,2026-07-30,2026-06-10,291.5800,0.35,45.0,Weak / neutral,Neutral,43.8,4.17,7.52,39.5,2.50,301.03,304.40,283.81,265.80,290.34,303.20,Pullback entry,286.69-292.16,Buy only after price holds the zone and closes back above the prior day's high or EMA8.,276.51,315.25,328.17,,70.0,Buy / accumulate,"Final stance: HOLD. AAPL closed at 315.20 on 2026 06 02, with a one day return of 2.9% and a 30 calendar day TradingAgents window return of 13.96%."
APP,etrade,,,90.0,84.4,HOLD,Medium,2026-08-05,2026-06-10,492.9800,-5.35,44.0,Avoid short-term,Bearish,43.7,18.15,26.11,25.9,7.17,541.64,531.88,480.43,541.58,486.53,516.15,Reclaim entry,531.88-549.56,Wait for a daily close back above SMA20/SMA50 with MACD above signal before considering a long.,478.86,637.93,708.63,,70.0,Buy / accumulate,"Final stance: HOLD. APP closed at 605.63 on 2026 06 02, with a one day return of 1.31% and a 30 calendar day TradingAgents window return of 27.5%."
AVGO,etrade,,,87.8,80.0,HOLD,Medium,2026-06-03,2026-06-10,372.1000,-5.12,40.0,Avoid short-term,Bearish,37.8,-1.91,6.97,24.3,6.22,406.94,423.18,403.55,356.38,368.81,412.95,Reclaim entry,423.18-434.75,Wait for a daily close back above SMA20/SMA50 with MACD above signal before considering a long.,388.45,492.63,538.94,,60.0,Hold / watch,"Final stance: HOLD. AVGO closed at 481.57 on 2026 06 02, with a one day return of 4.7% and a 30 calendar day TradingAgents window return of 15.62%."
CHAT,etrade,,,80.0,73.0,HOLD,Medium-high,,2026-06-10,87.6200,-3.78,55.0,Weak / neutral,Neutral,46.6,3.27,4.71,29.3,4.62,93.34,92.50,82.10,65.94,86.06,89.07,Pullback entry,84.04-87.07,Buy only after price holds the zone and closes back above the prior day's high or EMA8.,78.05,100.56,108.07,,55.0,Hold / watch,"Final stance: HOLD. CHAT closed at 103.45 on 2026 06 02, with a one day return of 1.39% and a 30 calendar day TradingAgents window return of 28.62%."
CRWD,etrade,,,80.0,69.1,HOLD,Medium-high,2026-06-03,2026-06-10,647.7400,0.44,62.0,Weak / neutral,Neutral,53.9,42.86,56.28,43.4,5.41,676.21,664.67,531.89,481.52,625.42,785.23,Pullback entry,629.79-656.09,Buy only after price holds the zone and closes back above the prior day's high or EMA8.,496.82,935.18,1081.30,,41.0,Speculative / avoid new,"Final stance: HOLD. CRWD closed at 768.95 on 2026 06 02, with a one day return of 1.69% and a 30 calendar day TradingAgents window return of 63.87%."
CRWV,etrade,,,82.5,69.2,BUY,High,2026-08-12,2026-06-10,95.6100,-2.88,21.0,Avoid short-term,Bearish,40.5,-2.19,-0.45,13.8,9.31,103.30,106.86,108.18,100.03,93.75,101.26,Reclaim entry,108.18-112.63,Wait for a daily close back above SMA20/SMA50 with MACD above signal before considering a long.,94.82,134.89,152.70,,35.0,Avoid long-term,"Final stance: BUY. CRWV closed at 119.27 on 2026 06 02, with a one day return of 4.45% and a 30 calendar day TradingAgents window return of 4.91%."
HOOD,etrade,,,82.6,79.1,HOLD,Medium,2026-07-29,2026-06-10,86.3600,3.09,74.0,Trade candidate,Bullish,55.2,2.09,1.79,21.1,6.64,84.86,81.42,79.32,102.96,80.57,92.90,Pullback entry,79.73-84.03,Buy only after price holds the zone and closes back above the prior day's high or EMA8.,73.59,98.47,106.76,,70.0,Buy / accumulate,"Final stance: HOLD. HOOD closed at 88.16 on 2026 06 02, with a one day return of 2.83% and a 30 calendar day TradingAgents window return of 15.17%."
LITE,etrade,,,31.1,11.1,HOLD,High,2026-08-12,2026-06-10,853.2600,3.83,38.0,Avoid short-term,Bearish,46.2,-6.72,6.05,13.8,10.44,884.05,916.87,893.86,489.51,801.00,954.26,Reclaim entry,916.87-961.40,Wait for a daily close back above SMA20/SMA50 with MACD above signal before considering a long.,783.27,1184.07,1362.20,,78.0,Buy / accumulate,"Avoid near-term trade; No short-term entry; risk High. Trading score 31.1, investment score 78.0."
MU,etrade,,,35.7,15.7,HOLD,High,2026-06-24,2026-06-10,891.8800,-4.70,71.0,Watch / constructive,Neutral,55.5,86.90,100.93,33.3,8.19,934.57,873.24,652.21,372.85,864.14,1097.79,Pullback entry,836.73-891.49,Buy only after price holds the zone and closes back above the prior day's high or EMA8.,579.20,1433.93,1718.84,,79.0,Buy / accumulate,"Avoid near-term trade; No short-term entry; risk High. Trading score 35.7, investment score 79.0."
NVDA,etrade,,,73.0,53.0,HOLD,Medium,2026-06-03,2026-06-10,200.4200,-3.73,37.0,Avoid short-term,Bearish,41.2,-0.14,2.52,18.6,4.26,209.71,217.00,205.50,188.79,197.84,216.58,Reclaim entry,217.00-221.27,Wait for a daily close back above SMA20/SMA50 with MACD above signal before considering a long.,204.20,242.61,259.69,,94.0,Strong long-term buy,"Long-term buy, wait for better short-term setup; Watch for pullback; risk Medium. Trading score 73.0, investment score 94.0."
