Symbol,Watchlist Source,Asset Type,Watchlist Note,Dashboard Trading Score,Dashboard Near-Term Score,Dashboard Flag,Dashboard Risk,Next Earnings,Latest Date,Last,Chg%,Trading Score,Trading View,Technical Label,RSI14,MACD,MACD Signal,ADX14,ATR%,EMA8,SMA20,SMA50,SMA200,Nearest Support,Nearest Resistance,Entry Plan,Entry Zone,Entry Trigger,Stop,Target 1,Target 2,Score Error,Investment Score,Investment View,Investment Note
AAPL,etrade,,,55.4,59.5,HOLD,Medium,2026-07-30,2026-06-02,315.2000,2.90,87.0,Strong trade,Bullish,73.7,9.97,9.87,44.5,1.88,309.03,300.72,277.61,263.58,305.02,316.33,Pullback entry,302.06-306.50,Buy only after price holds the zone and closes back above the prior day's high or EMA8.,271.69,369.46,402.04,,70.0,Buy / accumulate,"Final stance: HOLD. AAPL closed at 306.31 on 2026 06 01, with a one day return of 1.84% and a 30 calendar day TradingAgents window return of 10.75%."
APP,etrade,,,60.0,62.8,HOLD,Medium,2026-08-05,2026-06-02,605.6300,-1.31,86.0,Strong trade,Bullish,71.4,37.37,24.36,28.5,5.57,571.32,512.83,464.66,538.07,585.76,621.65,Pullback entry,568.88-594.19,Buy only after price holds the zone and closes back above the prior day's high or EMA8.,430.92,882.78,1033.39,,70.0,Buy / accumulate,"Final stance: HOLD. APP closed at 613.70 on 2026 06 01, with a one day return of 0.1% and a 30 calendar day TradingAgents window return of 29.2%."
AVGO,etrade,,,55.2,56.6,HOLD,Medium,2026-06-03,2026-06-02,481.5700,4.70,93.0,Strong trade,Bullish,74.8,15.29,11.94,26.9,3.58,444.69,428.09,391.92,353.01,427.87,488.82,Pullback entry,419.47-432.40,Buy only after price holds the zone and closes back above the prior day's high or EMA8.,374.68,528.45,579.71,,60.0,Hold / watch,"Final stance: HOLD. AVGO closed at 459.97 on 2026 06 01, with a one day return of 2.95% and a 30 calendar day TradingAgents window return of 10.44%."
CHAT,etrade,,,60.0,58.6,HOLD,Medium,,2026-06-02,103.4500,1.39,83.0,Trade candidate,Bullish,80.5,6.13,4.98,35.2,2.75,96.76,89.67,78.25,64.66,89.84,103.40,Pullback entry,88.58-90.71,Buy only after price holds the zone and closes back above the prior day's high or EMA8.,75.40,118.14,132.39,,55.0,Hold / watch,"Final stance: HOLD. CHAT closed at 102.03 on 2026 06 01, with a one day return of 3.88% and a 30 calendar day TradingAgents window return of 26.86%."
CRWD,etrade,,,60.0,54.7,HOLD,Medium,2026-06-03,2026-06-02,768.9500,-1.69,88.0,Strong trade,Bullish,82.6,72.90,59.66,52.7,4.04,706.10,613.53,496.79,473.71,623.97,787.32,Pullback entry,609.75-633.05,Buy only after price holds the zone and closes back above the prior day's high or EMA8.,465.72,932.76,1088.45,,41.0,Speculative / avoid new,"Final stance: HOLD. CRWD closed at 782.17 on 2026 06 01, with a one day return of 7.0% and a 30 calendar day TradingAgents window return of 66.69%."
CRWV,etrade,,,49.8,45.6,HOLD,Medium,2026-08-12,2026-06-02,119.2700,-4.45,81.0,Trade candidate,Bullish,57.0,1.37,0.61,15.1,7.56,112.83,112.64,105.40,99.78,111.42,123.55,Pullback entry,108.12-114.89,Buy only after price holds the zone and closes back above the prior day's high or EMA8.,96.38,141.77,156.90,,35.0,Avoid long-term,"Final stance: HOLD. CRWV closed at 124.82 on 2026 06 01, with a one day return of 13.96% and a 30 calendar day TradingAgents window return of 0.49%."
HOOD,etrade,,,59.3,62.3,HOLD,Medium,2026-07-29,2026-06-02,88.1600,-2.83,86.0,Strong trade,Bullish,59.8,2.37,0.73,20.2,5.81,84.52,79.40,77.46,103.71,79.24,89.73,Pullback entry,78.29-82.14,Buy only after price holds the zone and closes back above the prior day's high or EMA8.,72.33,95.98,103.86,,70.0,Buy / accumulate,"Final stance: HOLD. HOOD closed at 90.73 on 2026 06 01, with a one day return of 3.79% and a 30 calendar day TradingAgents window return of 18.52%."
LITE,etrade,,,31.1,11.1,HOLD,High,2026-08-12,2026-06-02,1029.1500,13.72,74.0,Watch / constructive,Neutral,60.0,13.49,17.14,15.7,8.11,928.48,940.05,874.61,466.45,911.56,1062.61,Pullback entry,898.33-960.91,Buy only after price holds the zone and closes back above the prior day's high or EMA8.,791.18,1206.50,1344.95,,78.0,Buy / accumulate,"Avoid near-term trade; No short-term entry; risk High. Trading score 31.1, investment score 78.0."
MU,etrade,,,35.7,15.7,HOLD,High,2026-06-24,2026-06-02,1064.1000,2.76,83.0,Trade candidate,Bullish,81.8,119.83,96.45,41.0,5.41,936.79,800.51,582.19,347.85,801.78,1070.89,Pullback entry,774.27-817.43,Buy only after price holds the zone and closes back above the prior day's high or EMA8.,524.64,1338.27,1609.47,,79.0,Buy / accumulate,"Avoid near-term trade; No short-term entry; risk High. Trading score 35.7, investment score 79.0."
NVDA,etrade,,,73.0,53.0,HOLD,Medium,2026-06-03,2026-06-02,222.8200,-0.69,83.0,Watch / constructive,Neutral,58.8,4.34,5.36,23.2,3.52,218.64,217.97,201.27,188.06,216.73,235.26,Pullback entry,214.05-219.93,Buy only after price holds the zone and closes back above the prior day's high or EMA8.,193.42,264.12,287.69,,94.0,Strong long-term buy,"Long-term buy, wait for better short-term setup; Watch for pullback; risk Medium. Trading score 73.0, investment score 94.0."
