Symbol,Watchlist Source,Asset Type,Watchlist Note,Dashboard Trading Score,Dashboard Near-Term Score,Dashboard Flag,Dashboard Risk,Next Earnings,Latest Date,Last,Chg%,Trading Score,Trading View,Technical Label,RSI14,MACD,MACD Signal,ADX14,ATR%,EMA8,SMA20,SMA50,SMA200,Nearest Support,Nearest Resistance,Entry Plan,Entry Zone,Entry Trigger,Stop,Target 1,Target 2,Score Error,Investment Score,Investment View,Investment Note
AAPL,etrade,,,87.0,82.2,HOLD,Medium,2026-07-30,2026-07-07,310.6600,-0.64,95.0,Strong trade,Bullish,60.7,1.95,-0.06,23.7,2.70,300.82,295.04,295.00,271.06,305.02,316.21,Pullback entry,300.82-307.12,Buy only after price holds the zone and closes back above the prior day's high or EMA8.,286.61,338.69,356.05,,70.0,Buy / accumulate,"Final stance: HOLD. AAPL closed at 315.20 on 2026 06 02, with a one day return of 2.9% and a 30 calendar day TradingAgents window return of 13.96%."
APP,etrade,,,90.0,84.4,HOLD,Medium,2026-08-05,2026-07-07,527.9800,-2.91,46.0,Weak / neutral,Neutral,53.6,4.77,-0.87,18.2,6.60,519.88,502.00,503.32,539.22,506.34,573.02,Pullback entry,493.55-519.70,Buy only after price holds the zone and closes back above the prior day's high or EMA8.,468.45,582.99,621.17,,70.0,Buy / accumulate,"Final stance: HOLD. APP closed at 605.63 on 2026 06 02, with a one day return of 1.31% and a 30 calendar day TradingAgents window return of 27.5%."
AVGO,etrade,,,87.8,80.0,HOLD,Medium,2026-06-03,2026-07-07,370.7800,-0.83,36.0,Avoid short-term,Bearish,43.9,-10.79,-9.77,22.1,4.79,373.01,381.04,406.96,360.42,369.74,383.16,Reclaim entry,406.96-415.84,Wait for a daily close back above SMA20/SMA50 with MACD above signal before considering a long.,380.32,460.24,495.75,,60.0,Hold / watch,"Final stance: HOLD. AVGO closed at 481.57 on 2026 06 02, with a one day return of 4.7% and a 30 calendar day TradingAgents window return of 15.62%."
CHAT,etrade,,,80.0,73.0,HOLD,Medium-high,,2026-07-07,87.6000,-3.74,37.0,Avoid short-term,Bearish,43.1,0.02,1.52,17.1,5.17,92.37,94.70,90.57,69.43,85.93,89.07,Reclaim entry,94.70-96.96,Wait for a daily close back above SMA20/SMA50 with MACD above signal before considering a long.,87.90,108.28,117.34,,55.0,Hold / watch,"Final stance: HOLD. CHAT closed at 103.45 on 2026 06 02, with a one day return of 1.39% and a 30 calendar day TradingAgents window return of 28.62%."
CRWD,etrade,,,80.0,69.1,HOLD,Medium-high,2026-06-03,2026-07-07,194.6200,-2.39,95.0,Strong trade,Bullish,68.4,9.65,8.22,36.0,4.72,189.11,176.32,158.47,126.50,177.65,198.26,Pullback entry,174.38-181.27,Buy only after price holds the zone and closes back above the prior day's high or EMA8.,149.29,234.89,263.42,,41.0,Speculative / avoid new,"Final stance: HOLD. CRWD closed at 768.95 on 2026 06 02, with a one day return of 1.69% and a 30 calendar day TradingAgents window return of 63.87%."
CRWV,etrade,,,82.5,69.2,BUY,High,2026-08-12,2026-07-07,83.5300,-3.39,19.0,Avoid short-term,Bearish,36.6,-5.82,-3.48,17.2,10.10,90.51,99.77,107.31,99.82,78.78,87.18,Reclaim entry,107.31-111.53,Wait for a daily close back above SMA20/SMA50 with MACD above signal before considering a long.,94.65,132.63,149.50,,35.0,Avoid long-term,"Final stance: BUY. CRWV closed at 119.27 on 2026 06 02, with a one day return of 4.45% and a 30 calendar day TradingAgents window return of 4.91%."
HOOD,etrade,,,82.6,79.1,HOLD,Medium,2026-07-29,2026-07-07,112.9000,-3.96,89.0,Strong trade,Bullish,64.1,6.99,5.85,27.9,5.99,108.29,100.05,87.75,102.34,113.87,111.98,Pullback entry,101.07-106.14,Buy only after price holds the zone and closes back above the prior day's high or EMA8.,80.99,148.83,171.44,,70.0,Buy / accumulate,"Final stance: HOLD. HOOD closed at 88.16 on 2026 06 02, with a one day return of 2.83% and a 30 calendar day TradingAgents window return of 15.17%."
LITE,etrade,,,31.1,11.1,HOLD,High,2026-08-12,2026-07-07,698.9100,-4.42,27.0,Avoid short-term,Bearish,35.8,-40.93,-24.02,10.4,10.60,776.21,842.33,892.27,548.40,667.74,715.73,Reclaim entry,892.27-929.33,Wait for a daily close back above SMA20/SMA50 with MACD above signal before considering a long.,781.11,1114.60,1262.81,,78.0,Buy / accumulate,"Avoid near-term trade; No short-term entry; risk High. Trading score 31.1, investment score 78.0."
MU,etrade,,,35.7,15.7,HOLD,High,2026-06-24,2026-07-07,938.3800,-4.71,53.0,Weak / neutral,Neutral,46.3,39.45,70.94,20.3,9.92,1028.60,1046.28,871.04,452.18,868.93,1089.12,Pullback entry,824.50-894.30,Buy only after price holds the zone and closes back above the prior day's high or EMA8.,777.96,1089.12,1138.63,,79.0,Buy / accumulate,"Avoid near-term trade; No short-term entry; risk High. Trading score 35.7, investment score 79.0."
NVDA,etrade,,,73.0,53.0,HOLD,Medium,2026-06-03,2026-07-07,196.9300,0.71,36.0,Avoid short-term,Bearish,43.5,-4.01,-3.44,19.2,3.50,197.41,201.92,209.60,191.25,197.10,197.62,Reclaim entry,209.60-213.05,Wait for a daily close back above SMA20/SMA50 with MACD above signal before considering a long.,199.26,230.30,244.09,,94.0,Strong long-term buy,"Long-term buy, wait for better short-term setup; Watch for pullback; risk Medium. Trading score 73.0, investment score 94.0."
OPEN,etrade,,,77.7,67.4,HOLD,Medium,2026-08-06,2026-07-07,4.7900,-5.89,60.0,Weak / neutral,Neutral,53.3,0.03,-0.04,15.7,7.62,4.75,4.53,4.78,5.95,4.66,5.02,Pullback entry,4.60-4.87,Buy only after price holds the zone and closes back above the prior day's high or EMA8.,4.41,5.46,5.83,,41.0,Speculative / avoid new,"Final stance: HOLD. OPEN closed at 5.41 on 2026 06 02, with a one day return of 1.88% and a 30 calendar day TradingAgents window return of 5.46%."
PLTR,etrade,,,77.1,72.3,HOLD,Medium,2026-08-03,2026-07-07,134.3700,1.38,52.0,Weak / neutral,Neutral,55.8,-2.59,-4.53,18.7,5.10,126.32,125.45,134.04,157.56,133.56,138.72,Pullback entry,130.61-135.75,Buy only after price holds the zone and closes back above the prior day's high or EMA8.,127.19,146.88,153.73,,60.0,Hold / watch,"Final stance: HOLD. PLTR closed at 152.17 on 2026 06 02, with a one day return of 5.28% and a 30 calendar day TradingAgents window return of 4.2%."
QLD,etrade,,,80.0,73.0,HOLD,Medium-high,,2026-07-07,89.6900,-3.70,52.0,Avoid short-term,Bearish,46.3,0.14,0.76,18.1,4.70,92.26,92.89,91.34,75.00,87.05,94.42,Reclaim entry,92.89-95.00,Wait for a daily close back above SMA20/SMA50 with MACD above signal before considering a long.,86.57,105.52,113.95,,55.0,Hold / watch,"Final stance: HOLD. QLD closed at 100.53 on 2026 06 02, with a one day return of 0.9% and a 30 calendar day TradingAgents window return of 22.18%."
QTUM,etrade,,,80.0,73.0,HOLD,Medium-high,,2026-07-07,151.4400,-3.50,37.0,Avoid short-term,Bearish,44.3,1.08,2.93,16.4,4.01,157.61,160.00,152.06,122.11,149.69,168.96,Reclaim entry,160.00-163.04,Wait for a daily close back above SMA20/SMA50 with MACD above signal before considering a long.,150.88,178.23,190.39,,55.0,Hold / watch,"Final stance: HOLD. QTUM closed at 168.76 on 2026 06 02, with a one day return of 3.62% and a 30 calendar day TradingAgents window return of 24.37%."
