Symbol,SignalDate,EntryDate,ExitDate,EntryPrice,ExitPrice,Shares,PnL,ReturnPct,ExitReason,Score,BreakoutLevel,Target,Stop,HoldingDays
AMD,2010-04-08,2010-04-14,2010-05-04,9.83,8.765,3519.1976,-3747.94,-10.83,stop,88.63,9.83,12.89,8.765,20
AMKR,2010-04-08,2010-04-14,2010-05-06,6.85,5.9617,4866.180049,-4322.48,-12.97,stop,76.75,6.85,8.93,5.9617,22
AMKR,2010-10-26,2010-11-04,2010-11-12,6.59,5.8599,4649.953526,-3395.15,-11.08,stop,79.26,6.59,8.59,5.8599,8
AMD,2010-12-30,2011-01-04,2011-01-21,8.43,7.78,3351.315684,-2178.35,-7.71,stop,62.04,8.43,12.73,7.78,17
TER,2010-11-16,2010-11-22,2011-02-16,11.17,17.4017,2642.030057,16464.31,55.79,time_stop,67.8,11.17,15.07,9.7973,86
AMKR,2010-12-01,2010-12-09,2011-03-07,6.74,6.7341,4565.483718,-26.93,-0.09,time_stop,77.77,6.74,8.81,5.9378,88
AMAT,2011-02-18,2011-03-01,2011-03-10,13.11,11.945,2651.578202,-3089.06,-8.89,stop,63.05,13.11,18.03,11.945,9
AMD,2011-02-11,2011-02-16,2011-05-12,8.6,8.93,4064.892642,1341.42,3.84,time_stop,74.0,8.6,11.8,7.3875,85
TXN,2011-11-11,2011-11-16,2011-11-22,21.6,19.5106,1559.34892,-3258.16,-9.67,stop,69.13,21.6,28.99,19.5106,6
TER,2012-01-04,2012-01-05,2012-03-30,13.16,15.5346,2476.890943,5881.6,18.04,time_stop,64.34,13.16,17.99,11.5619,85
KLAC,2012-01-11,2012-01-18,2012-04-12,29.59,32.1874,1139.098367,2958.74,8.78,time_stop,85.1,29.59,39.14,27.3758,85
ADI,2012-01-11,2012-01-18,2012-04-12,26.95,28.51,1168.306083,1822.51,5.79,time_stop,66.47,26.95,35.3,25.1143,85
TER,2012-04-23,2012-04-26,2012-05-08,15.99,14.2149,2260.798494,-4013.2,-11.1,stop,62.52,15.99,22.23,14.2149,12
TER,2012-08-29,2012-09-07,2012-09-20,14.67,13.4513,2369.462035,-2887.59,-8.31,stop,60.13,14.67,19.32,13.4513,13
AMAT,2012-08-15,2012-08-16,2012-10-09,9.82,8.9692,3545.054471,-3016.05,-8.66,stop,56.87,9.82,12.9,8.9692,54
TSM,2012-12-26,2013-01-03,2013-04-01,12.37,12.097,2655.178165,-724.83,-2.21,time_stop,62.7,12.37,16.15,11.6139,88
