date,SOXL,TQQQ,equity,exposure,units,SOXL_1x_from_jan2,SOXL_2x_daily_from_jan2
2026-02-26,65.33999633789062,49.967384338378906,41728909.984716766,2.0,2.0,1.3831497463234474,1.656760306988681
2026-02-27,62.77000045776367,49.438262939453125,38446291.90226915,2.0,2.0,1.3287467872037737,1.5264307262736714
2026-03-02,62.7599983215332,49.61796569824219,38434039.391631626,2.0,2.0,1.328535056977798,1.5259442656090474
2026-03-03,53.41999816894531,48.02060317993164,26994461.845969293,2.0,3.0,1.1308212589098083,1.07175943276022
2026-03-04,56.619998931884766,50.17703628540039,30228542.76933624,2.0,3.0,1.1985604767176283,1.200161945679586
2026-03-05,54.79999923706055,49.7177963256836,28285203.325569797,2.0,3.0,1.1600338122350184,1.1230056611129173
2026-03-06,47.88999938964844,47.46152877807617,24718583.738255512,1.0,3.0,1.0137594768858336,0.8397951116614777
2026-03-09,53.31999969482422,49.308475494384766,30324009.46190891,2.0,3.0,1.1287044411585785,1.0302351939636138
2026-03-10,54.59000015258789,49.318458557128906,31768552.076997954,2.0,3.0,1.1555884465065835,1.0793124323517094
2026-03-11,56.09000015258789,49.26853942871094,33514396.663270146,2.0,3.0,1.1873411972835535,1.1386261764074808
2026-03-12,50.27999877929688,46.75270462036133,30042856.45808376,1.0,3.0,1.0643521802035785,0.9027402919148478
2026-03-13,50.720001220703125,45.85418701171875,30305762.792795468,1.0,2.0,1.073666372112399,0.9185401305004393
2026-03-16,53.68999862670898,47.38166046142578,33854975.5181647,2.0,3.0,1.136536763739833,1.0261135429310775
2026-03-17,54.95000076293945,48.08050537109375,35443999.26806277,2.0,3.0,1.1632091196132837,1.074275408797284
2026-03-18,54.02000045776367,46.023902893066406,34244256.604612984,2.0,3.0,1.1435224076714487,1.037912298910009
2026-03-19,54.84999847412109,45.61458206176758,35296558.15265484,2.0,3.0,1.1610922211106331,1.069806602573402
2026-03-20,51.13999938964844,43.00889205932617,32909134.231518924,1.0,3.0,1.0825571035692687,0.9250853035205778
2026-03-23,53.02999877929688,44.496429443359375,35341603.7017481,2.0,3.0,1.1225655566280235,0.9934627254953048
2026-03-24,54.959999084472656,43.547996520996094,37914083.713058405,2.0,3.0,1.1634207690878382,1.065775884368514
2026-03-25,57.040000915527344,44.38999938964844,40783856.815663934,2.0,3.0,1.2074512889259186,1.1464460382225279
2026-03-26,48.970001220703125,41.22999954223633,35013770.792285755,1.0,3.0,1.036621496205934,0.8220484565222891
2026-03-27,46.61000061035156,38.77999877929688,33326359.75735261,1.0,3.0,0.9866638220632739,0.7428148518348965
2026-03-30,40.619998931884766,37.88999938964844,29043481.656737525,1.0,3.0,0.8598644684299486,0.551891781634682
2026-03-31,47.90999984741211,41.68000030517578,34255865.05002025,1.0,3.0,1.0141828565863635,0.7499859076407147
2026-04-01,52.2599983215332,43.22999954223633,40476401.93884827,2.0,3.0,1.1062658015390079,0.8861761628792837
2026-04-02,52.75,43.33000183105469,41235433.91455961,2.0,3.0,1.1166384023234432,0.9027941430237335
2026-04-06,54.810001373291016,44.09999847412109,44456099.33606648,2.0,3.0,1.1602455424609937,0.9733062633811923
2026-04-07,56.54999923706055,44.150001525878906,47278705.28162941,2.0,3.0,1.197078688141483,1.0351034090350528
2026-04-08,67.5,48.0,65588231.92669261,2.0,2.0,1.428873784963648,1.435965770540691
2026-04-09,71.9800033569336,48.959999084472656,74294468.94023106,2.0,2.0,1.5237087383454488,1.6265770734285143
2026-04-10,76.38999938964844,49.16999816894531,83398061.54926127,2.0,2.0,1.6170617416482627,1.8258879405079254
2026-04-13,80.55999755859375,50.65999984741211,92503173.91299129,2.0,1.0,1.705334350047557,2.025232080564278
2026-04-14,85.30999755859375,53.40999984741211,97957370.65334156,1.0,1.0,1.805884727507962,2.264056625604352
2026-04-15,85.95999908447266,55.650001525878906,98703736.16990396,1.0,1.0,1.8196442851452173,2.298557629084238
2026-04-16,88.37000274658203,56.43000030517578,101471027.56319012,1.0,1.0,1.8706604489149132,2.427443910207131
2026-04-17,94.68000030517578,58.59000015258789,108716494.53491648,1.0,1.0,2.004233635502457,2.7741037420723655
2026-04-20,95.94000244140624,58.08000183105469,110163294.43897176,1.0,1.0,2.030905991375907,2.8479393278321803
2026-04-21,98.08999633789062,57.400001525878906,112632029.1130724,1.0,1.0,2.0764181382872904,2.9755826886114667
2026-04-22,105.63999938964844,60.209999084472656,121301334.80455284,1.0,1.0,2.236240381799176,3.433644860464075
2026-04-23,112.7699966430664,59.220001220703125,129488368.0210368,1.0,1.0,2.3871717323513497,3.8971412361886
2026-04-24,128.32000732421875,62.560001373291016,147343698.03567955,1.0,1.0,2.7163421415099167,4.971905617720005
2026-04-27,123.38999938964844,62.63999938964844,141682806.83428282,1.0,1.0,2.6119812659933195,4.589868012573016
2026-04-28,109.55999755859376,60.7400016784668,125802480.32776137,1.0,2.0,2.3192208650689747,3.5609696685876204
2026-04-29,117.97000122070312,61.86000061035156,145116086.45837647,2.0,2.0,2.49724803194655,4.1076613192051905
2026-04-30,126.9800033569336,63.540000915527344,167282675.1752022,2.0,1.0,2.687976266834345,4.735109600598528
2026-05-01,130.39999389648438,65.30000305175781,171788149.6704405,1.0,1.0,2.7603723383423127,4.990173856539088
2026-05-04,127.5500030517578,64.91000366210938,168033589.26622814,1.0,1.0,2.7000423056694802,4.772045781839635
2026-05-05,144.16000366210938,67.38999938964844,189915501.87691665,1.0,1.0,3.051651112193355,6.014910249930915
2026-05-06,165.85000610351562,71.56999969482422,218489777.6450152,1.0,1.0,3.51079594010925,7.824891030891891
2026-05-07,152.10000610351562,71.33999633789062,200375612.24218813,1.0,2.0,3.2197290579870255,6.527426482019827
2026-05-08,176.94000244140625,76.27999877929688,265823728.9360309,2.0,1.0,3.745554533332283,8.65946124076761
2026-05-11,190.4199981689453,76.95999908447266,286075241.77029127,1.0,1.0,4.030905829873062,9.978885892262035
2026-05-12,172.52000427246094,74.95999908447266,259183396.7389713,1.0,2.0,3.651989799803494,8.10280146538659
2026-05-13,184.2400054931641,77.23999786376953,294398208.3659104,2.0,2.0,3.9000846517146743,9.20371545464743
2026-05-14,186.19000244140625,78.94999694824219,300630031.9738704,2.0,2.0,3.9413631631235972,9.398539776335994
2026-05-15,164.17999267578125,75.33999633789062,229553498.83222264,2.0,2.0,3.4754442599992204,7.176487576461627
2026-05-18,151.75,74.31999969482422,194794716.56306747,2.0,3.0,3.212319953603458,6.089830346680768
2026-05-19,151.88999938964844,72.93000030517578,195154138.52584267,2.0,3.0,3.2152835307557477,6.101066887459651
2026-05-20,173.1999969482422,76.51000213623047,249913954.60651344,2.0,3.0,3.666384225112991,7.813012650828229
