date,SOXL,TQQQ,equity,exposure,units,SOXL_1x_from_jan2,SOXL_2x_daily_from_jan2
2026-01-02,47.2400016784668,52.26358795166016,24529796.897450004,2.0,1.0,1.0,1.0
2026-01-05,49.220001220703125,53.51152420043945,25557929.516044725,1.0,1.0,1.0419136213354299,1.0838272426708597
2026-01-06,54.0099983215332,54.91919708251953,28045178.708423447,1.0,1.0,1.143310677445474,1.2947792630462833
2026-01-07,52.290000915527344,55.07893371582031,27152054.54385136,1.0,1.0,1.1069009114655146,1.2123124219798618
2026-01-08,49.650001525878906,54.10055160522461,25781211.05239173,1.0,2.0,1.0510160830182749,1.0898988056840673
2026-01-09,53.95000076293945,55.6679573059082,30246837.81770004,2.0,2.0,1.1420406190953045,1.27868284954646
2026-01-12,54.650001525878906,55.79774475097656,31031742.70183269,2.0,2.0,1.1568585856081746,1.3118646459350516
2026-01-13,56.06999969482422,55.50822448730469,32644369.109351374,2.0,2.0,1.1869178175830242,1.3800383089952342
2026-01-14,55.380001068115234,53.74114990234375,31840924.487349257,2.0,2.0,1.1723115812961296,1.346072746548463
2026-01-15,58.08000183105469,54.29024124145508,34945674.17136606,2.0,1.0,1.2294665488449597,1.4773258116461934
2026-01-16,60.75,54.05063247680664,36552163.205603965,1.0,1.0,1.285986406467284,1.6131542237562606
2026-01-20,57.93999862670898,50.646263122558594,34861436.80552982,1.0,1.0,1.2265028909412485,1.4639207888892547
2026-01-21,63.47999954223633,52.64296340942383,38194753.9680574,1.0,1.0,1.343776403191199,1.7438697948585926
2026-01-22,63.720001220703125,53.811031341552734,38339158.585686,1.0,1.0,1.3488568788461393,1.7570560481922946
2026-01-23,61.59999847412109,54.29024124145508,37063591.73153958,1.0,1.0,1.3039795996069983,1.6401394261990112
2026-01-26,60.70000076293945,54.98908615112305,36522079.57970779,1.0,1.0,1.284927997591669,1.592213394830098
2026-01-27,64.95999908447266,56.44667434692383,39085242.60693874,1.0,1.0,1.3751057742676385,1.8157002582319246
2026-01-28,70.08999633789062,56.965816497802734,42171868.06951049,1.0,1.0,1.4837001237838525,2.102477889667776
2026-01-29,70.47000122070312,55.9474983215332,42400510.05297533,1.0,1.0,1.491744257342504,2.1252757754096296
2026-01-30,61.790000915527344,53.910865783691406,37177912.723272,1.0,2.0,1.308001666386324,1.6017226589178795
2026-02-02,65.19999694824219,55.00904846191406,41281377.13539562,2.0,2.0,1.3801861691711579,1.7785107421511623
2026-02-03,61.20000076293945,52.43330764770508,36216182.0803496,2.0,2.0,1.295512247850659,1.5602887630988649
2026-02-04,53.18999862670898,49.67786407470703,26736061.419783168,2.0,3.0,1.1259525134808435,1.1518601301003304
2026-02-05,53.25,47.56136322021485,26796381.04538942,2.0,3.0,1.127222652582434,1.1544588588624887
2026-02-06,61.75,50.50649642944336,35351094.242978536,2.0,3.0,1.307154906985264,1.5230184945556777
2026-02-09,64.02999877929688,51.654598236083984,37961635.18940121,2.0,3.0,1.3554190623258036,1.6354874923996783
2026-02-10,63.34000015258789,50.93578338623047,37143472.55789469,2.0,3.0,1.340812826038909,1.6002388856444216
2026-02-11,68.05000305175781,51.31515884399414,42667497.28197025,2.0,1.0,1.4405165248496747,1.8382284585080941
2026-02-12,63.09999847412109,48.18033981323242,39563833.83758485,1.0,2.0,1.3357323503839684,1.570800423936621
2026-02-13,64.58999633789062,48.38999557495117,41432297.52462316,2.0,2.0,1.367273370934963,1.6449839210101984
2026-02-17,64.3499984741211,48.27019119262695,41124396.5040083,2.0,2.0,1.3621929760314435,1.6327593460183563
2026-02-18,66.29000091552734,49.308475494384766,43604005.87497726,2.0,2.0,1.403259918717234,1.7312071220125806
2026-02-19,65.2300033569336,48.7494010925293,42209522.87198918,2.0,2.0,1.3808213598490848,1.6758420504358926
2026-02-20,67.11000061035156,49.97737121582031,44642568.49466698,2.0,2.0,1.4206180826818642,1.772441108839802
2026-02-23,65.86000061035156,48.16037368774414,42979531.38810118,2.0,2.0,1.394157457034389,1.7064136504610277
2026-02-24,68.52999877929688,49.69783020019531,46464355.83525799,2.0,2.0,1.4506773146567133,1.8447714178455032
2026-02-25,71.86000061035156,51.78438186645508,50979937.1213014,2.0,2.0,1.5211684601422686,2.024053259629476
