Model,"Full {'Range': '2010-06-25 to 2026-05-20', 'Return %': np.float64(1762382895020.58), 'Max DD %': -42.83, 'Sharpe': 2.521}",Full return %,Full DD %,Full Sharpe,OOS return %,OOS DD %,OOS Sharpe,Trade events,Avg exposure,Days >1x %,"Full {'Range': '2010-06-25 to 2026-05-20', 'Return %': np.float64(428112.2), 'Max DD %': -69.05, 'Sharpe': 1.105}"
same-close current,,1762382895020.58,-42.83,2.521,8908520.93,-42.83,2.557,813,0.916,37.28,
next-day execution,,428112.2,-69.05,1.105,10256.6,-69.05,1.28,669,0.919,38.0,
