Strategy,OOS period,OOS return %,OOS max drawdown %,OOS Sharpe,OOS avg exposure,OOS days > 1x %,Total trades,DCA trades
OOS Rank 1 - IS#4 rebound 8/20,2020-01-02 to 2026-05-20,1133849.67,-31.73,2.573,0.677,19.39,975,852
OOS Rank 3 - IS#8 profit 5/15,2020-01-02 to 2026-05-20,8908522.5,-42.83,2.557,0.915,38.15,813,690
