oos_sharpe_rank,is_selection_rank,variant,is_return_pct,is_max_drawdown_pct,is_sharpe,is_cash_days_pct,oos_return_pct,oos_max_drawdown_pct,oos_sharpe,oos_cash_days_pct,full_return_pct,full_max_drawdown_pct,full_sharpe,avg_exposure,days_above_1x_pct,trade_events,open_fallback_count
1,9,"cash=selected_and_qqq SMA200 exit=0% reentry=0%; unit=0.75, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=none, trend_exp=none",2404.78,-44.42,1.012,17.03,4605.65,-48.38,1.315,24.44,123259.85,-48.38,1.148,0.698,0.0,539,0
2,5,"cash=selected_and_qqq SMA200 exit=0% reentry=0%; unit=0.67, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=none, trend_exp=none",2324.84,-41.13,1.024,17.03,3866.01,-48.05,1.287,24.44,100068.95,-48.05,1.14,0.666,0.0,539,0
3,3,"cash=selected_and_qqq SMA200 exit=0% reentry=2%; unit=0.75, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=none, trend_exp=none",2589.96,-38.6,1.039,18.36,3999.17,-48.38,1.281,25.44,115305.27,-48.38,1.145,0.689,0.0,515,0
4,8,"cash=selected SMA200 exit=0% reentry=2%; unit=0.75, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=none, trend_exp=none",2444.8,-42.68,1.013,17.4,4148.29,-49.1,1.28,24.38,113049.17,-49.1,1.131,0.698,0.0,522,0
5,4,"cash=selected_and_qqq SMA200 exit=0% reentry=0%; unit=0.60, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=none, trend_exp=none",2244.96,-38.76,1.033,17.03,3297.57,-48.09,1.26,24.44,82536.1,-48.09,1.13,0.637,0.0,539,0
6,2,"cash=selected_and_qqq SMA200 exit=0% reentry=2%; unit=0.67, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=none, trend_exp=none",2454.67,-38.39,1.046,18.36,3402.61,-47.89,1.256,25.44,93101.32,-47.89,1.135,0.658,0.0,515,0
7,7,"cash=selected SMA200 exit=0% reentry=2%; unit=0.67, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=none, trend_exp=none",2305.55,-41.83,1.017,17.4,3431.82,-49.02,1.249,24.38,88392.98,-49.02,1.117,0.666,0.0,522,0
8,10,"cash=selected SMA200 exit=0% reentry=0%; unit=0.60, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=none, trend_exp=none",2108.73,-39.47,1.008,16.69,3133.77,-48.09,1.237,23.75,73982.6,-48.09,1.107,0.641,0.0,536,0
9,1,"cash=selected_and_qqq SMA200 exit=0% reentry=2%; unit=0.60, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=none, trend_exp=none",2330.37,-38.76,1.049,18.36,2937.44,-47.97,1.231,25.44,76467.62,-47.97,1.124,0.63,0.0,515,0
10,6,"cash=selected SMA200 exit=0% reentry=2%; unit=0.60, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=none, trend_exp=none",2179.0,-42.8,1.018,17.4,2888.88,-48.96,1.217,24.38,70551.08,-48.96,1.102,0.638,0.0,522,0
