Period,Date range,Return %,Max drawdown %,Sharpe,Cash days %,Trade events
Full,2010-06-25 to 2026-05-20,62845.46,-56.03,1.063,20.0,591
OOS,2020-01-02 to 2026-05-20,2755.44,-56.03,1.185,24.44,591
