variant,is_return_pct,is_max_drawdown_pct,is_sharpe,is_cash_days_pct,oos_return_pct,oos_max_drawdown_pct,oos_sharpe,oos_cash_days_pct,full_return_pct,full_max_drawdown_pct,full_sharpe,avg_exposure,max_exposure_used,trade_events
"cash=selected_and_qqq SMA250 exit=5% reentry=5%; unit=0.75, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=20, trend_sma=200, trend_exp=0.5, vol_target=none",1524.44,-49.46,0.905,20.28,6106.52,-49.71,1.387,25.75,105437.26,-49.71,1.127,0.684,1.0,439
"cash=selected_or_qqq SMA150 exit=0% reentry=0%; unit=0.75, cap=1.00, add=8%/20%, sell=rebound_from_low 5%, max_days=5, trend_sma=150, trend_exp=0.5, vol_target=none",1583.31,-47.17,0.938,12.27,4590.97,-47.31,1.331,20.07,82557.36,-47.31,1.117,0.677,1.0,786
"cash=selected_or_qqq SMA150 exit=0% reentry=0%; unit=1.00, cap=1.00, add=15%/30%, sell=rebound_from_low 5%, max_days=20, trend_sma=75, trend_exp=0.25, vol_target=none",1835.96,-47.36,0.935,12.27,4081.47,-48.67,1.271,20.07,85900.56,-48.67,1.089,0.756,1.0,369
"cash=selected_and_qqq SMA250 exit=5% reentry=5%; unit=0.75, cap=1.00, add=15%/30%, sell=extra_profit 15%, max_days=20, trend_sma=200, trend_exp=0.5, vol_target=none",1069.56,-47.3,0.876,20.28,4060.84,-45.52,1.346,25.75,50839.9,-47.3,1.094,0.612,1.0,200
"cash=selected_or_qqq SMA150 exit=0% reentry=0%; unit=0.75, cap=1.00, add=10%/20%, sell=extra_profit 10%, max_days=10, trend_sma=150, trend_exp=0.5, vol_target=none",1253.19,-46.25,0.883,12.27,4031.6,-46.34,1.303,20.07,58423.76,-46.34,1.077,0.675,1.0,437
"cash=selected_and_qqq SMA250 exit=3% reentry=4%; unit=0.75, cap=1.00, add=15%/30%, sell=extra_profit 15%, max_days=10, trend_sma=200, trend_exp=0.5, vol_target=none",1123.53,-49.36,0.886,18.28,3939.02,-45.52,1.338,25.37,51630.46,-49.36,1.096,0.618,1.0,240
"cash=qqq SMA150 exit=0% reentry=0%; unit=0.75, cap=1.00, add=8%/20%, sell=rebound_from_low 5%, max_days=5, trend_sma=150, trend_exp=0.5, vol_target=none",1370.16,-47.17,0.911,12.9,3910.01,-47.31,1.314,21.51,61611.13,-47.31,1.096,0.666,1.0,751
"cash=selected_or_qqq SMA200 exit=5% reentry=5%; unit=1.00, cap=1.00, add=8%/20%, sell=rebound_from_low 5%, max_days=20, trend_sma=75, trend_exp=0.25, vol_target=none",1367.38,-48.18,0.879,11.6,3722.44,-48.67,1.253,18.89,59488.01,-48.67,1.052,0.742,1.0,740
"cash=selected_or_qqq SMA200 exit=5% reentry=5%; unit=1.00, cap=1.00, add=8%/20%, sell=extra_profit 10%, max_days=5, trend_sma=75, trend_exp=0.25, vol_target=none",1367.38,-48.18,0.879,11.6,3722.44,-48.67,1.253,18.89,59488.01,-48.67,1.052,0.742,1.0,752
"cash=selected SMA200 exit=5% reentry=5%; unit=1.00, cap=1.00, add=5%/15%, sell=rebound_from_low 5%, max_days=20, trend_sma=75, trend_exp=0.25, vol_target=none",1355.89,-47.64,0.879,16.65,3487.82,-48.67,1.24,23.63,55392.6,-48.67,1.046,0.726,1.0,851
"cash=selected_or_qqq SMA200 exit=0% reentry=2%; unit=0.75, cap=1.00, add=15%/30%, sell=extra_profit 12%, max_days=5, trend_sma=150, trend_exp=0.5, vol_target=none",996.37,-49.69,0.853,13.81,3482.75,-49.01,1.3,20.57,41017.42,-49.69,1.06,0.64,1.0,344
"cash=qqq SMA150 exit=0% reentry=0%; unit=1.00, cap=1.00, add=5%/15%, sell=rebound_from_low 5%, max_days=20, trend_sma=75, trend_exp=0.25, vol_target=none",1605.53,-47.63,0.908,12.9,3468.13,-47.86,1.244,21.51,64551.16,-47.86,1.062,0.75,1.0,854
"cash=qqq SMA150 exit=0% reentry=0%; unit=1.00, cap=1.00, add=15%/30%, sell=extra_profit 12%, max_days=5, trend_sma=75, trend_exp=0.25, vol_target=none",1605.53,-47.63,0.908,12.9,3468.13,-47.86,1.244,21.51,64551.16,-47.86,1.062,0.75,1.0,335
"cash=selected_and_qqq SMA250 exit=5% reentry=5%; unit=0.67, cap=1.00, add=10%/20%, sell=extra_profit 10%, max_days=20, trend_sma=none, trend_exp=none, vol_target=none",864.24,-48.11,0.804,20.28,3458.85,-47.89,1.295,25.75,35649.85,-48.11,1.032,0.603,1.0,323
"cash=selected_and_qqq SMA250 exit=5% reentry=5%; unit=1.00, cap=1.00, add=15%/30%, sell=extra_profit 10%, max_days=10, trend_sma=75, trend_exp=0.25, vol_target=none",948.64,-48.91,0.813,20.28,3432.53,-48.67,1.255,25.75,39253.9,-48.91,1.02,0.689,1.0,249
"cash=selected_and_qqq SMA250 exit=5% reentry=5%; unit=1.00, cap=1.00, add=8%/20%, sell=rebound_from_low 5%, max_days=10, trend_sma=75, trend_exp=0.25, vol_target=none",948.64,-48.91,0.813,20.28,3432.53,-48.67,1.255,25.75,39253.9,-48.91,1.02,0.689,1.0,665
"cash=selected_and_qqq SMA250 exit=5% reentry=5%; unit=1.00, cap=1.00, add=5%/15%, sell=rebound_from_low 5%, max_days=20, trend_sma=75, trend_exp=0.25, vol_target=none",948.64,-48.91,0.813,20.28,3432.53,-48.67,1.255,25.75,39253.9,-48.91,1.02,0.689,1.0,830
"cash=selected_and_qqq SMA250 exit=5% reentry=5%; unit=1.00, cap=1.00, add=15%/30%, sell=rebound_from_low 5%, max_days=10, trend_sma=75, trend_exp=0.25, vol_target=none",948.64,-48.91,0.813,20.28,3432.53,-48.67,1.255,25.75,39253.9,-48.91,1.02,0.689,1.0,347
"cash=selected SMA150 exit=0% reentry=2%; unit=0.75, cap=1.00, add=10%/20%, sell=extra_profit 15%, max_days=5, trend_sma=200, trend_exp=0.5, vol_target=none",706.14,-49.47,0.762,18.74,3366.41,-42.48,1.275,25.06,29151.26,-49.47,1.003,0.634,1.0,499
"cash=selected SMA150 exit=0% reentry=2%; unit=0.75, cap=1.00, add=15%/30%, sell=extra_profit 10%, max_days=5, trend_sma=200, trend_exp=0.5, vol_target=none",706.03,-47.6,0.785,18.74,3293.75,-41.81,1.299,25.06,28534.37,-47.6,1.027,0.61,1.0,318
"cash=selected_or_qqq SMA150 exit=0% reentry=2%; unit=0.67, cap=1.00, add=15%/30%, sell=extra_profit 15%, max_days=20, trend_sma=none, trend_exp=none, vol_target=none",771.6,-46.65,0.817,14.9,3211.64,-44.61,1.305,21.2,29970.24,-46.65,1.045,0.592,1.0,209
"cash=selected SMA200 exit=5% reentry=5%; unit=0.67, cap=1.00, add=8%/20%, sell=extra_profit 12%, max_days=5, trend_sma=150, trend_exp=0.5, vol_target=none",1064.45,-45.81,0.862,16.65,3157.01,-49.34,1.245,23.63,39410.98,-49.34,1.038,0.624,1.0,649
"cash=selected SMA150 exit=0% reentry=2%; unit=0.67, cap=1.00, add=10%/20%, sell=rebound_from_low 5%, max_days=5, trend_sma=150, trend_exp=0.5, vol_target=none",845.31,-48.8,0.841,18.74,3077.77,-41.9,1.29,25.06,31195.19,-48.8,1.05,0.579,1.0,593
"cash=selected SMA150 exit=3% reentry=4%; unit=0.75, cap=1.00, add=15%/30%, sell=extra_profit 12%, max_days=5, trend_sma=150, trend_exp=0.5, vol_target=none",832.9,-47.32,0.821,18.07,3059.72,-45.42,1.271,25.06,30755.8,-47.32,1.031,0.615,1.0,297
"cash=qqq SMA250 exit=5% reentry=5%; unit=0.67, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=75, trend_exp=0.25, vol_target=none",945.46,-46.61,0.854,14.11,3023.42,-46.98,1.298,20.07,33918.53,-46.98,1.059,0.609,1.0,639
