Variant,StopMode_IS,AtrMult_IS,UseTarget_IS,TrailMode_IS,TimeStopDays_IS,TotalReturnPct_IS,CagrPct_IS,MaxDrawdownPct_IS,Sharpe_IS,Trades_IS,WinRatePct_IS,StopMode_OOS,AtrMult_OOS,UseTarget_OOS,TrailMode_OOS,TimeStopDays_OOS,TotalReturnPct_OOS,CagrPct_OOS,MaxDrawdownPct_OOS,Sharpe_OOS,Trades_OOS,WinRatePct_OOS,BeatsSP500_IS
tighter_2.5x_atrtrail_no_target_60d,tighter,2.5,False,atr_trail,60,184.0,11.02,-15.91,1.0,111,47.75,tighter,2.5,False,atr_trail,60,104.87,11.85,-10.68,1.044,75,50.67,False
atr_3.5x_target_60d,atr,3.5,True,none,60,183.03,10.98,-19.45,0.76,71,53.52,atr,3.5,True,none,60,144.26,14.96,-16.76,0.962,51,54.9,False
tighter_2.5x_target_60d,tighter,2.5,True,none,60,181.6,10.92,-17.33,0.814,77,44.16,tighter,2.5,True,none,60,148.36,15.26,-13.82,1.031,52,48.08,False
atr_2.5x_atrtrail_no_target_60d,atr,2.5,False,atr_trail,60,180.33,10.87,-15.91,0.988,111,47.75,atr,2.5,False,atr_trail,60,104.87,11.85,-10.68,1.044,75,50.67,False
wider_2.5x_atrtrail_no_target_60d,wider,2.5,False,atr_trail,60,179.78,10.85,-15.91,0.986,111,47.75,wider,2.5,False,atr_trail,60,102.57,11.65,-10.68,1.026,75,50.67,False
tighter_2x_no_target_60d,tighter,2.0,False,none,60,178.81,10.81,-20.77,0.762,76,40.79,tighter,2.0,False,none,60,189.61,18.06,-15.97,1.105,49,46.94,False
tighter_3x_target_60d,tighter,3.0,True,none,60,173.21,10.59,-17.1,0.765,76,46.05,tighter,3.0,True,none,60,159.58,16.06,-14.34,1.065,51,50.98,False
tighter_2x_target_60d,tighter,2.0,True,none,60,173.14,10.58,-16.29,0.802,80,40.0,tighter,2.0,True,none,60,181.23,17.52,-15.97,1.135,51,49.02,False
atr_2x_no_target_60d,atr,2.0,False,none,60,171.87,10.53,-20.77,0.744,76,40.79,atr,2.0,False,none,60,188.23,17.98,-15.97,1.101,49,46.94,False
tighter_3x_no_target_60d,tighter,3.0,False,none,60,170.97,10.5,-20.75,0.712,73,47.95,tighter,3.0,False,none,60,153.64,15.64,-14.34,1.003,48,47.92,False
atr_2.5x_no_target_60d,atr,2.5,False,none,60,166.83,10.33,-22.08,0.726,71,46.48,atr,2.5,False,none,60,140.18,14.66,-14.26,0.947,49,44.9,False
atr_2x_target_60d,atr,2.0,True,none,60,166.35,10.31,-16.29,0.782,80,40.0,atr,2.0,True,none,60,179.88,17.44,-15.97,1.13,51,49.02,False
tighter_3.5x_target_60d,tighter,3.5,True,none,60,164.11,10.21,-17.33,0.727,75,48.0,tighter,3.5,True,none,60,157.26,15.9,-14.86,1.053,52,51.92,False
tighter_3.5x_no_target_60d,tighter,3.5,False,none,60,162.25,10.13,-21.41,0.681,72,50.0,tighter,3.5,False,none,60,151.56,15.5,-14.86,0.992,49,48.98,False
tighter_2.5x_atrtrail_target_60d,tighter,2.5,True,atr_trail,60,161.74,10.11,-15.91,0.975,112,48.21,tighter,2.5,True,atr_trail,60,103.61,11.74,-10.68,1.045,76,51.32,False
tighter_2.5x_no_target_60d,tighter,2.5,False,none,60,159.1,10.0,-22.08,0.712,73,43.84,tighter,2.5,False,none,60,141.86,14.79,-13.82,0.965,49,44.9,False
atr_2.5x_atrtrail_target_60d,atr,2.5,True,atr_trail,60,158.36,9.97,-15.91,0.962,112,48.21,atr,2.5,True,atr_trail,60,103.61,11.74,-10.68,1.045,76,51.32,False
