date,SOXL/TQQQ Rotation with cash daily scanner,SOXL buy-and-hold,TQQQ buy-and-hold
2020-01-02,1.0,1.0,1.0
2020-01-03,0.9728091589386935,0.9459855001723856,0.9728091589386935
2020-01-06,0.9913033591556765,0.9159814936996749,0.9913033591556764
2020-01-07,0.9900923487745071,0.9632140414012977,0.9900923487745071
2020-01-08,1.0128797795208402,0.965337633897472,1.0128797795208402
2020-01-09,1.0384190669240636,0.9820181447257793,1.0384190669240636
2020-01-10,1.0299425218526173,0.9619470121208452,1.0299425218526173
2020-01-13,1.0659400076782912,0.9996575569181296,1.0659400076782912
2020-01-14,1.0535004197032058,1.0060967622882202,1.0535004197032056
2020-01-15,1.0541609708202073,0.9698249238233694,1.054160970820207
2020-01-16,1.083553385139816,1.0184273450771504,1.0835533851398158
2020-01-17,1.0997357443800837,1.0381899448669676,1.0997357443800835
2020-01-21,1.0991852851159158,1.0362721421388814,1.0991852851159156
2020-01-22,1.1066710914446498,1.061001431924279,1.1066710914446496
2020-01-23,1.1169086664974843,1.0852171076992096,1.1169086664974839
2020-01-24,1.0879567075219998,1.04853409459689,1.0879567075219994
2020-01-27,1.0206955976097056,0.9269078877709861,1.0206955976097054
2020-01-28,1.0681415809365935,0.9932524642641462,1.0681415809365933
2020-01-29,1.0719945319873991,0.9384847516159002,1.071994531987399
2020-01-30,1.084103756471194,0.9349909818935371,1.0841037564711937
2020-01-31,1.0308233446080757,0.8343950114859641,1.0308233446080757
2020-02-03,1.0781591481493402,0.8662486964792235,1.0781591481493402
2020-02-04,1.1518051458620324,0.9470473470328111,1.1518051458620324
2020-02-05,1.165125204861417,1.0090424003853016,1.1651252048614171
2020-02-06,1.193526968371103,1.0096929713835814,1.1935269683711032
2020-02-07,1.1781149883023008,0.9384504364504392,1.178114988302301
2020-02-10,1.2206075417139963,0.9809562978653538,1.2206075417139965
2020-02-11,1.221488188603875,1.0398343397428125,1.2214881886038753
2020-02-12,1.2572653148583022,1.0855254380649728,1.2572653148583024
2020-02-13,1.2524215371319944,1.0879230457614495,1.2524215371319947
2020-02-14,1.2608980822034408,1.0809358099907542,1.260898082203441
2020-02-18,1.2630995675289531,1.0360324421040399,1.2630995675289531
2020-02-19,1.299647512618795,1.1165228635165412,1.299647512618795
2020-02-20,1.2626594639159883,1.0666186929181394,1.2626594639159883
2020-02-21,1.1904444844245528,0.9708522530689804,1.190444484424553
2020-02-24,1.053280323930328,0.8323397456466809,1.0532803239303283
2020-02-25,0.9680755609980088,0.7558912761941627,0.9680755609980091
2020-02-26,0.9813957079301833,0.7622276372925476,0.9813957079301835
2020-02-27,0.8346542597017564,0.6546444817266177,0.8346542597017566
2020-02-28,0.8476440431426403,0.7021509940162044,0.8476440431426405
2020-03-02,0.9633419630573244,0.7716810604783028,0.9633419630573247
2020-03-03,0.8726330471472755,0.6935538303721404,0.8726330471472756
2020-03-04,0.9785335835548798,0.7950745388153109,0.97853358355488
2020-03-05,0.8926680936399795,0.7237634241635855,0.8926680936399796
2020-03-06,0.8458827493628828,0.6802643968315056,0.845882749362883
2020-03-09,0.6740422052769872,0.5079120244186313,0.6740422052769874
2020-03-10,0.6740422052769872,0.6048774199530439,0.7789519150090896
2020-03-11,0.6740422052769872,0.5022606507086639,0.6787757592512769
2020-03-12,0.6740422052769872,0.34949985899402514,0.49273446530972304
2020-03-13,0.6740422052769872,0.44499238486755865,0.625715487127431
2020-03-16,0.6740422052769872,0.27325669849237993,0.4100615511942064
2020-03-17,0.6740422052769872,0.3004178099150381,0.47688238162795604
2020-03-18,0.6740422052769872,0.2226332000339305,0.432738846121311
2020-03-19,0.6740422052769872,0.23951909573161856,0.442756369367663
2020-03-20,0.6740422052769872,0.21903683910155405,0.39090706365859146
2020-03-23,0.6740422052769872,0.23941632737842056,0.39211794214057605
2020-03-24,0.6740422052769872,0.3214346340636829,0.47952436626398726
2020-03-25,0.6740422052769872,0.3088502810098255,0.4684059244892996
2020-03-26,0.6740422052769872,0.3706065453495663,0.5446938628716281
2020-03-27,0.6740422052769872,0.313547966426609,0.48811087128908237
2020-03-30,0.6740422052769872,0.34728933980658394,0.5394099375659606
2020-03-31,0.6740422052769872,0.3248637212175223,0.5244385447404672
2020-04-01,0.6740422052769872,0.27229706324942954,0.459379096019265
2020-04-02,0.6740422052769872,0.2972259174852875,0.48656976121499196
2020-04-03,0.6740422052769872,0.279566488113085,0.4669748623016478
2020-04-06,0.6740422052769872,0.36532593232482513,0.5647291291963066
2020-04-07,0.6740422052769872,0.36073101526123963,0.563628166701576
2020-04-08,0.6740422052769872,0.39687272940396684,0.599625608560855
2020-04-09,0.6740422052769872,0.3708465996707769,0.6018272697519469
2020-04-13,0.6740422052769872,0.3842197207130185,0.6227431829665041
