rank_drawdown,variant,mode,sma_window,exit_buffer_pct,reentry_buffer_pct,unit_exposure,max_exposure,dca,add1_drop,add2_drop,sell_profit,max_extra_days,net_return_pct,cagr_pct,max_drawdown_pct,calmar,sharpe,return_2022_pct,drawdown_2022_pct,cash_days_pct,avg_exposure,days_above_1x_pct,trade_events,dca_events,base_rotation_return_pct,base_rotation_max_drawdown_pct,soxl_only_return_pct,soxl_only_max_drawdown_pct
172,selected_sma_else_other; SMA180; exit below SMA-2%; reenter above SMA+1%; unit=0.50; cap=1.00; dca=False,selected_sma_else_other,180,2.0,1.0,0.5,1.0,False,0.1,0.2,0.2,20,4391.78,27.03,-31.97,0.846,1.01,-28.27,-28.27,23.33,0.383,0.0,120,0,775116.8,-79.24,41069.8,-66.18
173,selected_sma_else_other; SMA180; exit below SMA-1%; reenter above SMA+1%; unit=0.50; cap=1.00; dca=False,selected_sma_else_other,180,1.0,1.0,0.5,1.0,False,0.1,0.2,0.2,20,4268.71,26.81,-31.97,0.839,1.0,-28.27,-28.27,23.55,0.382,0.0,125,0,775116.8,-79.24,41069.8,-66.18
174,selected_sma_else_other; SMA180; exit below SMA-2%; reenter above SMA+0%; unit=0.50; cap=1.00; dca=False,selected_sma_else_other,180,2.0,0.0,0.5,1.0,False,0.1,0.2,0.2,20,4221.38,26.72,-31.97,0.836,1.0,-28.27,-28.27,23.05,0.385,0.0,126,0,775116.8,-79.24,41069.8,-66.18
175,selected_sma_else_other; SMA180; exit below SMA-0%; reenter above SMA+1%; unit=0.50; cap=1.00; dca=False,selected_sma_else_other,180,0.0,1.0,0.5,1.0,False,0.1,0.2,0.2,20,4132.35,26.56,-31.97,0.831,1.0,-28.27,-28.27,23.85,0.381,0.0,133,0,775116.8,-79.24,41069.8,-66.18
176,selected_sma_else_other; SMA180; exit below SMA-1%; reenter above SMA+0%; unit=0.50; cap=1.00; dca=False,selected_sma_else_other,180,1.0,0.0,0.5,1.0,False,0.1,0.2,0.2,20,4038.41,26.38,-31.97,0.825,0.99,-28.27,-28.27,23.3,0.384,0.0,133,0,775116.8,-79.24,41069.8,-66.18
177,selected_sma_else_other; SMA180; exit below SMA-0%; reenter above SMA+0%; unit=0.50; cap=1.00; dca=False,selected_sma_else_other,180,0.0,0.0,0.5,1.0,False,0.1,0.2,0.2,20,4002.28,26.31,-31.97,0.823,0.99,-28.27,-28.27,23.62,0.382,0.0,143,0,775116.8,-79.24,41069.8,-66.18
178,qqq_sma_cash; SMA120; exit below SMA-2%; reenter above SMA+7%; unit=0.50; cap=1.00; dca=False,qqq_sma_cash,120,2.0,7.0,0.5,1.0,False,0.1,0.2,0.2,20,2254.16,21.98,-31.98,0.687,0.9,-11.3,-11.3,33.38,0.333,0.0,87,0,775116.8,-79.24,41069.8,-66.18
179,selected_or_qqq_cash; SMA200; exit below SMA-1%; reenter above SMA+5%; unit=0.50; cap=1.00; dca=False,selected_or_qqq_cash,200,1.0,5.0,0.5,1.0,False,0.1,0.2,0.2,20,7851.23,31.68,-32.04,0.989,1.11,-22.69,-22.69,17.5,0.412,0.0,98,0,775116.8,-79.24,41069.8,-66.18
180,selected_sma_else_other; SMA100; exit below SMA-2%; reenter above SMA+3%; unit=0.50; cap=1.00; dca=False,selected_sma_else_other,100,2.0,3.0,0.5,1.0,False,0.1,0.2,0.2,20,2572.61,22.95,-32.07,0.716,0.91,-30.13,-30.13,25.4,0.373,0.0,152,0,775116.8,-79.24,41069.8,-66.18
181,selected_and_qqq_cash; SMA220; exit below SMA-3%; reenter above SMA+3%; unit=0.50; cap=1.00; dca=False,selected_and_qqq_cash,220,3.0,3.0,0.5,1.0,False,0.1,0.2,0.2,20,4630.98,27.45,-32.13,0.854,1.01,-19.04,-19.04,20.23,0.399,0.0,108,0,775116.8,-79.24,41069.8,-66.18
182,selected_or_qqq_cash; SMA120; exit below SMA-1%; reenter above SMA+3%; unit=0.50; cap=1.00; dca=False,selected_or_qqq_cash,120,1.0,3.0,0.5,1.0,False,0.1,0.2,0.2,20,5184.81,28.34,-32.14,0.882,1.03,-20.54,-20.54,19.7,0.402,0.0,113,0,775116.8,-79.24,41069.8,-66.18
183,selected_or_qqq_cash; SMA100; exit below SMA-0%; reenter above SMA+7%; unit=0.50; cap=1.00; dca=False,selected_or_qqq_cash,100,0.0,7.0,0.5,1.0,False,0.1,0.2,0.2,20,2109.07,21.49,-32.23,0.667,0.87,-21.48,-21.48,26.2,0.369,0.0,126,0,775116.8,-79.24,41069.8,-66.18
184,qqq_sma_cash; SMA120; exit below SMA-1%; reenter above SMA+2%; unit=0.50; cap=1.00; dca=False,qqq_sma_cash,120,1.0,2.0,0.5,1.0,False,0.1,0.2,0.2,20,4179.03,26.65,-32.24,0.826,1.0,-18.43,-18.43,21.57,0.392,0.0,116,0,775116.8,-79.24,41069.8,-66.18
185,selected_sma_else_other; SMA220; exit below SMA-1%; reenter above SMA+7%; unit=0.50; cap=1.00; dca=False,selected_sma_else_other,220,1.0,7.0,0.5,1.0,False,0.1,0.2,0.2,20,4133.33,26.56,-32.24,0.824,1.0,-22.69,-22.69,26.47,0.368,0.0,96,0,775116.8,-79.24,41069.8,-66.18
186,qqq_sma_cash; SMA250; exit below SMA-1%; reenter above SMA+7%; unit=0.50; cap=1.00; dca=False,qqq_sma_cash,250,1.0,7.0,0.5,1.0,False,0.1,0.2,0.2,20,4384.93,27.02,-32.29,0.837,1.01,-19.04,-19.04,22.78,0.386,0.0,90,0,775116.8,-79.24,41069.8,-66.18
187,selected_sma_cash; SMA100; exit below SMA-3%; reenter above SMA+2%; unit=0.50; cap=1.00; dca=False,selected_sma_cash,100,3.0,2.0,0.5,1.0,False,0.1,0.2,0.2,20,4318.62,26.9,-32.34,0.832,1.02,-22.74,-22.74,23.52,0.382,0.0,133,0,775116.8,-79.24,41069.8,-66.18
188,selected_and_qqq_cash; SMA200; exit below SMA-2%; reenter above SMA+3%; unit=0.50; cap=1.00; dca=False,selected_and_qqq_cash,200,2.0,3.0,0.5,1.0,False,0.1,0.2,0.2,20,4604.95,27.4,-32.35,0.847,1.02,-16.98,-16.98,21.05,0.395,0.0,108,0,775116.8,-79.24,41069.8,-66.18
