date,SOXL/TQQQ Rotation with cash daily scanner,SOXL only daily scanner,selected_or_qqq SMA150 DCA/trend guard
2020-01-02,32.03302711338933,36.66274165184774,25.656708377221143
2020-01-03,31.16202216443664,34.682429421562496,24.27087930118661
2020-01-06,31.754447381427706,33.582396572558956,24.732296113635293
2020-01-07,31.71564941954623,35.31406384415378,24.70207789977907
2020-01-08,32.44559698973456,35.39192427838899,25.27060549015009
2020-01-09,33.26370894259242,36.003473826333895,25.907800867198887
2020-01-10,32.9921851779978,35.26760365463087,25.696321635103324
2020-01-13,34.145276716944814,36.650175616084134,26.594419499783687
2020-01-14,33.746813141826706,36.88626196135931,26.28407181802612
2020-01-15,33.76796977691395,35.55642949613657,26.300549892969787
2020-01-16,34.70949496498851,37.33833864374075,27.033867008213473
2020-01-17,35.22786210053717,38.062893445377846,27.43760287985282
2020-01-21,35.21022922400327,37.99257411707047,27.423869322517266
2020-01-22,35.450019444343745,38.89923252440288,27.61063253912683
2020-01-23,35.77796278033999,39.787038166915714,27.866054766978174
2020-01-24,34.850543893492556,38.442123489837314,27.14372449760293
2020-01-27,32.695964119241935,33.98298442440753,25.46560664730199
2020-01-28,34.21581103983387,36.41536591472587,26.649355922984913
2020-01-29,34.33922990855745,34.40742399269224,26.745482048897806
2020-01-30,34.72712784152242,34.27934023831855,27.04760056554904
2020-01-31,33.0203949636986,30.591208741700424,25.71829313298122
2020-02-03,34.536706858723434,31.75905587644181,26.899289115620036
2020-02-04,36.89580546673984,34.72134850515756,28.736698680141426
2020-02-05,37.32249291132595,36.994257129912434,29.06902882907188
2020-02-06,38.23227892163948,37.01811255752273,29.777625541111565
2020-02-07,37.738586546224525,34.40615848229785,29.393107874306
2020-02-10,39.09975166177851,35.96454732039046,30.453266103263918
2020-02-11,39.12796426423276,38.123170336362044,30.475239795000807
2020-02-12,40.2740082860731,39.798338692284936,31.367848624464944
2020-02-13,40.118853056341926,39.886237852669154,31.24700428920705
2020-02-14,40.39038527119688,39.630059210399246,31.458490102879612
2020-02-18,40.46090551031874,37.98378234544494,31.513415556785837
2020-02-19,41.63163837605999,40.93478929348819,32.425253560378756
2020-02-20,40.446804842598496,39.105165579489245,31.502433098635393
2020-02-21,38.13354326330993,35.59410162520814,29.70072420160945
2020-02-24,33.73975717445971,30.515870050318533,26.278576201232905
2020-02-25,31.010390693258817,27.713048431579153,24.152779483536843
2020-02-26,31.43707250433805,27.945354945954968,24.4851052447493
2020-02-27,26.736499714578834,24.001057796176557,20.824013091465076
2020-02-28,27.152607433244608,25.742780494204183,21.1481031059942
2020-03-02,30.85875922208099,28.291941502352806,23.242279368198847
2020-03-03,27.95308369281512,25.42759047134447,21.053775225225657
2020-03-04,31.345389996622064,29.1496161217219,23.608801182301907
2020-03-05,28.59486124682704,26.535151437166224,21.5371508883635
2020-03-06,27.09619067859643,24.94036340274478,20.408378348384357
2020-03-09,21.591613645583198,18.621443621953073,16.262426909302583
2020-03-10,21.591613645583198,18.621443621953073,16.262426909302583
2020-03-11,21.591613645583198,15.462334978644462,14.882974959890188
2020-03-12,21.591613645583198,15.462334978644462,14.882974959890188
2020-03-13,21.591613645583198,15.462334978644462,14.882974959890188
2020-03-16,21.591613645583198,15.462334978644462,14.882974959890188
2020-03-17,21.591613645583198,15.462334978644462,14.882974959890188
