year,SOXL/TQQQ Rotation with cash daily scanner,SOXL buy-and-hold,TQQQ buy-and-hold
2020,-53.4,-80.38,-69.92
2021,-40.92,-40.92,-30.43
2022,-40.63,-90.34,-81.02
2023,-29.0,-48.99,-33.14
2024,-44.3,-62.15,-37.37
2025,-37.78,-76.46,-56.84
2026,-43.47,-43.47,-33.49
