rank,ticker,asset_type,price,market_cap,long_term_score,short_term_score,buy_now_score,valuation_score,quality_score,growth_score,revision_score,technical_score,relative_strength_score,rsi14,macd_hist,adx14,dist_20dma,dist_50dma,dist_200dma,rs_1m,rs_3m,rs_6m,rs_12m,forward_revenue_growth,forward_eps_growth,eps_revision_signal,forward_pe,ev_sales,ev_ebitda,fcf_yield,fcf_margin,roic_proxy,gross_margin,operating_margin,debt_to_equity,macd_hist_pct,volume_ratio_20d,as_of,scoring_version,universe_size,image_mentions,long_term_rating,entry_score,entry_quality,short_put_eligible
1,MU,Stock,1016.5900268554688,1148129771520,70.4,80.0,73.2,70.1,78.8,73.9,77.5,66.1,94.1,60.147499117761015,5.868462748191806,8.564033236198812,0.0776907825415671,0.083481030963727,0.6765990061735894,0.1565398257595693,0.1730524005648071,1.352106362384679,6.468440714741311,0.8582,1.112,0.9905660377358492,6.5575776,12.501,16.541,0.0066538643675149,0.0846256956244569,0.1419950783027513,0.72569,0.80370003,6.33,0.0057726936062359,1.2677189174827137,2026-09-04,2.2-universe-normalization,27,1,STRONG BUY,80.0,EXCELLENT,True
2,NVDA,Stock,230.3600006103516,5562502742016,68.3,66.5,67.1,64.1,88.1,59.3,64.3,71.7,64.2,60.39296240999799,0.836369036974665,17.578839927978187,0.0467007744555438,0.0940017073845733,0.1721638895463337,0.0551705207814736,0.1194356355443395,-0.0977366107513894,-0.3853994163794483,0.6373,0.66080004,0.9074447748513168,14.902219,18.246,27.466,0.0075163783072306,0.1380000440194589,0.987441508009527,0.74674004,0.66236997,16.971,0.0036307042661862,1.046912245494214,2026-09-04,2.2-universe-normalization,27,1,STRONG BUY,66.5,GOOD,True
3,DRAM,ETF,59.68999862670898,26017624064,59.6,63.7,62.1,,,,,62.7,64.8,57.12976009371795,0.3572469491727622,11.789943189861049,0.066988398884602,0.0473656794710726,,0.1636313960974547,0.0661811902934899,,,,,,,,,,,,,,,0.0059850386562566,1.0644099955408957,2026-09-04,2.2-universe-normalization,27,0,BUY,63.7,FAIR,True
4,LITE,Stock,881.2550048828125,79048572928,61.2,63.0,58.6,40.5,70.6,65.9,82.5,44.9,72.6,51.775540257399015,-6.00912468842759,9.073905673869035,-0.0029777570161129,0.0794558325866336,0.2860851621838034,0.0547920299955495,0.0166488692809339,0.1832816709116648,4.480815219260848,0.5032,3.0479999,1.0,26.46316,25.873,97.391,0.0028425560598628,0.074552087079407,0.2482192975114965,0.44244,0.27954,35.987,-0.0068188261685125,0.7696616819438257,2026-09-04,2.2-universe-normalization,27,1,BUY,63.0,FAIR,True
5,META,Stock,616.77001953125,1571225468928,56.9,49.8,57.3,74.1,81.0,27.0,25.7,69.6,40.9,62.3981907251483,6.866923490078585,12.553662865109366,0.0691460163448729,0.0357325346562866,-0.0077808972971005,0.0488004484508153,0.0373245119565186,-0.4366377042004804,-0.9025986149306628,0.2016,0.081999995,0.4349884144323072,17.642334,6.981,14.53,0.0137177162121139,0.0944311450553298,0.2415129639615413,0.81747,0.34827,42.997,0.0111336856082879,0.9961426317142718,2026-09-04,2.2-universe-normalization,27,1,BUY,49.8,WAIT,True
6,AVGO,Stock,357.8999938964844,1702714146816,61.7,42.6,56.7,66.6,84.0,58.9,33.5,51.5,34.5,38.05195300949974,-1.393789616273792,23.701759971041703,-0.0539842349675617,-0.0671466882612008,-0.0301604857279107,-0.1457617190233438,-0.0744042195494467,-0.3078245061519588,-0.551348975136831,0.6367,0.6645,0.3020833333333333,18.474785,19.541,33.447,0.0179108891583641,0.3422643731199353,0.1911656891495601,0.75515,0.54307,59.604,-0.0038943549596061,1.3974417302666615,2026-09-04,2.2-universe-normalization,27,1,BUY,42.6,WAIT,True
7,ETN,Stock,410.8500061035156,159574147072,54.4,54.2,56.4,68.1,58.8,20.9,61.6,51.8,48.7,48.11192213027476,-3.319572902104869,16.633669074462166,-0.0290080352603075,-0.009380496983095,0.0833840974997974,-0.0778071186443969,0.0364864906433861,-0.2034487495156361,-0.5361296176106173,0.115,0.1857,1.0,25.571014,6.003,27.15,0.0194650895085061,0.1034478457428904,0.1390297387412369,0.36022,0.16563,105.059,-0.0080797684137516,1.1021711552762428,2026-09-04,2.2-universe-normalization,27,3,HOLD,54.2,WAIT,False
8,MRVL,Stock,223.5500030517578,200905424896,56.7,55.3,54.9,47.7,67.8,52.6,63.9,35.2,67.9,51.07756411332464,-2.085094715955944,13.64781019226158,-0.0045774566844638,0.0131247214318526,0.4735279787327033,0.065043897155004,-0.1550307740384222,1.1028947274417555,1.7658082057685152,0.5128,0.5998,0.9429175475687104,33.26216,20.887,69.25,0.0119859875423799,0.2548119968676348,0.0714111782009856,0.52216,0.16679001,28.525,-0.0093271960970324,0.8644967153988771,2026-09-04,2.2-universe-normalization,27,1,BUY,55.3,FAIR,True
9,AMZN,Stock,258.510009765625,2788369891328,51.1,55.1,54.5,65.5,56.6,18.3,51.6,56.2,53.3,49.54908461550693,-1.1794404189148715,16.52976240035307,-0.0140619032647461,0.0179587365124123,0.0810761489690941,-0.047252828286226,0.0470017977540293,-0.1823174240411692,-0.6322729589420256,0.1429,-0.16520001,0.9905660377358492,24.855967,3.761,17.269,0.0011544827685923,0.0041500681415152,0.1324511328950458,0.5077,0.13689,45.617,-0.0045624555118163,0.9388707890469152,2026-09-04,2.2-universe-normalization,27,2,HOLD,55.1,FAIR,False
10,HUBB,Stock,460.7200012207031,24341022720,51.9,43.0,53.3,79.3,57.6,16.5,41.7,46.2,32.2,43.15789275630853,-1.8887063370621144,17.47621767725384,-0.033884969903267,-0.0475421965037201,-0.0454417517820966,-0.0865263124033231,-0.0344949400337709,-0.4117570480595071,-0.662390026995053,0.1008,0.1197,0.9,20.107214,4.742,19.475,0.020369419876208,0.07966651163357,0.154830940906934,0.35338002,0.21666999,141.642,-0.004099466773871,1.1917525282473729,2026-09-04,2.2-universe-normalization,27,2,HOLD,43.0,WAIT,False
