rank,ticker,asset_type,price,market_cap,long_term_score,short_term_score,buy_now_score,valuation_score,quality_score,growth_score,revision_score,technical_score,relative_strength_score,rsi14,macd_hist,adx14,dist_20dma,dist_50dma,dist_200dma,rs_1m,rs_3m,rs_6m,rs_12m,forward_revenue_growth,forward_eps_growth,eps_revision_signal,forward_pe,ev_sales,ev_ebitda,fcf_yield,fcf_margin,roic_proxy,gross_margin,operating_margin,debt_to_equity,macd_hist_pct,volume_ratio_20d,as_of,scoring_version,universe_size,image_mentions,long_term_rating,entry_score,entry_quality,short_put_eligible
11,SOXL,ETF,117.27999877929688,19311783936,44.9,56.6,52.4,,,,,55.9,54.0,45.44506021975017,0.5134602393064505,19.585970743109463,-0.0490322578529841,-0.1923321205922104,0.0777480030919581,-0.1104804805648406,-0.3612344340764847,1.0541614919191953,2.844506465659201,,,,,,,,,,,,,0.0043780716631205,1.1635521716507755,2026-09-04,2.2-universe-normalization,27,0,AVOID,56.6,FAIR,False
12,SPCX,Stock,147.9499969482422,1950244274176,54.4,64.9,52.2,18.5,42.9,91.8,93.3,71.7,57.2,62.544835753605845,1.1298248411356315,19.46933980594245,0.0496890531761979,0.0880052278196679,,0.2906676931319327,,,,1.3727001,13.4163,1.0,92.1916,166.646,651.21,,,-0.0449359923364974,0.51875,-0.01804,31.211,0.0076365316961167,0.555556722608564,2026-09-04,2.2-universe-normalization,27,0,HOLD,64.9,FAIR,False
13,QTUM,ETF,147.88999938964844,5561583104,54.7,50.0,51.9,,,,,51.4,55.4,48.103181104600594,-0.5426461396380886,18.43822473528194,-0.0185290915995238,-0.0102025075274083,0.1327460459440252,-0.005795507403723,-0.0341278114714171,-0.0403236218142176,-0.1430116274929152,,,,,,,,,,,,,-0.0036692551347462,0.7278024750690857,2026-09-04,2.2-universe-normalization,27,0,HOLD,50.0,WAIT,False
14,PANW,Stock,333.260009765625,271606906880,54.1,52.8,51.6,40.0,71.4,51.1,42.8,33.0,75.8,43.495543800705214,-5.322941662313634,20.16315719503185,-0.0839043930034336,-0.0459318555898446,0.4298893004632915,-0.0697140597286241,0.2212717276890659,0.6243617213470916,0.0034291603065758,0.1421,4.6985,0.5654761904761905,68.09076,23.667,145.998,0.0164559514753971,0.3893336132980131,0.0696256442440932,0.70488,0.050440002,9.094,-0.0159723384334566,0.9144969228497672,2026-09-04,2.2-universe-normalization,27,2,HOLD,52.8,WAIT,False
15,GEV,Stock,941.9500122070312,250872922112,47.8,45.8,49.4,62.1,57.7,10.5,27.9,44.3,51.8,44.62011251356591,-1.883419746095015,16.01248256627491,-0.0308966908085415,-0.0723330935142252,0.0636622081714293,-0.055082111177836,0.005724865159798,-0.1999470129941624,-0.1525330890687228,0.1389,-0.19700001,0.7436294355798999,37.267284,5.875,61.887,0.0626696782563922,0.3800644396949709,0.1091123330714846,0.2057,0.07466,28.364,-0.0019994901233474,0.6111152296933303,2026-09-04,2.2-universe-normalization,27,3,HOLD,45.8,WAIT,False
16,AXTI,Stock,61.63999938964844,4041932800,52.0,51.6,48.4,29.0,33.5,78.3,86.6,35.1,52.1,46.713499420301744,-1.7924231733602578,15.760512530939671,-0.116785240599758,-0.0201377325553299,0.1285429349490749,-0.1767416408602881,-0.311450646733501,0.5094483439425308,19.095182179847985,1.1128,1.5645,1.0,27.690924,29.556,275.84,-0.0109890495952827,-0.3538949398051135,-0.073049061647768,0.32184,0.21902001,10.667,-0.0290788966759994,1.1294121825385632,2026-09-04,2.2-universe-normalization,27,0,HOLD,51.6,WAIT,False
17,VST,Stock,149.3000030517578,50110337024,40.2,44.3,46.8,75.9,45.1,7.1,13.3,66.3,35.5,57.50213467604944,1.3661906086809954,14.544830081921594,0.0523236978356989,-0.0022867698075758,-0.0519376118832421,0.0592695894217192,0.0013118224451185,-0.4511153303177939,-0.9381060703604704,0.0498,0.0793,0.3111111111111111,14.403398,3.783,10.935,0.000740865102987,0.0019323860859916,0.0619616656300741,0.38309,0.13766,373.28,0.0091506401926018,1.1665679561598528,2026-09-04,2.2-universe-normalization,27,2,AVOID,44.3,WAIT,False
18,IREN,Stock,44.68000030517578,17606541312,43.6,56.5,46.4,36.8,24.6,81.5,57.2,65.4,54.3,57.15950356150263,0.2836843931673835,13.36485825574526,0.0862522734138604,0.1107879264473501,-0.0214645890929923,0.1812097628380793,-0.1816446228997199,-0.1773453388022251,-0.0192296247370738,1.5553999,0.8914,0.6761904761904761,-168.60379,27.652,509.831,-0.2396437327031559,-5.967829771456173,-0.0489370746249191,0.68924004,-1.0247,187.297,0.0063492477893855,0.7881023102382216,2026-09-04,2.2-universe-normalization,27,1,AVOID,56.5,FAIR,False
19,CEG,Stock,298.9599914550781,105923731456,38.2,54.4,45.9,57.2,33.2,11.0,37.0,73.3,48.1,66.87016930018763,1.5120545701313963,16.924781798270608,0.0733278229755187,0.1233611526625109,0.0117840065736374,0.1500123614128312,0.1712538896150004,-0.4536235422738142,-0.7564140875554702,0.0361,0.101,0.8692876344086021,22.408022,4.166,16.382,-0.062546180850436,-0.2118683955357923,0.0608518487396802,0.22107,0.086619996,76.419,0.0050577154580852,1.181447163657946,2026-09-04,2.2-universe-normalization,27,2,AVOID,54.4,WAIT,False
20,CRWD,Stock,213.1000061035156,218200522752,42.7,60.3,45.3,24.7,52.7,37.2,45.2,57.3,78.9,53.119000145154885,0.1675962291779451,21.62314182805224,0.0120582957617207,0.0611831415136086,0.4955477893710112,0.0307830657517218,0.2665811399236122,0.5922087920285838,0.3374830744919082,0.2245,0.2764,0.8300815696649029,132.8885,39.666,2003.019,0.00914473277531,0.36977979942968,-0.1753753811214883,0.75185996,-0.02259,15.958,0.0007864675005993,0.8138179383336868,2026-09-04,2.2-universe-normalization,27,2,AVOID,60.3,FAIR,False
21,AAOI,Stock,105.52999877929688,8960160768,49.1,35.4,45.1,49.9,23.8,94.9,43.6,24.1,36.2,43.62203401669367,-2.17852979286404,16.008040218571868,-0.1286290064459621,-0.1028801811335727,0.0395984110267253,-0.1472085161051736,-0.4075090860610596,-0.2906827714124311,2.796158508497688,1.5647999,5.7676,-0.0249999999999999,22.931334,14.64,-271.756,-0.098999352240194,-1.4884140742229055,-0.0577443154291156,0.28916,-0.12884,17.994,-0.0206437014883338,0.6980286563246634,2026-09-04,2.2-universe-normalization,27,1,HOLD,35.4,WAIT,False
22,APLD,Stock,26.3700008392334,7497091584,42.0,41.0,43.4,53.5,16.1,74.8,44.8,42.6,34.9,44.41035825520589,-0.0873657889158838,23.24083424216647,-0.054465892767833,-0.0991360059132075,-0.1810724065684964,-0.0830282111459414,-0.3381507863466256,-0.3458579407388192,0.1110537927366508,1.274,0.7378,0.3333333333333333,-105.48,21.626,-123.521,-0.6617817942345147,-8.116063533595051,-0.0243103739538597,0.25879,-0.48219,136.231,-0.0033130749387728,0.8676876732572228,2026-09-04,2.2-universe-normalization,27,1,AVOID,41.0,WAIT,False
23,NBIS,Stock,226.38999938964844,61545304064,38.1,56.3,42.8,33.3,29.0,54.8,46.4,41.2,78.4,53.5292751162035,-1.364725433583977,9.104615432548842,0.0126769149989049,0.0624747722399545,0.4625780005101612,0.1955296658194394,-0.0099570250217038,1.139526909066134,1.7586103962979769,2.582,-1.243,0.7694444444444444,-75.526276,47.382,248.866,-0.1562206981381045,-7.095159132872045,-0.0601264622993222,0.7426,-0.00223,98.596,-0.0060282054740196,0.6811950271477512,2026-09-04,2.2-universe-normalization,27,1,AVOID,56.3,FAIR,False
24,MP,Stock,54.52999877929688,9711879168,40.4,39.6,37.7,24.0,24.3,82.3,43.2,54.1,30.8,50.52022460714066,-0.6086301158892147,21.94125656917363,-0.0339439664858103,0.0612996156040122,-0.054123810061753,0.1514920341919279,-0.0822976363228388,-0.4583251575103655,-0.8795000600557968,0.7924,1091.4814,0.2809523809523809,61.622086,23.194,237.35,-0.0445793091646504,-1.0401273462278615,-0.0609800939961663,0.42326,-0.1472,41.402,-0.0111613814324949,1.1713379340679846,2026-09-04,2.2-universe-normalization,27,2,AVOID,39.6,WAIT,False
25,RKLB,Stock,64.26000213623047,41088552960,42.3,30.7,36.9,29.8,26.4,53.7,60.7,30.2,16.3,37.193284521798965,-0.5966304297945473,22.010326092918277,-0.1044463813503272,-0.1422324106534184,-0.1914293269472557,-0.1475358948159099,-0.4199664912920781,-0.4782242995037823,-0.2343754538688971,0.42060003,0.72080004,0.9047619047619048,1445.9946,47.171,-241.04,-0.0061322099185456,-0.3275888287027707,-0.2062711808023433,0.37264,-0.24572,3.828,-0.0092846313408097,0.8686134265378823,2026-09-04,2.2-universe-normalization,27,1,AVOID,30.7,WAIT,False
26,KTOS,Stock,47.81999969482422,8976833536,43.3,21.9,36.5,40.8,40.0,43.5,38.7,22.2,8.6,35.69552018854655,-1.3182195435910526,21.78970300784384,-0.14977597945408,-0.0862711383649157,-0.3322334259399752,-0.1637937067021714,-0.1865672523541028,-0.8451288450009349,-0.97713664426903,0.2352,0.3669,0.6321990061909417,42.796158,5.079,88.883,-0.0131769742109652,-0.0776929435048763,0.011284156430183,0.23002,-0.00174,5.65,-0.0275662808867338,0.8763702517375959,2026-09-04,2.2-universe-normalization,27,2,AVOID,21.9,WAIT,False
27,AVAV,Stock,144.64999389648438,7351491072,37.8,19.3,33.9,48.6,35.8,34.3,17.1,25.8,8.3,38.89623943448217,-2.333956781123721,17.2361661421635,-0.1184528033396825,-0.0900203935342995,-0.319192265973548,-0.1514364156887739,-0.2257009880884956,-0.7653236484782234,-1.091242580996131,0.15359999,0.3644,-0.2,32.942753,3.792,38.512,-0.0341954443714789,-0.1271660129543304,-0.0139894461611692,0.25325,0.02812,18.971,-0.0161352013799182,1.228661816897111,2026-09-04,2.2-universe-normalization,27,2,AVOID,19.3,WAIT,False
