Variant,StockCondition,MarketCondition,TotalReturnPct_IS,CagrPct_IS,MaxDrawdownPct_IS,Sharpe_IS,Trades_IS,WinRatePct_IS,TotalReturnPct_OOS,CagrPct_OOS,MaxDrawdownPct_OOS,Sharpe_OOS,Trades_OOS,WinRatePct_OOS,BeatsSP500_IS
stock_close_gt_sma50_sma50_rising__market_spx_close_gt_sma50_sma50_gt_sma200,stock_close_gt_sma50_sma50_rising,market_spx_close_gt_sma50_sma50_gt_sma200,102.73,7.33,-12.21,0.72,47,61.7,45.0,5.97,-13.27,0.637,27,55.56,False
stock_close_gt_sma50_sma50_gt_sma200__market_spx_close_gt_sma50_sma50_gt_sma200,stock_close_gt_sma50_sma50_gt_sma200,market_spx_close_gt_sma50_sma50_gt_sma200,98.19,7.09,-12.21,0.685,49,61.22,47.32,6.24,-13.95,0.648,29,55.17,False
stock_close_gt_sma200_sma50_gt_sma200__market_spx_close_gt_sma50_sma50_gt_sma200,stock_close_gt_sma200_sma50_gt_sma200,market_spx_close_gt_sma50_sma50_gt_sma200,98.19,7.09,-12.21,0.685,49,61.22,42.36,5.67,-13.95,0.592,30,53.33,False
stock_close_gt_sma50_rs63_gt_spx__market_spx_close_gt_sma50_sma50_gt_sma200,stock_close_gt_sma50_rs63_gt_spx,market_spx_close_gt_sma50_sma50_gt_sma200,93.05,6.81,-12.21,0.682,45,64.44,51.1,6.66,-11.12,0.724,27,55.56,False
stock_close_gt_sma50_sma50_rising__market_none,stock_close_gt_sma50_sma50_rising,market_none,91.06,6.7,-17.43,0.587,59,59.32,72.37,8.87,-11.83,0.767,39,53.85,False
stock_close_gt_sma50_sma50_rising__market_spx_close_gt_sma100,stock_close_gt_sma50_sma50_rising,market_spx_close_gt_sma100,90.89,6.69,-17.43,0.617,54,59.26,68.72,8.51,-11.15,0.765,35,54.29,False
stock_close_gt_sma20_sma20_gt_sma50__market_spx_close_gt_sma100,stock_close_gt_sma20_sma20_gt_sma50,market_spx_close_gt_sma100,88.59,6.56,-15.15,0.605,52,61.54,70.87,8.73,-10.48,0.782,36,55.56,False
stock_close_gt_sma20_sma20_gt_sma50__market_spx_close_gt_sma50_sma50_gt_sma200,stock_close_gt_sma20_sma20_gt_sma50,market_spx_close_gt_sma50_sma50_gt_sma200,87.86,6.52,-12.21,0.645,47,61.7,45.76,6.06,-12.49,0.646,28,57.14,False
stock_close_gt_sma200_sma200_rising__market_spx_close_gt_sma100,stock_close_gt_sma200_sma200_rising,market_spx_close_gt_sma100,86.92,6.46,-17.43,0.595,54,59.26,50.0,6.54,-14.84,0.622,36,50.0,False
stock_close_gt_sma50_sma50_rising__market_spx_sma50_gt_sma200,stock_close_gt_sma50_sma50_rising,market_spx_sma50_gt_sma200,85.43,6.38,-16.67,0.587,55,58.18,65.71,8.21,-12.6,0.784,32,56.25,False
stock_none__market_spx_close_gt_sma50_sma50_gt_sma200,stock_none,market_spx_close_gt_sma50_sma50_gt_sma200,85.23,6.37,-12.21,0.625,49,59.18,42.36,5.67,-13.95,0.592,30,53.33,False
stock_close_gt_sma50__market_spx_close_gt_sma50_sma50_gt_sma200,stock_close_gt_sma50,market_spx_close_gt_sma50_sma50_gt_sma200,85.23,6.37,-12.21,0.625,49,59.18,47.32,6.24,-13.95,0.648,29,55.17,False
stock_close_gt_sma200__market_spx_close_gt_sma50_sma50_gt_sma200,stock_close_gt_sma200,market_spx_close_gt_sma50_sma50_gt_sma200,85.23,6.37,-12.21,0.625,49,59.18,42.36,5.67,-13.95,0.592,30,53.33,False
stock_close_gt_sma50_sma50_gt_sma200__market_spx_close_gt_sma100,stock_close_gt_sma50_sma50_gt_sma200,market_spx_close_gt_sma100,83.16,6.25,-17.43,0.575,56,58.93,60.27,7.64,-14.84,0.671,39,51.28,False
stock_close_gt_sma200_sma50_gt_sma200__market_spx_close_gt_sma100,stock_close_gt_sma200_sma50_gt_sma200,market_spx_close_gt_sma100,83.16,6.25,-17.43,0.575,56,58.93,54.87,7.07,-15.73,0.622,40,50.0,False
stock_close_gt_sma50_rs63_gt_spx__market_spx_close_gt_sma100,stock_close_gt_sma50_rs63_gt_spx,market_spx_close_gt_sma100,81.63,6.16,-17.43,0.58,52,61.54,65.89,8.22,-12.72,0.738,37,51.35,False
stock_close_gt_sma20_sma20_gt_sma50__market_none,stock_close_gt_sma20_sma20_gt_sma50,market_none,81.07,6.12,-15.41,0.545,57,59.65,70.23,8.66,-13.01,0.726,40,55.0,False
stock_close_gt_sma200_sma200_rising__market_none,stock_close_gt_sma200_sma200_rising,market_none,81.0,6.12,-18.14,0.542,59,57.63,40.24,5.42,-17.0,0.512,40,47.5,False
stock_close_gt_sma50_sma50_rising__market_spx_sma200_rising,stock_close_gt_sma50_sma50_rising,market_spx_sma200_rising,79.36,6.02,-20.49,0.548,55,58.18,59.15,7.53,-10.48,0.725,32,53.12,False
stock_close_gt_sma50_sma50_gt_sma200__market_none,stock_close_gt_sma50_sma50_gt_sma200,market_none,77.36,5.9,-18.14,0.524,61,57.38,53.55,6.93,-14.84,0.603,43,48.84,False
stock_close_gt_sma200_sma50_gt_sma200__market_none,stock_close_gt_sma200_sma50_gt_sma200,market_none,77.36,5.9,-18.14,0.524,61,57.38,48.38,6.36,-15.73,0.556,44,47.73,False
stock_close_gt_sma50_sma50_gt_sma200__market_spx_sma50_gt_sma200,stock_close_gt_sma50_sma50_gt_sma200,market_spx_sma50_gt_sma200,75.33,5.78,-19.72,0.534,57,56.14,47.61,6.27,-17.99,0.6,36,50.0,False
stock_close_gt_sma200_sma50_gt_sma200__market_spx_sma50_gt_sma200,stock_close_gt_sma200_sma50_gt_sma200,market_spx_sma50_gt_sma200,75.33,5.78,-19.72,0.534,57,56.14,42.64,5.7,-20.75,0.547,37,48.65,False
stock_none__market_spx_close_gt_sma100,stock_none,market_spx_close_gt_sma100,74.36,5.72,-17.43,0.532,56,57.14,54.87,7.07,-15.73,0.622,40,50.0,False
stock_close_gt_sma50__market_spx_close_gt_sma100,stock_close_gt_sma50,market_spx_close_gt_sma100,74.36,5.72,-17.43,0.532,56,57.14,60.27,7.64,-14.84,0.671,39,51.28,False
stock_close_gt_sma200__market_spx_close_gt_sma100,stock_close_gt_sma200,market_spx_close_gt_sma100,74.36,5.72,-17.43,0.532,56,57.14,54.87,7.07,-15.73,0.622,40,50.0,False
stock_close_gt_sma50_sma50_rising__market_spx_close_gt_sma200,stock_close_gt_sma50_sma50_rising,market_spx_close_gt_sma200,74.22,5.72,-17.43,0.514,58,56.9,63.03,7.93,-11.04,0.717,36,52.78,False
