Family,Variant,IS_TotalReturnPct,IS_Sharpe,IS_Trades,OOS_TotalReturnPct,OOS_Sharpe,OOS_Trades,IS_Return_vs_SP500_PctPts,IS_Sharpe_vs_SP500,OOS_Return_vs_SP500_PctPts,OOS_Sharpe_vs_SP500
Trend filters,stock_close_gt_sma50_rs63_gt_spx__market_spx_sma50_gt_sma200,64.96,0.488,54,67.41,0.8,33,-120.2,-0.297,-65.26,0.053
Trend filters,stock_close_gt_sma20_sma20_gt_sma50__market_spx_close_gt_sma200_sma200_rising,64.87,0.477,54,58.83,0.69,34,-120.29,-0.308,-73.84,-0.057
Trend filters,stock_none__market_spx_sma50_gt_sma200,63.86,0.478,57,42.64,0.547,37,-121.3,-0.307,-90.03,-0.2
Trend filters,stock_close_gt_sma50__market_spx_sma50_gt_sma200,63.86,0.478,57,47.61,0.6,36,-121.3,-0.307,-85.06,-0.147
Trend filters,stock_close_gt_sma200__market_spx_sma50_gt_sma200,63.86,0.478,57,42.64,0.547,37,-121.3,-0.307,-90.03,-0.2
Trend filters,stock_close_gt_sma200_sma200_rising__market_spx_close_gt_sma200_sma200_rising,62.2,0.466,54,41.73,0.578,32,-122.96,-0.319,-90.94,-0.169
Trend filters,stock_close_gt_sma50_sma50_gt_sma200__market_spx_close_gt_sma200,61.73,0.451,60,45.23,0.548,40,-123.43,-0.334,-87.44,-0.199
Trend filters,stock_close_gt_sma200_sma50_gt_sma200__market_spx_close_gt_sma200,61.73,0.451,60,40.34,0.499,41,-123.43,-0.334,-92.33,-0.248
Trend filters,stock_close_gt_sma50_rs63_gt_spx__market_spx_sma200_rising,59.56,0.451,54,62.2,0.749,33,-125.6,-0.334,-70.47,0.002
Trend filters,stock_close_gt_sma50_sma50_gt_sma200__market_spx_sma200_rising,58.95,0.453,56,51.18,0.625,36,-126.21,-0.332,-81.49,-0.122
Trend filters,stock_close_gt_sma200_sma50_gt_sma200__market_spx_sma200_rising,58.95,0.453,56,46.09,0.573,37,-126.21,-0.332,-86.58,-0.174
Trend filters,stock_none__market_spx_sma200_rising,58.5,0.442,57,46.09,0.573,37,-126.66,-0.343,-86.58,-0.174
Trend filters,stock_close_gt_sma50__market_spx_sma200_rising,58.5,0.442,57,51.18,0.625,36,-126.66,-0.343,-81.49,-0.122
Trend filters,stock_close_gt_sma200__market_spx_sma200_rising,58.5,0.442,57,46.09,0.573,37,-126.66,-0.343,-86.58,-0.174
Trend filters,stock_close_gt_sma50_rs63_gt_spx__market_spx_close_gt_sma200,54.98,0.419,57,66.15,0.74,37,-130.18,-0.366,-66.52,-0.007
Trend filters,stock_none__market_spx_close_gt_sma200,53.96,0.411,60,40.34,0.499,41,-131.2,-0.374,-92.33,-0.248
Trend filters,stock_close_gt_sma50__market_spx_close_gt_sma200,53.96,0.411,60,45.23,0.548,40,-131.2,-0.374,-87.44,-0.199
Trend filters,stock_close_gt_sma200__market_spx_close_gt_sma200,53.96,0.411,60,40.34,0.499,41,-131.2,-0.374,-92.33,-0.248
Trend filters,stock_close_gt_sma200_sma200_rising__market_spx_sma50_gt_sma200,52.58,0.424,54,43.97,0.589,34,-132.58,-0.361,-88.7,-0.158
Trend filters,stock_close_gt_sma50_rs63_gt_spx__market_spx_close_gt_sma200_sma200_rising,52.31,0.414,53,57.81,0.713,33,-132.85,-0.371,-74.86,-0.034
Trend filters,stock_close_gt_sma50_sma50_gt_sma200__market_spx_close_gt_sma200_sma200_rising,51.73,0.416,55,47.09,0.59,36,-133.43,-0.369,-85.58,-0.157
Trend filters,stock_close_gt_sma200_sma50_gt_sma200__market_spx_close_gt_sma200_sma200_rising,51.73,0.416,55,42.14,0.538,37,-133.43,-0.369,-90.53,-0.209
Trend filters,stock_none__market_spx_close_gt_sma200_sma200_rising,51.3,0.405,56,42.14,0.538,37,-133.86,-0.38,-90.53,-0.209
Trend filters,stock_close_gt_sma50__market_spx_close_gt_sma200_sma200_rising,51.3,0.405,56,47.09,0.59,36,-133.86,-0.38,-85.58,-0.157
Trend filters,stock_close_gt_sma200__market_spx_close_gt_sma200_sma200_rising,51.3,0.405,56,42.14,0.538,37,-133.86,-0.38,-90.53,-0.209
Trend filters,stock_close_gt_sma50_sma50_gt_sma150_gt_sma200__market_spx_sma200_rising,39.83,0.39,44,32.01,0.5,30,-145.33,-0.395,-100.66,-0.247
Trend filters,stock_close_gt_sma50_sma50_gt_sma150_gt_sma200__market_spx_close_gt_sma50_sma50_gt_sma200,38.48,0.4,37,33.21,0.557,26,-146.68,-0.385,-99.46,-0.19
Trend filters,stock_close_gt_sma50_sma50_gt_sma150_gt_sma200__market_spx_close_gt_sma100,34.22,0.355,42,35.83,0.537,31,-150.94,-0.43,-96.84,-0.21
Trend filters,stock_close_gt_sma50_sma50_gt_sma150_gt_sma200__market_spx_close_gt_sma200_sma200_rising,34.07,0.35,43,35.51,0.552,29,-151.09,-0.435,-97.16,-0.195
Trend filters,stock_close_gt_sma50_sma50_gt_sma150_gt_sma200__market_none,30.55,0.315,47,35.8,0.51,35,-154.61,-0.47,-96.87,-0.237
Trend filters,stock_close_gt_sma50_sma50_gt_sma150_gt_sma200__market_spx_sma50_gt_sma200,29.33,0.314,43,38.23,0.574,30,-155.83,-0.471,-94.44,-0.173
Trend filters,stock_close_gt_sma50_sma50_gt_sma150_gt_sma200__market_spx_close_gt_sma200,26.69,0.289,45,35.51,0.534,31,-158.47,-0.496,-97.16,-0.213
ATR exits,atr_2x_target_60d,101.85,0.748,58,71.79,0.875,44,-83.31,-0.037,-60.88,0.128
ATR exits,atr_2x_no_target_60d,101.85,0.748,58,59.78,0.77,43,-83.31,-0.037,-72.89,0.023
ATR exits,tighter_2x_target_60d,101.85,0.748,58,71.79,0.875,44,-83.31,-0.037,-60.88,0.128
ATR exits,tighter_2x_no_target_60d,101.85,0.748,58,59.78,0.77,43,-83.31,-0.037,-72.89,0.023
ATR exits,atr_3x_target_60d,89.29,0.645,56,55.06,0.685,38,-95.87,-0.14,-77.61,-0.062
ATR exits,atr_3x_no_target_60d,89.29,0.645,56,44.15,0.583,37,-95.87,-0.14,-88.52,-0.164
ATR exits,wider_3x_target_60d,89.15,0.611,52,65.8,0.737,37,-96.01,-0.174,-66.87,-0.01
ATR exits,wider_3x_no_target_60d,89.15,0.611,52,54.15,0.642,36,-96.01,-0.174,-78.52,-0.105
ATR exits,wider_3.5x_target_60d,87.24,0.601,52,64.32,0.724,37,-97.92,-0.184,-68.35,-0.023
ATR exits,wider_3.5x_no_target_60d,87.24,0.601,52,52.78,0.63,36,-97.92,-0.184,-79.89,-0.117
ATR exits,atr_3.5x_target_60d,86.75,0.621,56,69.86,0.792,38,-98.41,-0.164,-62.81,0.045
ATR exits,atr_3.5x_no_target_60d,86.75,0.621,56,57.93,0.695,37,-98.41,-0.164,-74.74,-0.052
ATR exits,tighter_3x_target_60d,81.76,0.613,56,55.15,0.686,38,-103.4,-0.172,-77.52,-0.061
