Variant,StockCondition,MarketCondition,TotalReturnPct_IS,CagrPct_IS,MaxDrawdownPct_IS,Sharpe_IS,Trades_IS,WinRatePct_IS,TotalReturnPct_OOS,CagrPct_OOS,MaxDrawdownPct_OOS,Sharpe_OOS,Trades_OOS,WinRatePct_OOS,BeatsSP500_IS
stock_close_gt_sma200_sma50_gt_sma200__market_spx_close_gt_sma50_sma50_gt_sma200,stock_close_gt_sma200_sma50_gt_sma200,market_spx_close_gt_sma50_sma50_gt_sma200,233.2,12.81,-16.81,0.923,58,56.9,123.52,13.38,-14.37,0.957,44,54.55,True
stock_close_gt_sma50_rs63_gt_spx__market_spx_close_gt_sma100,stock_close_gt_sma50_rs63_gt_spx,market_spx_close_gt_sma100,233.17,12.81,-18.93,0.862,72,55.56,137.73,14.48,-14.37,0.987,52,50.0,True
stock_close_gt_sma50_rs63_gt_spx__market_spx_close_gt_sma200,stock_close_gt_sma50_rs63_gt_spx,market_spx_close_gt_sma200,223.84,12.49,-18.84,0.848,72,55.56,153.13,15.61,-14.37,1.075,51,50.98,True
stock_close_gt_sma50_rs63_gt_spx__market_spx_sma200_rising,stock_close_gt_sma50_rs63_gt_spx,market_spx_sma200_rising,221.13,12.39,-17.42,0.862,68,55.88,127.46,13.69,-14.37,0.941,52,48.08,True
stock_close_gt_sma50_rs63_gt_spx__market_none,stock_close_gt_sma50_rs63_gt_spx,market_none,218.02,12.28,-17.42,0.827,76,52.63,186.71,17.88,-16.49,1.057,61,54.1,True
stock_close_gt_sma50_rs63_gt_spx__market_spx_close_gt_sma200_sma200_rising,stock_close_gt_sma50_rs63_gt_spx,market_spx_close_gt_sma200_sma200_rising,217.54,12.26,-17.42,0.855,68,55.88,153.91,15.66,-14.37,1.085,49,51.02,True
stock_none__market_spx_sma50_gt_sma200,stock_none,market_spx_sma50_gt_sma200,215.8,12.2,-16.81,0.873,68,51.47,112.78,12.51,-14.37,0.854,52,50.0,True
stock_close_gt_sma50__market_spx_sma50_gt_sma200,stock_close_gt_sma50,market_spx_sma50_gt_sma200,215.8,12.2,-16.81,0.873,68,51.47,104.03,11.78,-14.37,0.814,52,48.08,True
stock_close_gt_sma200__market_spx_sma50_gt_sma200,stock_close_gt_sma200,market_spx_sma50_gt_sma200,215.8,12.2,-16.81,0.873,68,51.47,112.78,12.51,-14.37,0.854,52,50.0,True
stock_close_gt_sma50_sma50_rising__market_spx_close_gt_sma100,stock_close_gt_sma50_sma50_rising,market_spx_close_gt_sma100,215.37,12.19,-20.27,0.827,71,53.52,135.75,14.33,-14.37,0.995,50,50.0,True
stock_close_gt_sma200_sma200_rising__market_spx_sma200_rising,stock_close_gt_sma200_sma200_rising,market_spx_sma200_rising,214.66,12.16,-17.42,0.904,57,52.63,88.37,10.39,-16.71,0.776,45,46.67,True
stock_close_gt_sma50_sma50_rising__market_none,stock_close_gt_sma50_sma50_rising,market_none,212.63,12.09,-18.39,0.815,75,52.0,137.48,14.46,-16.49,0.915,59,50.85,True
stock_close_gt_sma200_sma200_rising__market_spx_close_gt_sma200_sma200_rising,stock_close_gt_sma200_sma200_rising,market_spx_close_gt_sma200_sma200_rising,211.34,12.04,-17.42,0.897,57,52.63,91.72,10.7,-14.37,0.811,42,47.62,True
