rank,ticker,asset_type,price,market_cap,long_term_score,short_term_score,buy_now_score,valuation_score,quality_score,growth_score,revision_score,technical_score,relative_strength_score,rsi14,macd_hist,adx14,dist_20dma,dist_50dma,dist_200dma,rs_1m,rs_3m,rs_6m,rs_12m,forward_revenue_growth,forward_eps_growth,eps_revision_signal,forward_pe,ev_sales,ev_ebitda,fcf_yield,fcf_margin,roic_proxy,gross_margin,operating_margin,debt_to_equity,macd_hist_pct,volume_ratio_20d,as_of,scoring_version,universe_size,image_mentions,company_name,sector,scoring_fingerprint,data_retrieved_at,long_term_rating,entry_score,entry_quality,short_put_eligible
11,AXTI,Stock,67.75,4442585088,52.3,62.4,51.6,27.6,33.5,82.2,88.8,69.2,52.7,52.47572616058061,0.1915026816964489,13.15591851739931,0.0638297865968142,0.0778056409985394,0.1927333932344657,-0.1658494410943455,-0.1942390385412409,0.0367126439518853,15.266695580801468,1.1135,1.5922,1.0,30.11111,30.916,288.538,-0.0099980077185186,-0.3538949398051135,-0.073049061647768,0.32184,0.21902001,10.667,0.002826607847918,0.9554861005619878,2026-09-17,2.2-universe-normalization,27,0,"AXT, Inc.",Technology,95acfecf52651414b4fb,2026-09-17T19:36:31.843481-04:00,HOLD,62.4,FAIR,False
12,AMZN,Stock,251.19000244140625,2709413953536,49.1,49.9,51.6,64.2,56.6,15.9,44.8,36.0,59.3,45.39446648536136,-1.266242284937622,11.799841459043432,-0.0205241746465811,-0.0176624327858808,0.0457465835476453,-0.0207938423594112,0.1278694807463281,-0.1558621517981026,-0.555333088465395,0.1432,-0.1873,0.95,24.211016,3.659,16.802,0.0011881259369018,0.0041500681415152,0.1324511328950458,0.5077,0.13689,45.617,-0.005040974054025,0.9370960484124432,2026-09-17,2.2-universe-normalization,27,2,"Amazon.com, Inc.",Consumer Cyclical,95acfecf52651414b4fb,2026-09-17T19:36:31.843481-04:00,HOLD,49.9,WAIT,False
13,SPCX,Stock,154.80999755859375,2040671371264,54.5,62.3,51.4,18.5,43.6,91.8,93.3,74.2,48.8,62.320368298897336,0.4296503689000692,26.249887939818237,0.072098816263771,0.1499999084137595,,0.0910623156932961,-0.1227139774743642,,,1.4167,27.292099,1.0,88.810486,169.998,664.309,,,-0.0449359923364974,0.51875,-0.01804,31.211,0.0027753399371862,1.07051689745633,2026-09-17,2.2-universe-normalization,27,0,Space Exploration Technologies Corp.,Industrials,95acfecf52651414b4fb,2026-09-17T19:36:31.843481-04:00,HOLD,62.3,FAIR,False
14,CRWD,Stock,245.6999969482422,251580792832,45.4,69.8,49.6,24.7,55.1,37.2,59.6,63.2,91.2,65.4107812884387,3.432960787922543,20.31874207158829,0.1508735579867253,0.1909886085441936,0.6781499992042641,0.1649973036637095,0.5092574052844722,0.9023651804450185,0.5800732082941864,0.2259,0.2785,0.9894176931690928,152.99738,45.029,2273.805,0.0079313903479606,0.36977979942968,-0.1753753811214883,0.75185996,-0.02259,15.958,0.0139721645525527,1.0083329340999387,2026-09-17,2.2-universe-normalization,27,2,"CrowdStrike Holdings, Inc.",Technology,95acfecf52651414b4fb,2026-09-17T19:36:31.843481-04:00,HOLD,69.8,GOOD,False
15,SOXL,ETF,114.81999969482422,19311783936,38.3,51.9,47.1,,,,,51.9,52.2,47.29178331541991,0.7648792955875496,15.702541366019355,0.0077852763881649,-0.1190421019706267,0.0257495998985586,-0.0995692019916376,-0.4387951294720728,0.7727630705757683,2.1395896975878506,,,,,,,,,,,,,0.0066615511027738,0.9918163745853108,2026-09-17,2.2-universe-normalization,27,0,Direxion Daily Semiconductor Bull 3X Shares,Thematic ETF,95acfecf52651414b4fb,2026-09-17T19:36:31.843481-04:00,AVOID,51.9,WAIT,False
16,IREN,Stock,43.47999954223633,17133670400,45.8,53.1,46.6,36.8,24.6,89.0,63.0,72.4,37.7,53.28211459268686,0.163153784959437,14.021574936678885,0.0445080911816129,0.0793983253145949,-0.0454451008768542,0.0462808554965827,-0.1815365465921799,-0.3226583080271431,-0.435698396752976,1.6889,0.8914,0.6761904761904761,-164.07549,26.984,497.499,-0.2462576424955624,-5.967829771456173,-0.0489370746249191,0.68924004,-1.0247,187.297,0.0037523869980943,1.121387221195862,2026-09-17,2.2-universe-normalization,27,1,IREN Limited,Financial Services,95acfecf52651414b4fb,2026-09-17T19:36:31.843481-04:00,HOLD,53.1,WAIT,False
17,GEV,Stock,924.9299926757812,246339928064,45.0,41.1,46.6,63.4,57.7,10.5,8.8,45.5,48.3,46.1895794426771,0.6518874651567259,13.101386573369211,-0.0067572582938904,-0.0621435357995839,0.0281144770054424,-0.0681983010846976,-0.0479294854786942,-0.274778637052688,-0.1282977003245073,0.1396,-0.1933,0.0952380952380952,36.54372,5.766,60.744,0.0638228866735535,0.3800644396949709,0.1091123330714846,0.2057,0.07466,28.364,0.0007047965471103,1.4602592566278312,2026-09-17,2.2-universe-normalization,27,3,GE Vernova Inc.,Industrials,95acfecf52651414b4fb,2026-09-17T19:36:31.843481-04:00,HOLD,41.1,WAIT,False
18,DRAM,ETF,57.77999877929688,26017624064,45.8,44.5,45.1,,,,,45.4,50.6,52.15365290269119,-0.1739415933412276,10.347232630993132,0.011962072661434,0.0387452852761158,,0.0596816165186528,-0.1037540315068623,,,,,,,,,,,,,,,-0.0030104118555909,0.7822223521624789,2026-09-17,2.2-universe-normalization,27,0,Roundhill Memory ETF,Thematic ETF,95acfecf52651414b4fb,2026-09-17T19:36:31.843481-04:00,HOLD,44.5,WAIT,False
19,VST,Stock,143.55999755859375,48183787520,40.7,37.6,45.1,75.9,46.4,7.1,13.3,44.9,34.7,48.75664365099392,0.1857694804622179,13.03118372836926,0.009684678220228,-0.0286992605656092,-0.0817594499310112,0.0326766538341305,-0.0246473794456858,-0.506536518242465,-0.9394899124841548,0.0498,0.0793,0.2831168831168831,13.849643,3.627,10.485,0.0007704873757504,0.0019323860859916,0.0619616656300741,0.38309,0.13766,373.28,0.0012940198078952,0.8971230420514436,2026-09-17,2.2-universe-normalization,27,2,Vistra Corp.,Utilities,95acfecf52651414b4fb,2026-09-17T19:36:31.843481-04:00,AVOID,37.6,WAIT,False
20,AAOI,Stock,98.05999755859376,8325910528,47.8,34.4,44.1,49.9,23.8,91.3,42.3,25.1,33.6,41.45591290182207,-0.8699588912313851,13.95139912082214,-0.084437042456086,-0.1321310004530907,-0.0632703544180043,-0.2427431292618576,-0.3437800466252702,-0.2941256540534799,1.760995588945721,1.5647999,5.7676,0.084090909090909,21.308125,13.58,-252.079,-0.1065409133351667,-1.4884140742229055,-0.0577443154291156,0.28916,-0.12884,17.994,-0.0088717001110627,1.1002689574654214,2026-09-17,2.2-universe-normalization,27,1,"Applied Optoelectronics, Inc.",Technology,95acfecf52651414b4fb,2026-09-17T19:36:31.843481-04:00,HOLD,34.4,WAIT,False
21,APLD,Stock,26.3799991607666,7499934208,42.4,41.1,43.8,54.6,15.2,76.7,45.9,51.3,27.6,48.33597213491778,0.0392133735578328,18.37222544652194,0.0057953022580536,-0.0521395446524458,-0.1831034590412822,-0.0636678935570501,-0.3508830289717764,-0.3628773258824241,-0.2729640462918801,1.3194001,0.7449,0.3333333333333333,-104.47524,20.682,-118.129,-0.6615309657927069,-8.116063533595051,-0.0243103739538597,0.25879,-0.48219,136.231,0.0014864812284055,1.5686357881758386,2026-09-17,2.2-universe-normalization,27,1,Applied Digital Corporation,Technology,95acfecf52651414b4fb,2026-09-17T19:36:31.843481-04:00,AVOID,41.1,WAIT,False
22,CEG,Stock,262.79998779296875,93111975936,38.0,38.1,41.2,58.9,34.5,11.0,34.6,34.7,37.2,40.76270664033317,-3.755774891378764,19.33589774940139,-0.05737617213897,-0.029716656515932,-0.1016709337592012,-0.0040604742874144,0.055382704465153,-0.5217362212136195,-0.8101668424904472,0.0361,0.0956,0.8697916666666666,19.781082,3.756,14.771,-0.0711522314654104,-0.2118683955357923,0.0608518487396802,0.22107,0.086619996,76.419,-0.0142913815290491,1.3124133348170797,2026-09-17,2.2-universe-normalization,27,2,Constellation Energy Corporation,Utilities,95acfecf52651414b4fb,2026-09-17T19:36:31.843481-04:00,AVOID,38.1,WAIT,False
23,NBIS,Stock,217.9900054931641,59261722624,39.6,45.9,40.8,34.9,29.7,54.8,51.2,37.5,52.3,49.863670307935486,-1.2080113285750465,9.34332046133118,0.0035240279873494,0.0291674001828663,0.3616875391208529,-0.1114866660281021,-0.1537589554994462,0.4859012062316098,0.8089836738085601,2.6086,-1.243,0.873015873015873,-66.399635,45.683,239.942,-0.1622404807400287,-7.095159132872045,-0.0601264622993222,0.7426,-0.00223,98.596,-0.0055415904313692,1.987087599633421,2026-09-17,2.2-universe-normalization,27,1,Nebius Group N.V.,Communication Services,95acfecf52651414b4fb,2026-09-17T19:36:31.843481-04:00,AVOID,45.9,WAIT,False
24,AVAV,Stock,163.3800048828125,8303087104,38.8,39.0,40.4,49.0,35.2,36.3,18.2,63.8,28.3,56.80453558493031,1.913212693754296,15.103233015661536,0.0869970456806339,0.0394373177807925,-0.2123457746209553,-0.0507465623932511,0.0479067637200174,-0.5958314512846827,-1.0140544194223224,0.1521,0.3689,-0.7,36.553932,4.26,38.986,-0.00312183597201,-0.0129432303376765,-0.0139894461611692,0.26471,-0.02269,19.354,0.0117102009828349,0.7812728089095076,2026-09-17,2.2-universe-normalization,27,2,"AeroVironment, Inc.",Industrials,95acfecf52651414b4fb,2026-09-17T19:36:31.843481-04:00,AVOID,39.0,WAIT,False
25,KTOS,Stock,47.65999984741211,8946798592,44.4,28.7,39.0,39.5,39.5,41.5,52.0,29.1,14.1,38.296614568757406,-0.2256287323712837,19.77239588850887,-0.0475238796711001,-0.0796171674856168,-0.3250687553782846,-0.2201235692690536,-0.0811259115609413,-0.8404931886616558,-1.004334772410144,0.2349,0.357,0.8878968253968254,43.279667,5.051,88.387,-0.0132212101103706,-0.0776929435048763,0.011284156430183,0.23002,-0.00174,5.65,-0.0047341320414111,1.0963250578185029,2026-09-17,2.2-universe-normalization,27,2,"Kratos Defense & Security Solutions, Inc.",Industrials,95acfecf52651414b4fb,2026-09-17T19:36:31.843481-04:00,AVOID,28.7,WAIT,False
26,RKLB,Stock,67.81999969482422,43364855808,38.4,40.0,37.1,26.8,26.4,53.7,39.1,63.3,26.2,50.12651944489027,0.5927070814678959,19.457350733464317,0.037074411889755,-0.0346347266157447,-0.1559892369707904,-0.1322114411045371,-0.3016933832090681,-0.376637795446115,-0.1930694545836218,0.42180002,0.6811,0.4285714285714286,1488.5865,46.736,-238.813,-0.0058103186856098,-0.3275888287027707,-0.2062711808023433,0.37264,-0.24572,3.828,0.0087394143930249,1.283444557933647,2026-09-17,2.2-universe-normalization,27,1,Rocket Lab Corporation,Industrials,95acfecf52651414b4fb,2026-09-17T19:36:31.843481-04:00,AVOID,40.0,WAIT,False
27,MP,Stock,49.380001068115234,8794656768,43.0,29.2,36.2,25.1,24.3,82.3,59.9,22.8,19.7,39.99694285537039,-0.94439449158478,17.222396251431466,-0.0925879748678965,-0.031764683490476,-0.1387016316692628,-0.117596673634612,-0.1181355384080516,-0.4945603615592638,-0.8801567134611509,0.7775,28.8671,0.5666666666666667,56.504677,20.824,213.093,-0.0492286254507755,-1.0401273462278615,-0.0609800939961663,0.42326,-0.1472,41.402,-0.0191250399181254,0.7851540267443318,2026-09-17,2.2-universe-normalization,27,2,MP Materials Corp.,Basic Materials,95acfecf52651414b4fb,2026-09-17T19:36:31.843481-04:00,AVOID,29.2,WAIT,False
