Variant,StopMode_IS,AtrMult_IS,UseTarget_IS,TrailMode_IS,TimeStopDays_IS,TotalReturnPct_IS,CagrPct_IS,MaxDrawdownPct_IS,Sharpe_IS,Trades_IS,WinRatePct_IS,StopMode_OOS,AtrMult_OOS,UseTarget_OOS,TrailMode_OOS,TimeStopDays_OOS,TotalReturnPct_OOS,CagrPct_OOS,MaxDrawdownPct_OOS,Sharpe_OOS,Trades_OOS,WinRatePct_OOS,BeatsSP500_IS
tighter_3x_atrtrail_no_target_60d,tighter,3.0,False,atr_trail,60,58.92,4.75,-10.48,0.707,70,54.29,tighter,3.0,False,atr_trail,60,13.76,2.03,-13.53,0.316,53,43.4,False
wider_3x_atrtrail_target_60d,wider,3.0,True,atr_trail,60,58.92,4.75,-10.48,0.707,70,54.29,wider,3.0,True,atr_trail,60,13.64,2.02,-13.63,0.314,53,43.4,False
wider_3x_atrtrail_no_target_60d,wider,3.0,False,atr_trail,60,58.92,4.75,-10.48,0.707,70,54.29,wider,3.0,False,atr_trail,60,13.64,2.02,-13.63,0.314,53,43.4,False
handle_3x_atrtrail_target_60d,handle,3.0,True,atr_trail,60,58.92,4.75,-10.48,0.707,70,54.29,handle,3.0,True,atr_trail,60,13.64,2.02,-13.63,0.314,53,43.4,False
atr_1.5x_atrtrail_target_60d,atr,1.5,True,atr_trail,60,49.93,4.14,-2.84,1.03,84,70.24,atr,1.5,True,atr_trail,60,35.95,4.91,-5.57,1.015,66,56.06,False
atr_1.5x_atrtrail_no_target_60d,atr,1.5,False,atr_trail,60,49.93,4.14,-2.84,1.03,84,70.24,atr,1.5,False,atr_trail,60,35.95,4.91,-5.57,1.015,66,56.06,False
tighter_1.5x_atrtrail_target_60d,tighter,1.5,True,atr_trail,60,49.93,4.14,-2.84,1.03,84,70.24,tighter,1.5,True,atr_trail,60,35.95,4.91,-5.57,1.015,66,56.06,False
tighter_1.5x_atrtrail_no_target_60d,tighter,1.5,False,atr_trail,60,49.93,4.14,-2.84,1.03,84,70.24,tighter,1.5,False,atr_trail,60,35.95,4.91,-5.57,1.015,66,56.06,False
wider_1.5x_atrtrail_target_60d,wider,1.5,True,atr_trail,60,49.93,4.14,-2.84,1.03,84,70.24,wider,1.5,True,atr_trail,60,35.95,4.91,-5.57,1.015,66,56.06,False
wider_1.5x_atrtrail_no_target_60d,wider,1.5,False,atr_trail,60,49.93,4.14,-2.84,1.03,84,70.24,wider,1.5,False,atr_trail,60,35.95,4.91,-5.57,1.015,66,56.06,False
atr_2.5x_atrtrail_target_60d,atr,2.5,True,atr_trail,60,49.3,4.09,-10.29,0.707,76,56.58,atr,2.5,True,atr_trail,60,20.46,2.95,-9.89,0.504,57,43.86,False
atr_2.5x_atrtrail_no_target_60d,atr,2.5,False,atr_trail,60,49.3,4.09,-10.29,0.707,76,56.58,atr,2.5,False,atr_trail,60,20.46,2.95,-9.89,0.504,57,43.86,False
tighter_2.5x_atrtrail_target_60d,tighter,2.5,True,atr_trail,60,49.3,4.09,-10.29,0.707,76,56.58,tighter,2.5,True,atr_trail,60,20.46,2.95,-9.89,0.504,57,43.86,False
tighter_2.5x_atrtrail_no_target_60d,tighter,2.5,False,atr_trail,60,49.3,4.09,-10.29,0.707,76,56.58,tighter,2.5,False,atr_trail,60,20.46,2.95,-9.89,0.504,57,43.86,False
wider_2.5x_atrtrail_target_60d,wider,2.5,True,atr_trail,60,49.3,4.09,-10.29,0.707,76,56.58,wider,2.5,True,atr_trail,60,20.41,2.94,-9.93,0.502,57,43.86,False
wider_2.5x_atrtrail_no_target_60d,wider,2.5,False,atr_trail,60,49.3,4.09,-10.29,0.707,76,56.58,wider,2.5,False,atr_trail,60,20.41,2.94,-9.93,0.502,57,43.86,False
atr_2x_atrtrail_target_60d,atr,2.0,True,atr_trail,60,43.92,3.71,-4.6,0.781,81,58.02,atr,2.0,True,atr_trail,60,29.71,4.15,-6.51,0.8,60,46.67,False
atr_2x_atrtrail_no_target_60d,atr,2.0,False,atr_trail,60,43.92,3.71,-4.6,0.781,81,58.02,atr,2.0,False,atr_trail,60,29.71,4.15,-6.51,0.8,60,46.67,False
tighter_2x_atrtrail_target_60d,tighter,2.0,True,atr_trail,60,43.92,3.71,-4.6,0.781,81,58.02,tighter,2.0,True,atr_trail,60,29.71,4.15,-6.51,0.8,60,46.67,False
tighter_2x_atrtrail_no_target_60d,tighter,2.0,False,atr_trail,60,43.92,3.71,-4.6,0.781,81,58.02,tighter,2.0,False,atr_trail,60,29.71,4.15,-6.51,0.8,60,46.67,False
wider_2x_atrtrail_target_60d,wider,2.0,True,atr_trail,60,43.92,3.71,-4.6,0.781,81,58.02,wider,2.0,True,atr_trail,60,29.71,4.15,-6.51,0.8,60,46.67,False
wider_2x_atrtrail_no_target_60d,wider,2.0,False,atr_trail,60,43.92,3.71,-4.6,0.781,81,58.02,wider,2.0,False,atr_trail,60,29.71,4.15,-6.51,0.8,60,46.67,False
handle_2x_atrtrail_target_60d,handle,2.0,True,atr_trail,60,43.92,3.71,-4.6,0.781,81,58.02,handle,2.0,True,atr_trail,60,29.71,4.15,-6.51,0.8,60,46.67,False
atr_3.5x_atrtrail_target_60d,atr,3.5,True,atr_trail,60,43.78,3.7,-13.33,0.524,65,50.77,atr,3.5,True,atr_trail,60,17.6,2.56,-16.63,0.368,48,45.83,False
atr_3.5x_atrtrail_no_target_60d,atr,3.5,False,atr_trail,60,43.78,3.7,-13.33,0.524,65,50.77,atr,3.5,False,atr_trail,60,17.6,2.56,-16.63,0.368,48,45.83,False
tighter_3.5x_atrtrail_target_60d,tighter,3.5,True,atr_trail,60,43.78,3.7,-13.33,0.524,65,50.77,tighter,3.5,True,atr_trail,60,17.6,2.56,-16.63,0.368,48,45.83,False
tighter_3.5x_atrtrail_no_target_60d,tighter,3.5,False,atr_trail,60,43.78,3.7,-13.33,0.524,65,50.77,tighter,3.5,False,atr_trail,60,17.6,2.56,-16.63,0.368,48,45.83,False
wider_3.5x_atrtrail_target_60d,wider,3.5,True,atr_trail,60,43.78,3.7,-13.33,0.524,65,50.77,wider,3.5,True,atr_trail,60,17.39,2.54,-16.78,0.364,48,45.83,False
wider_3.5x_atrtrail_no_target_60d,wider,3.5,False,atr_trail,60,43.78,3.7,-13.33,0.524,65,50.77,wider,3.5,False,atr_trail,60,17.39,2.54,-16.78,0.364,48,45.83,False
