Symbol,SignalDate,EntryDate,ExitDate,EntryPrice,ExitPrice,Shares,PnL,ReturnPct,ExitReason,Score,BreakoutLevel,Target,Stop,HoldingDays
ALGN,2020-01-03,2020-01-06,2020-01-27,284.14,267.9079,117.313062,-1904.24,-5.71,stop,77.7,284.14,405.08,267.9079,21
CI,2020-01-03,2020-01-07,2020-01-30,188.55,178.5465,176.563779,-1766.26,-5.31,stop,78.32,188.55,253.61,178.5465,23
KR,2020-02-14,2020-02-18,2020-05-12,25.45,29.3903,1261.682942,4971.36,15.48,time_stop,85.94,25.45,33.28,23.6935,84
ADSK,2020-05-22,2020-05-26,2020-08-18,199.59,242.69,169.181584,7291.73,21.59,time_stop,65.73,199.59,259.75,180.9836,84
CAG,2020-06-26,2020-06-30,2020-09-23,26.5,25.6564,1358.496204,-1146.08,-3.18,time_stop,78.84,26.5,35.92,24.088,85
QCOM,2020-07-03,2020-07-06,2020-09-28,81.73,105.241,385.828402,9071.21,28.77,time_stop,80.69,81.73,112.29,75.7089,84
EXPD,2020-08-14,2020-08-19,2020-11-11,82.29,83.1935,477.855366,431.74,1.1,time_stop,82.08,82.29,109.42,77.3408,84
AOS,2020-10-02,2020-10-05,2020-12-29,48.99,49.4654,803.30737,381.89,0.97,time_stop,78.57,48.99,66.99,44.8783,85
XYL,2020-10-02,2020-10-06,2020-12-30,81.85,94.3908,462.320952,5797.87,15.32,time_stop,77.37,81.85,111.93,75.4018,85
MTB,2021-01-01,2021-01-06,2021-04-01,110.13,130.7049,372.678373,7667.82,18.68,time_stop,81.49,110.13,145.97,100.0509,85
RJF,2021-01-01,2021-01-06,2021-04-01,59.7,78.5457,704.83634,13283.14,31.57,time_stop,78.8,59.7,79.7,55.4474,85
IRM,2021-01-15,2021-01-20,2021-04-15,24.46,31.1874,1635.625876,11003.58,27.5,time_stop,84.69,24.46,32.58,22.6118,85
MSI,2021-04-02,2021-04-05,2021-06-28,179.61,203.369,286.3516,6803.43,13.23,time_stop,72.28,179.61,237.93,169.054,84
ESS,2021-04-16,2021-04-20,2021-07-14,244.62,274.0147,209.360234,6154.08,12.02,time_stop,72.91,244.62,335.99,231.6543,85
KMI,2021-04-23,2021-04-26,2021-07-20,12.67,13.2517,4096.907521,2383.37,4.59,time_stop,77.08,12.67,17.1,11.9163,85
IFF,2021-08-06,2021-08-09,2021-09-14,133.6,127.4783,428.563935,-2623.52,-4.58,stop,71.71,133.6,179.64,127.4783,36
EQIX,2021-08-27,2021-08-31,2021-09-28,767.19,724.5708,73.46326,-3130.95,-5.56,stop,85.61,767.19,1003.98,724.5708,28
UDR,2021-07-16,2021-07-20,2021-10-12,44.13,44.6467,1287.292315,665.1,1.17,time_stop,67.9,44.13,62.02,41.6092,84
HII,2021-10-08,2021-10-11,2021-11-03,188.29,176.2648,291.348382,-3503.54,-6.39,stop,74.9,188.29,254.05,176.2648,23
PAYC,2021-10-29,2021-11-01,2021-11-03,535.14,503.6196,101.891558,-3211.67,-5.89,stop,76.66,535.14,730.89,503.6196,2
ZION,2021-11-12,2021-11-16,2021-12-03,56.74,52.9221,943.582412,-3602.51,-6.73,stop,70.1,56.74,73.89,52.9221,17
SBAC,2021-12-24,2021-12-27,2022-01-05,353.48,328.752,154.686928,-3825.09,-7.0,stop,66.08,353.48,474.17,328.752,9
