Variant,StockCondition,MarketCondition,TotalReturnPct_IS,CagrPct_IS,MaxDrawdownPct_IS,Sharpe_IS,Trades_IS,WinRatePct_IS,TotalReturnPct_OOS,CagrPct_OOS,MaxDrawdownPct_OOS,Sharpe_OOS,Trades_OOS,WinRatePct_OOS,BeatsSP500_IS
stock_close_gt_sma200_sma200_rising__market_spx_close_gt_sma200_sma200_rising,stock_close_gt_sma200_sma200_rising,market_spx_close_gt_sma200_sma200_rising,273.95,14.12,-15.93,0.968,92,59.78,55.85,7.17,-27.49,0.552,63,50.79,True
stock_close_gt_sma50_rs63_gt_spx__market_spx_sma200_rising,stock_close_gt_sma50_rs63_gt_spx,market_spx_sma200_rising,251.61,13.42,-18.82,0.935,95,60.0,64.37,8.07,-34.59,0.571,68,50.0,True
stock_close_gt_sma200_sma200_rising__market_spx_sma200_rising,stock_close_gt_sma200_sma200_rising,market_spx_sma200_rising,244.41,13.18,-16.06,0.938,93,60.22,44.32,5.9,-32.85,0.459,65,49.23,True
stock_close_gt_sma50_rs63_gt_spx__market_spx_close_gt_sma200_sma200_rising,stock_close_gt_sma50_rs63_gt_spx,market_spx_close_gt_sma200_sma200_rising,237.59,12.95,-18.82,0.896,94,58.51,93.08,10.82,-26.8,0.759,65,52.31,True
stock_close_gt_sma200_sma200_rising__market_none,stock_close_gt_sma200_sma200_rising,market_none,235.77,12.89,-15.93,0.906,102,56.86,49.64,6.5,-34.32,0.471,77,50.65,True
stock_none__market_spx_close_gt_sma200_sma200_rising,stock_none,market_spx_close_gt_sma200_sma200_rising,220.13,12.36,-22.47,0.859,96,57.29,43.77,5.83,-27.47,0.461,68,48.53,True
stock_close_gt_sma50__market_spx_close_gt_sma200_sma200_rising,stock_close_gt_sma50,market_spx_close_gt_sma200_sma200_rising,220.13,12.36,-22.47,0.859,96,57.29,49.18,6.45,-27.47,0.503,67,49.25,True
stock_close_gt_sma200__market_spx_close_gt_sma200_sma200_rising,stock_close_gt_sma200,market_spx_close_gt_sma200_sma200_rising,220.13,12.36,-22.47,0.859,96,57.29,43.77,5.83,-27.47,0.461,68,48.53,True
stock_close_gt_sma50_sma50_rising__market_spx_sma200_rising,stock_close_gt_sma50_sma50_rising,market_spx_sma200_rising,215.73,12.2,-21.08,0.858,94,57.45,67.59,8.4,-20.29,0.615,67,49.25,True
stock_close_gt_sma50_sma50_gt_sma200__market_spx_close_gt_sma200_sma200_rising,stock_close_gt_sma50_sma50_gt_sma200,market_spx_close_gt_sma200_sma200_rising,212.06,12.07,-22.47,0.861,95,57.89,53.57,6.93,-27.47,0.53,69,47.83,True
stock_close_gt_sma200_sma50_gt_sma200__market_spx_close_gt_sma200_sma200_rising,stock_close_gt_sma200_sma50_gt_sma200,market_spx_close_gt_sma200_sma200_rising,212.06,12.07,-22.47,0.861,95,57.89,48.0,6.31,-27.47,0.488,70,47.14,True
stock_none__market_spx_sma200_rising,stock_none,market_spx_sma200_rising,212.01,12.07,-22.47,0.866,97,57.73,22.39,3.21,-35.18,0.282,71,46.48,True
stock_close_gt_sma50__market_spx_sma200_rising,stock_close_gt_sma50,market_spx_sma200_rising,212.01,12.07,-22.47,0.866,97,57.73,26.99,3.8,-35.18,0.321,70,47.14,True
stock_close_gt_sma200__market_spx_sma200_rising,stock_close_gt_sma200,market_spx_sma200_rising,212.01,12.07,-22.47,0.866,97,57.73,22.39,3.21,-35.18,0.282,71,46.48,True
stock_close_gt_sma50_rs63_gt_spx__market_none,stock_close_gt_sma50_rs63_gt_spx,market_none,205.53,11.83,-22.66,0.806,109,54.13,59.38,7.55,-34.38,0.513,79,51.9,True
stock_close_gt_sma50_sma50_gt_sma200__market_spx_sma200_rising,stock_close_gt_sma50_sma50_gt_sma200,market_spx_sma200_rising,204.15,11.78,-22.47,0.869,96,58.33,37.24,5.07,-35.18,0.401,72,45.83,True
stock_close_gt_sma200_sma50_gt_sma200__market_spx_sma200_rising,stock_close_gt_sma200_sma50_gt_sma200,market_spx_sma200_rising,204.15,11.78,-22.47,0.869,96,58.33,32.26,4.46,-35.18,0.362,73,45.21,True
stock_close_gt_sma50_sma50_rising__market_spx_close_gt_sma200_sma200_rising,stock_close_gt_sma50_sma50_rising,market_spx_close_gt_sma200_sma200_rising,201.36,11.68,-21.08,0.829,93,55.91,72.63,8.9,-17.9,0.65,66,50.0,True
stock_close_gt_sma20_sma20_gt_sma50__market_spx_close_gt_sma200_sma200_rising,stock_close_gt_sma20_sma20_gt_sma50,market_spx_close_gt_sma200_sma200_rising,200.26,11.64,-23.19,0.819,89,60.67,63.11,7.94,-17.88,0.588,66,53.03,True
stock_close_gt_sma200_sma200_rising__market_spx_close_gt_sma200,stock_close_gt_sma200_sma200_rising,market_spx_close_gt_sma200,194.72,11.43,-23.71,0.811,102,53.92,55.59,7.15,-32.58,0.525,68,48.53,True
stock_close_gt_sma50_sma50_gt_sma200__market_none,stock_close_gt_sma50_sma50_gt_sma200,market_none,191.76,11.32,-22.47,0.792,109,53.21,21.79,3.13,-34.97,0.269,83,46.99,True
stock_close_gt_sma200_sma50_gt_sma200__market_none,stock_close_gt_sma200_sma50_gt_sma200,market_none,191.76,11.32,-22.47,0.792,109,53.21,17.38,2.53,-34.97,0.234,84,46.43,True
stock_close_gt_sma20_sma20_gt_sma50__market_spx_sma200_rising,stock_close_gt_sma20_sma20_gt_sma50,market_spx_sma200_rising,180.38,10.87,-23.19,0.798,89,60.67,45.76,6.06,-26.62,0.459,69,50.72,False
stock_close_gt_sma50_rs63_gt_spx__market_spx_close_gt_sma200,stock_close_gt_sma50_rs63_gt_spx,market_spx_close_gt_sma200,175.29,10.67,-25.69,0.743,105,54.29,95.49,11.04,-32.76,0.738,69,52.17,False
stock_none__market_none,stock_none,market_none,172.14,10.54,-22.72,0.739,110,51.82,19.12,2.77,-34.99,0.248,82,48.78,False
stock_close_gt_sma50__market_none,stock_close_gt_sma50,market_none,172.14,10.54,-22.72,0.739,110,51.82,23.6,3.36,-34.99,0.284,81,49.38,False
