rank,ticker,asset_type,price,market_cap,long_term_score,short_term_score,buy_now_score,valuation_score,quality_score,growth_score,revision_score,technical_score,relative_strength_score,rsi14,macd_hist,adx14,dist_20dma,dist_50dma,dist_200dma,rs_1m,rs_3m,rs_6m,rs_12m,forward_revenue_growth,forward_eps_growth,eps_revision_signal,forward_pe,ev_sales,ev_ebitda,fcf_yield,fcf_margin,roic_proxy,gross_margin,operating_margin,debt_to_equity,as_of,long_term_rating,entry_score,entry_quality,short_put_eligible
1,MU,Stock,1016.5900268554688,1148129771520,68.8,81.2,73.5,75.5,74.6,64.2,76.5,68.4,94.5,60.147499117761015,5.868462748191806,8.564033236198876,0.0776907825415671,0.083481030963727,0.6765990061735894,0.1565398257595693,0.1730524005648071,1.352106362384679,6.468440714741311,0.8582,1.112,0.9905660377358492,6.5575776,11.77,15.574,0.0066538643675149,0.0846256956244569,0.1419950783027513,0.72569,0.80370003,6.33,2026-09-04,STRONG BUY,81.2,EXCELLENT,True
2,NVDA,Stock,230.3600006103516,5562502742016,66.0,62.7,65.7,70.7,89.2,42.7,52.7,73.4,57.7,60.392962410827096,0.8363690369321466,17.57883993743381,0.0467007744555438,0.0940017073845733,0.1721638900013844,0.0551705207814736,0.1194356355443395,-0.0977367221871695,-0.3853992967756465,0.6373,0.66080004,0.9074447748513168,14.902219,18.094,27.238,0.0075163783072306,0.1380000440194589,0.987441508009527,0.74674004,0.66236997,16.971,2026-09-04,STRONG BUY,62.7,FAIR,True
3,DRAM,ETF,59.68999862670898,26017624064,60.7,65.0,62.9,,,,,60.9,65.7,57.12976009371795,0.3572469491727622,11.788531599893329,0.066988398884602,0.0473656794710726,,0.1636313960974547,0.0661811902934899,,,,,,,,,,,,,,,2026-09-04,BUY,65.0,GOOD,True
4,META,Stock,616.77001953125,1571225468928,55.9,50.4,58.1,81.5,79.0,11.2,26.5,73.2,37.6,62.39819072514842,6.866923490078585,12.5536628651028,0.0691460163448729,0.0357325346562866,-0.0077808972971005,0.0488004484508153,0.0373245119565186,-0.4366377042004804,-0.9025986149306628,0.2016,0.081999995,0.4349884144323072,17.642334,6.913,14.388,0.0137177162121139,0.0944311450553298,0.2415129639615413,0.81747,0.34827,42.997,2026-09-04,BUY,50.4,WAIT,True
5,SOXL,ETF,117.27999877929688,19311783936,47.4,59.6,55.5,,,,,60.6,53.9,45.44506021975017,0.5134602393064505,19.586357038701863,-0.0490322578529841,-0.1923321205922104,0.0777480030919581,-0.1104804805648406,-0.3612344340764847,1.0541614919191953,2.844506465659201,,,,,,,,,,,,,2026-09-04,HOLD,59.6,FAIR,False
6,AVGO,Stock,357.8949890136719,1702714146816,58.5,40.2,54.8,70.5,81.6,41.9,27.7,49.4,31.9,38.048352295621335,-1.3941090161992902,23.71331169152389,-0.0539968383376476,-0.0671594899272189,-0.0301739842287417,-0.1457736192604633,-0.074417215178161,-0.3078397062219533,-0.5513655637028294,0.6367,0.6645,0.3020833333333333,18.474785,19.502,33.379,0.0179108891583641,0.3422643731199353,0.1911656891495601,0.75515,0.54307,59.604,2026-09-04,BUY,40.2,WAIT,True
7,SPCX,Stock,147.9499969482422,1949120987136,55.2,65.0,53.1,21.7,45.2,87.3,93.3,70.6,57.5,62.544835753605845,1.1298248411356315,19.46933980594245,0.0496890531761979,0.0880052278196679,,0.2906676931319327,,,,1.3727001,13.4163,1.0,92.1916,168.694,659.213,,,-0.0449359923364974,0.51875,-0.01804,31.211,2026-09-04,BUY,65.0,GOOD,True
8,MRVL,Stock,223.5500030517578,200905424896,52.5,53.2,52.8,53.2,65.3,30.8,51.9,36.8,66.1,51.07756411307084,-2.0850947157338147,13.647810229087025,-0.0045774566844638,0.0131247214318526,0.4735279816967987,0.065043897155004,-0.1550307740384222,1.1028947274417555,1.7658084142019217,0.5128,0.5998,0.9429175475687104,33.26216,19.521,64.722,0.0119859875423799,0.2548119968676348,0.0714111782009856,0.52216,0.16679001,28.525,2026-09-04,HOLD,53.2,WAIT,False
9,AXTI,Stock,61.63999938964844,4041932800,53.0,56.8,51.0,31.9,37.6,71.9,86.3,44.7,57.4,46.713499420301744,-1.7924231733602578,15.760512530939671,-0.116785240599758,-0.0201377325553299,0.1285429349490749,-0.1767416408602881,-0.311450646733501,0.5094483439425308,19.095182179847985,1.1128,1.5645,1.0,27.690924,26.773,249.871,-0.0109890495952827,-0.3538949398051135,-0.073049061647768,0.32184,0.21902001,10.667,2026-09-04,HOLD,56.8,FAIR,False
10,LITE,Stock,881.2550048828125,79048572928,49.8,56.1,51.0,45.3,64.6,23.1,52.7,41.7,71.2,51.775540257399015,-6.00912468842759,9.073905673869035,-0.0029777570161129,0.0794558325866336,0.2860851621838034,0.0547920299955495,0.0166488692809339,0.1832816709116648,4.480815219260848,0.5032,0.5387,0.9827586206896552,26.46316,24.865,93.595,0.0028425560598628,0.074552087079407,0.2482192975114965,0.44244,0.27954,35.987,2026-09-04,HOLD,56.1,FAIR,False
11,QTUM,ETF,147.88999938964844,5561583104,53.7,48.6,50.9,,,,,52.1,50.6,48.103181104602406,-0.5426461396381793,18.438224735839384,-0.0185290915995238,-0.0102025075274083,0.1327460462749934,-0.005795507403723,-0.0341278114714171,-0.0403236218142176,-0.1430117572792038,,,,,,,,,,,,,2026-09-04,HOLD,48.6,WAIT,False
12,AAOI,Stock,105.52999877929688,8960160768,53.9,38.9,50.2,59.0,32.8,92.3,45.8,32.4,35.4,43.62203401669367,-2.17852979286404,16.008040218571868,-0.1286290064459621,-0.1028801811335727,0.0395984110267253,-0.1472085161051736,-0.4075090860610596,-0.2906827714124311,2.796158508497688,1.5647999,5.7676,-0.0249999999999999,22.931334,13.909,-258.19,-0.098999352240194,-1.4884140742229055,-0.0577443154291156,0.28916,-0.12884,17.994,2026-09-04,HOLD,38.9,WAIT,False
13,IREN,Stock,44.68000030517578,17606541312,48.9,54.7,50.2,45.9,35.3,77.7,59.6,62.3,48.7,57.15950356150263,0.2836843931673835,13.36485825574526,0.0862522734138604,0.1107879264473501,-0.0214645890929923,0.1812097628380793,-0.1816446228997199,-0.1773453388022251,-0.0192296247370738,1.517,0.8914,0.6761904761904761,-168.60379,25.964,478.694,-0.2396437327031559,-5.967829771456173,,0.68924004,-1.0247,187.297,2026-09-04,HOLD,54.7,WAIT,False
14,NBIS,Stock,226.38999938964844,57480011776,43.7,57.2,47.5,42.3,36.1,58.5,51.5,40.6,76.2,53.5292751162035,-1.364725433583977,9.104615432548842,0.0126769149989049,0.0624747722399545,0.4625780005101612,0.1955296658194394,-0.0099570250217038,1.139526909066134,1.7586103962979769,2.582,-1.243,0.7694444444444444,-75.526276,44.194,232.123,-0.1672694571717966,-7.095159132872045,-0.0601264622993222,0.7426,-0.00223,98.596,2026-09-04,AVOID,57.2,FAIR,False
15,APLD,Stock,26.3700008392334,7497091584,42.7,40.8,44.0,55.3,22.3,65.8,41.9,46.3,32.6,44.41035825520589,-0.0873657889158838,23.24083424216647,-0.054465892767833,-0.0991360059132075,-0.1810724065684964,-0.0830282111459414,-0.3381507863466256,-0.3458579407388192,0.1110537927366508,1.274,0.7378,0.3333333333333333,-105.48,21.406,-122.268,-0.6617817942345147,-8.116063533595051,-0.0243103739538597,0.25879,-0.48219,136.231,2026-09-04,AVOID,40.8,WAIT,False
16,RKLB,Stock,64.26000213623047,41088552960,38.3,26.3,34.1,34.0,34.5,32.7,33.5,36.5,13.2,37.193284521798965,-0.5966304297945473,22.010326092918277,-0.1044463813503272,-0.1422324106534184,-0.1914293269472557,-0.1475358948159099,-0.4199664912920781,-0.4782242995037823,-0.2343754538688971,0.42060003,0.72080004,0.3571428571428571,1445.9946,46.821,-239.251,-0.0061322099185456,-0.3275888287027707,-0.2062711808023433,0.37264,-0.24572,3.828,2026-09-04,AVOID,26.3,WAIT,False
