rank,ticker,price,market_cap,long_term_score,short_term_score,buy_now_score,valuation_score,quality_score,growth_score,revision_score,technical_score,relative_strength_score,rsi14,macd_hist,adx14,dist_20dma,dist_50dma,dist_200dma,rs_1m,rs_3m,rs_6m,rs_12m,forward_revenue_growth,forward_eps_growth,eps_revision_signal,forward_pe,ev_sales,ev_ebitda,fcf_yield,fcf_margin,roic_proxy,gross_margin,operating_margin,debt_to_equity,as_of
1,MU,937.10498046875,,66.9,66.5,67.3,70.5,77.1,62.7,69.1,48.5,77.6,51.81237066501892,13.241514727550765,13.530918839256843,0.04734336741953915,-0.026150478805165855,0.6629127474034517,-0.011470924926592402,0.3132374685058496,0.9254841066798672,5.915649201689671,0.84860003,1.1106,0.9545454545454546,6.0532446,11.552,15.286,,0.08462569562445695,0.1419950783027513,0.72569,0.80370003,6.33,2026-08-19
2,NVDA,217.55999755859375,5269520646144.0,67.0,59.1,64.9,68.9,90.4,31.4,64.5,63.5,50.5,54.21925434601197,0.5919201110829864,19.346830522269606,0.02439505905178474,0.050416712291755816,0.11564860995227821,0.07280161557931598,-0.040780141982701044,-0.14319160566634867,-0.4844372227916391,0.4267,0.42880002,1.0,16.945772,20.819,31.885,0.008793185592299847,0.18279099614571304,0.987441508009527,0.74144995,0.65596,6.555,2026-08-19
3,MRVL,237.27000427246094,212960378880.0,56.8,69.2,61.1,60.8,67.7,40.5,53.6,57.1,88.1,57.49501977701202,4.857297754885631,17.14475950409276,0.1507208302882943,0.012031840608843325,0.6536272101175828,0.16419802562937924,0.3182878568748239,1.7002822090746956,1.4171080993669762,0.45220003,0.5416,0.8906926406926406,37.963993,21.841,70.203,0.010657851511801368,0.2603732993390066,0.07141117820098565,0.51502997,0.14479999,28.97,2026-08-19
4,LITE,827.5999755859375,74235715584.0,60.7,61.8,58.9,46.8,62.5,65.9,81.8,53.9,61.5,49.81582762294117,8.82791084020841,12.038983741635391,0.021928337620862326,0.017965664965151618,0.28132218316939284,0.011365764785400752,-0.09831064705474353,0.09069591106828481,5.274442263194055,0.4952,3.0129998,1.0,25.068783,25.318,93.222,,,0.24821929751149654,0.44575,0.28292,35.987,2026-08-19
5,AXTI,73.43000030517578,4815041024.0,52.5,73.1,56.5,37.7,37.0,71.8,83.2,74.2,76.0,51.44827244132891,2.037050429246222,29.202286646965877,0.09736233990813115,0.0717924409485513,0.42854920168770416,0.3226735529823924,-0.3775903694308798,1.8174107365863785,33.79208301854798,1.1128,1.5645,1.0,32.98742,40.128,374.511,-0.009224635839779711,-0.35389493980511355,-0.07304906164776805,0.32184,0.21902001,10.667,2026-08-19
6,META,546.030029296875,1391014838272.0,56.7,29.8,53.1,86.4,79.9,17.3,18.6,29.0,21.9,37.059657531892235,-4.214739154502971,14.134487916729737,-0.06142105236156281,-0.0809827401028328,-0.12537155656428567,-0.1286195814521337,-0.12115592519964999,-0.4515452522979523,-0.967455781545389,0.2014,0.066199996,-0.16133447823441638,15.733613,6.165,12.832,0.015494892286537484,0.09443114505532983,0.24151296396154137,0.81747,0.34827,42.997,2026-08-19
7,IREN,42.84000015258789,15310103552.0,48.2,49.4,49.9,57.2,39.7,63.2,39.5,63.6,41.7,52.3014161677421,0.8956891089510524,18.17493082839283,0.08235116339556625,-0.025925297692031113,-0.0852652739087153,0.060796812892255477,-0.13074353248977985,-0.2838996421520883,0.3877172335395888,3.1471,-0.0301,0.1285714285714286,-42.697815,22.14,113.888,-0.15094896936200683,-3.052600407412758,0.009238890438027994,0.68397003,-0.64468,148.804,2026-08-19
8,SPCX,139.64999389648438,1840835461120.0,51.7,57.5,49.3,24.1,45.2,85.0,69.5,64.1,54.8,60.41736348996329,3.6247473931128895,26.253339104225926,0.10781016465746585,,,0.15366052694864674,,,,1.3632001,26.3375,0.6779761904761905,84.17975,161.372,630.601,,,-0.04493599233649743,0.51875,-0.01804,31.211,2026-08-19
9,APLD,28.229999542236328,8126954496.0,47.1,38.1,46.5,61.0,22.8,73.6,52.3,34.9,27.7,43.4967993452736,0.3473111406349916,20.26008902277881,-0.021498964827731726,-0.1541598548807791,-0.1275990808242946,-0.03730823874979394,-0.25721397404251733,-0.4172847978293063,0.04631390997040895,1.4401,0.7378,0.3333333333333333,-112.92,22.646,-129.349,-0.6104917558529418,-8.116063533595051,-0.03174054663356408,0.25879,-0.48219,136.231,2026-08-19
10,NBIS,223.89999389648438,60868386816.0,41.5,54.6,46.1,45.7,41.5,54.1,25.5,60.6,66.8,50.75237013718412,5.7229440546925225,15.45296793696323,0.056388665293913176,0.004256511649262107,0.5097155880703816,0.05543521838826838,0.10424798309191424,0.8974500451669281,1.405224577603153,2.5053,-0.9768,-0.2714285714285714,-72.89764,51.84,272.281,-0.15795802831220543,-7.095159132872045,-0.0601264622993222,0.7426,-0.00223,98.596,2026-08-19
11,RKLB,75.83999633789062,48492929024.0,43.3,41.1,42.3,41.0,36.2,34.5,42.3,50.6,33.4,46.99591150965084,1.4301255246694948,19.020431523242227,0.03194900574235926,-0.09073256935044349,-0.03536276853530773,0.12047960206661201,-0.4323929693005715,-0.28287956988217244,0.005109286628698029,0.42159998,0.7243,0.35714285714285715,1516.7999,58.762,-300.27,-0.005195883958160143,-0.3275888287027707,-0.20627118080234338,0.37264,-0.24572,3.828,2026-08-19
