rank,ticker,price,market_cap,long_term_score,short_term_score,buy_now_score,valuation_score,quality_score,growth_score,revision_score,technical_score,relative_strength_score,rsi14,macd_hist,adx14,dist_20dma,dist_50dma,dist_200dma,rs_1m,rs_3m,rs_6m,rs_12m,forward_revenue_growth,forward_eps_growth,eps_revision_signal,forward_pe,ev_sales,ev_ebitda,fcf_yield,fcf_margin,roic_proxy,gross_margin,operating_margin,debt_to_equity,as_of
1,MU,974.3300170898438,1100401606656,68.8,69.7,70.2,76.5,78.0,62.7,69.1,55.6,79.0,55.164099391707815,13.349110271838395,12.63198294626723,0.08991434208975035,0.011722734848978345,0.7175282102181868,0.04056102353088335,0.33432551749761363,1.027218019400845,6.281696529726105,0.8547,1.1195999,0.9545454545454546,6.260157,11.506,15.225,0.006942465123452158,0.08462569562445695,0.1419950783027513,0.72569,0.80370003,6.33,2026-08-20
2,NVDA,216.85000610351562,5252323999744,67.5,54.5,64.0,70.4,90.7,31.4,64.5,55.5,44.8,53.425913578267036,0.08895292066242799,18.190200415625373,0.019111003422812578,0.04611395090675341,0.111591141694529,0.04767183896328756,-0.02544199828065323,-0.15320630837514784,-0.47788463136226395,0.4377,0.44349998,1.0,16.68177,20.611,31.566,0.008821975381994413,0.18279099614571304,0.987441508009527,0.74144995,0.65596,6.555,2026-08-20
3,LITE,879.280029296875,78871420928,61.8,70.0,62.5,49.8,65.0,65.9,81.8,68.9,69.9,53.461834554341536,6.676537588540317,11.477685651562279,0.08269251029289304,0.08000501047241237,0.3542304520541171,0.0848404098272371,0.015964416859002926,0.07461345586782529,5.739895891228836,0.4952,3.0129998,1.0,26.634222,24.276,91.381,0.002848940685436918,0.07455208707940705,0.24821929751149654,0.44244,0.27954,35.987,2026-08-20
4,MRVL,251.00999450683594,225292632064,56.1,72.0,61.0,57.0,67.7,40.5,53.6,63.8,91.1,61.36902796553265,5.821275537434278,17.692050757586127,0.20517385899969498,0.07208263665607006,0.7398432301840769,0.2147610304802004,0.3471187091553125,1.8466670216113747,1.7761279142865982,0.45229998,0.5414,0.8906926406926406,40.168156,23.976,77.064,0.010074453279747004,0.2603732993390066,0.07141117820098565,0.51502997,0.14479999,28.97,2026-08-20
5,AXTI,73.12000274658203,4794713600,51.4,68.2,53.9,34.7,35.9,71.8,83.2,63.0,73.0,51.27480409017244,1.123147328520068,28.265053421116807,0.07648938560035945,0.06890275256540845,0.4135574064437646,0.40522736572625845,-0.2979721380470048,1.762293483772976,32.45406727148742,1.1128,1.5645,1.0,32.84816,35.586,332.121,-0.009263744136876079,-0.35389493980511355,-0.07304906164776805,0.32184,0.21902001,10.667,2026-08-20
6,META,545.8300170898438,1390505361408,56.9,29.7,53.2,86.4,80.5,17.3,18.6,28.5,21.9,37.01418498225041,-4.578469380974344,15.120599407125988,-0.056879543828093015,-0.08013596488239716,-0.12498526468653215,-0.10460980089644198,-0.09400433821540925,-0.46063840866972144,-0.9854359668108029,0.2014,0.0684,-0.16133447823441638,15.72785,6.191,12.887,0.015500569567150175,0.09443114505532983,0.24151296396154137,0.81747,0.34827,42.997,2026-08-20
7,SPCX,134.0,1765341003776,51.7,59.0,49.7,24.1,45.2,85.0,69.5,69.1,54.8,56.89740718059252,2.676847464904238,24.807020451371304,0.05638661676525247,,,0.18767275943051925,,,,1.3632001,26.3375,0.6779761904761905,80.77399,157.15,614.104,,,-0.04493599233649743,0.51875,-0.01804,31.211,2026-08-20
8,IREN,42.599998474121094,15224331264,47.4,48.4,48.8,54.9,38.9,63.2,39.5,57.1,44.7,51.856477782241925,0.7487168620055776,16.883604218871007,0.0735480948031706,-0.026325806422185072,-0.08862387678547667,0.05706058933971407,-0.1887535400954961,-0.3246243528899855,0.560269392498987,3.1176002,-0.0858,0.1285714285714286,-42.45861,22.536,115.927,-0.15179940004752646,-3.052600407412758,0.009238890438027994,0.68397003,-0.64468,148.804,2026-08-20
9,APLD,28.649999618530273,8145304064,48.2,40.2,48.3,64.8,22.5,73.6,52.3,40.6,27.7,44.96931279861508,0.2592297368272414,20.230371260898817,-0.004802321989289093,-0.13469990833615442,-0.11379671267278757,-0.022456052282173365,-0.27199993879724144,-0.40002689222662663,0.15350955254830934,1.4401,0.7378,0.3333333333333333,-114.6,22.513,-128.586,-0.6091164529913858,-8.116063533595051,-0.024310373953859713,0.25879,-0.48219,136.231,2026-08-20
10,NBIS,220.11000061035156,55885533184,40.9,49.9,44.1,44.2,40.9,54.1,25.5,49.1,64.1,49.896845622729266,3.233403630123294,14.494588769579636,0.038717729299964754,-0.01274182402420898,0.4797059748045478,0.03402223130161701,0.15053266029628262,0.7367565866106913,1.5617771727087408,2.5767002,-0.9768,-0.2714285714285714,-71.66369,46.878,246.221,-0.17204184733004693,-7.095159132872045,-0.0601264622993222,0.7426,-0.00223,98.596,2026-08-20
11,RKLB,72.94999694824219,46645030912,41.9,38.4,40.2,37.3,34.8,34.5,42.3,48.8,29.0,43.59854109846623,0.8550946790435872,18.210883683153504,-0.00936994858729312,-0.1179195144073264,-0.0727097081122805,0.07096194404881477,-0.45368153261845884,-0.3560867538089629,0.06859019218439621,0.42330003,0.7246,0.35714285714285715,1458.9999,56.18,-287.072,-0.005401725051385469,-0.3275888287027707,-0.20627118080234338,0.37264,-0.24572,3.828,2026-08-20
