rank,ticker,asset_type,price,market_cap,long_term_score,short_term_score,buy_now_score,valuation_score,quality_score,growth_score,revision_score,technical_score,relative_strength_score,rsi14,macd_hist,adx14,dist_20dma,dist_50dma,dist_200dma,rs_1m,rs_3m,rs_6m,rs_12m,forward_revenue_growth,forward_eps_growth,eps_revision_signal,forward_pe,ev_sales,ev_ebitda,fcf_yield,fcf_margin,roic_proxy,gross_margin,operating_margin,debt_to_equity,macd_hist_pct,volume_ratio_20d,as_of,scoring_version,universe_size,image_mentions,company_name,sector,scoring_fingerprint,data_retrieved_at,long_term_rating,entry_score,entry_quality,short_put_eligible
1,MU,Stock,1027.77001953125,1160756461568,67.2,71.2,68.9,70.8,78.8,77.7,51.8,57.9,91.1,60.61458265759319,8.682248437991584,10.160815431863528,0.0725718818832326,0.101247121596987,0.6733178929936894,0.1900387890753988,0.1129770523501682,1.1928133588625394,6.118678578478292,0.8582,1.112,0.5,6.629695,12.296,16.271,0.0065814837383547,0.0846256956244569,0.1419950783027513,0.72569,0.80370003,6.33,0.0084476568424825,0.8618265950316581,2026-09-09,2.2-universe-normalization,27,1,"Micron Technology, Inc.",Technology,95acfecf52651414b4fb,2026-09-09T19:24:47.590058-04:00,STRONG BUY,71.2,GOOD,True
2,NVDA,Stock,223.6699981689453,5400959123456,69.8,61.5,66.7,66.0,88.1,64.9,64.7,58.6,61.0,54.316585427988514,0.4174974435348044,17.506458231848917,0.0130004727851122,0.0560214933575879,0.1357533508159829,0.0244768277921601,0.0889893500792135,-0.1462434536029796,-0.3813025121407552,0.648,0.6674,0.907769845960622,14.4126,17.878,26.912,0.007741194478296,0.1380000440194589,0.987441508009527,0.74674004,0.66236997,16.971,0.0018665777571985,0.6179545954271844,2026-09-09,2.2-universe-normalization,27,1,NVIDIA Corporation,Technology,95acfecf52651414b4fb,2026-09-09T19:24:47.590058-04:00,STRONG BUY,61.5,FAIR,True
3,META,Stock,653.6900024414062,1665279328256,58.1,56.6,60.0,74.1,81.0,27.8,30.8,74.0,52.2,70.42816406238342,9.512031283980583,14.972923448406776,0.1260082352607896,0.0920715549862321,0.0509183386308216,0.0951318137154807,0.1338730656952908,-0.3570501586261793,-0.8402193674300518,0.2035,0.08,0.5048378522062733,18.698408,6.944,14.454,0.0129429488028128,0.0944311450553298,0.2415129639615413,0.81747,0.34827,42.997,0.01455128768752,2.0423346011031,2026-09-09,2.2-universe-normalization,27,1,"Meta Platforms, Inc.",Communication Services,95acfecf52651414b4fb,2026-09-09T19:24:47.590058-04:00,BUY,56.6,FAIR,True
4,DRAM,ETF,61.58000183105469,26017624064,57.4,57.8,59.0,,,,,66.6,57.8,60.19590898338373,0.6795903540282635,11.91382934226344,0.0793662198656042,0.088605207878605,,0.2378777197751335,0.0433679472198379,,,,,,,,,,,,,,,0.0110358936963452,0.6968070836159524,2026-09-09,2.2-universe-normalization,27,0,Roundhill Memory ETF,Thematic ETF,95acfecf52651414b4fb,2026-09-09T19:24:47.590058-04:00,BUY,57.8,FAIR,True
5,LITE,Stock,988.97998046875,88711503872,57.2,67.9,57.9,40.5,70.6,51.5,70.7,51.4,85.6,60.06107770292496,5.035372700638785,10.925322601913072,0.0981860728643766,0.2025960316443511,0.4281738119747382,0.2120402995043207,0.2181242471493755,0.1134444311738452,4.907689566749202,0.5032,0.5387,0.9912280701754386,29.698027,28.768,108.289,0.0025329296674331,0.074552087079407,0.2482192975114965,0.44244,0.27954,35.987,0.0050914809198181,0.9798565706685278,2026-09-09,2.2-universe-normalization,27,1,Lumentum Holdings Inc.,Technology,95acfecf52651414b4fb,2026-09-09T19:24:47.590058-04:00,BUY,67.9,GOOD,True
6,MRVL,Stock,235.00999450683597,211204571136,57.8,61.6,57.4,47.7,67.8,56.0,67.9,51.2,69.8,55.54372816408634,-0.1774689396663755,14.049557001566845,0.0373175458842978,0.0732291426304225,0.5338676185804354,0.1231673910969446,-0.1045655370867367,1.1624943398357983,1.856354297444014,0.5128,0.5998,0.9686057677991842,34.967304,21.059,69.823,0.0114015047451288,0.2548119968676348,0.0714111782009856,0.52216,0.16679001,28.525,-0.0007551548607062,0.8116937968620291,2026-09-09,2.2-universe-normalization,27,1,"Marvell Technology, Inc.",Technology,95acfecf52651414b4fb,2026-09-09T19:24:47.590058-04:00,BUY,61.6,FAIR,True
7,AVGO,Stock,364.3800048828125,1733567184896,62.5,42.6,57.1,66.6,84.0,60.4,36.4,51.5,32.9,43.19351981959639,-0.1819816207666154,23.386293856688813,-0.0232316742268973,-0.0500324448022968,-0.0131610480714288,-0.1410125439208442,-0.0547336325420437,-0.2906990482595603,-0.6500773524814052,0.6375,0.66580003,0.3020833333333333,18.794197,20.111,34.423,0.0175921213886092,0.3422643731199353,0.1911656891495601,0.75515,0.54307,59.604,-0.0004994281198968,0.9875677975163498,2026-09-09,2.2-universe-normalization,27,1,Broadcom Inc.,Technology,95acfecf52651414b4fb,2026-09-09T19:24:47.590058-04:00,BUY,42.6,WAIT,True
8,ETN,Stock,415.2200012207031,161229930496,54.6,56.1,57.0,67.5,58.8,21.2,62.9,56.0,50.0,49.96942427764411,-0.5548266074665547,15.439363576559128,-0.0108604792850904,-0.0002130543431453,0.09261575853385,-0.0704920612727535,0.0507827837350877,-0.2022339181803342,-0.5106692062149569,0.116000004,0.1903,1.0,25.737724,6.149,27.81,0.0192651888296699,0.1034478457428904,0.1390297387412369,0.36022,0.16563,105.059,-0.0013362232210284,1.0181630678197635,2026-09-09,2.2-universe-normalization,27,3,Eaton Corporation plc,Industrials,95acfecf52651414b4fb,2026-09-09T19:24:47.590058-04:00,HOLD,56.1,FAIR,False
9,HUBB,Stock,454.9700012207031,24041422848,52.9,41.4,53.4,79.3,57.6,16.7,49.0,38.2,30.5,41.092269622153054,-0.685629475512501,16.749645323634144,-0.0356663376758357,-0.0551781458204503,-0.0582665813008669,-0.0997531077540137,-0.0472197909773949,-0.4007332684532113,-0.6572482952707767,0.1008,0.1197,0.9615384615384616,19.856266,4.776,19.615,0.0206232599099785,0.07966651163357,0.154830940906934,0.35338002,0.21666999,141.642,-0.0015069773252586,0.9840978612296551,2026-09-09,2.2-universe-normalization,27,2,Hubbell Incorporated,Industrials,95acfecf52651414b4fb,2026-09-09T19:24:47.590058-04:00,HOLD,41.4,WAIT,False
10,AMZN,Stock,252.3999938964844,2722465316864,50.7,48.0,52.1,65.5,56.6,16.4,52.2,42.8,45.4,44.06238001465005,-1.3275068175163,15.358702555228296,-0.0297812018768344,-0.0089532102996189,0.054110861196863,-0.0960347880905336,0.0482555402125283,-0.1806287156845422,-0.6417722007412826,0.1429,-0.16520001,0.9905660377358492,24.268484,3.739,17.171,0.0011824301202514,0.0041500681415152,0.1324511328950458,0.5077,0.13689,45.617,-0.0052595358542708,0.9932445659491478,2026-09-09,2.2-universe-normalization,27,2,"Amazon.com, Inc.",Consumer Cyclical,95acfecf52651414b4fb,2026-09-09T19:24:47.590058-04:00,HOLD,48.0,WAIT,False
