date,added_ticker,added_security,removed_ticker,removed_security,reason,added_yahoo_symbol
2026-04-20,SNDK,Sandisk,TEAM,Atlassian,Atlassian did not meet the minimum monthly weight requirements.[16],SNDK
2026-01-20,WMT,Walmart,AZN,AstraZeneca,Walmart transferred its listing from NYSE to NASDAQ and replaced AstraZeneca in the index. AstraZeneca was preparing to transfer its listing from Nasdaq to the NYSE.[17][18],WMT
2026-01-09,,,VSNT,Versant,Versant did not meet the minimum monthly weight requirements.[19],
2026-01-05,VSNT,Versant,,,Versant was spun off from Comcast.[20][21],VSNT
2025-12-22,ALNY,Alnylam Pharmaceuticals,BIIB,Biogen,Annual index reconstitution.[22],ALNY
2025-12-22,FER,Ferrovial SE,CDW,CDW Corporation,Annual index reconstitution.[22],FER
2025-12-22,INSM,Insmed Incorporated,GFS,GlobalFoundries,Annual index reconstitution.[22],INSM
2025-12-22,MPWR,Monolithic Power Systems,LULU,Lululemon Athletica,Annual index reconstitution.[22],MPWR
2025-12-22,STX,Seagate Technology Holdings,ON,ON Semiconductor,Annual index reconstitution.[22],STX
2025-12-22,WDC,Western Digital,TTD,Trade Desk (The),Annual index reconstitution.[22],WDC
2025-11-06,,,SOLS,Solstice Advanced Materials,Solstice Advanced Materials did not meet the minimum monthly weight requirements.[23],
2025-10-30,SOLS,Solstice Advanced Materials,,,Solstice Advanced Materials was spun off from Honeywell.[24],SOLS
2025-07-28,TRI,Thomson Reuters,,,Thomson Reuters transferred its listing from NYSE to NASDAQ and replaced Ansys in the index.[25],TRI
2025-07-17,,,ANSS,Ansys,Ansys was acquired by Synopsys.,
2025-05-19,SHOP,Shopify,MDB,MongoDB,MongoDB did not meet the minimum monthly weight requirements.[26],SHOP
2024-12-23,PLTR,Palantir Technologies,ILMN,Ilumina,Annual index reconstitution.[27],PLTR
2024-12-23,MSTR,MicroStrategy,MRNA,Moderna,Annual index reconstitution.[27],MSTR
2024-12-23,AXON,Axon Enterprise,SMCI,Supermicro,Annual index reconstitution.[27],AXON
2024-11-18,APP,AppLovin,DLTR,Dollar Tree,Dollar Tree did not meet the minimum monthly weight requirements.[28],APP
2024-07-22,SMCI,Supermicro,WBA,Walgreens Boots Alliance,WBA did not meet the minimum monthly weight requirements.[29],SMCI
2024-06-24,ARM,Arm Holdings,SIRI,Sirius XM,Sirius XM did not meet the minimum monthly weight requirements.[30][31],ARM
2024-03-18,LIN,Linde,SPLK,Splunk,Splunk was acquired by Cisco.[32],LIN
2023-12-18,CDW,CDW,ALGN,Align Technology,Annual index reconstitution.[33],CDW
2023-12-18,CCEP,Coca-Cola Europacific Partners,EBAY,EBay,Annual index reconstitution.[33],CCEP
2023-12-18,DASH,DoorDash,ENPH,Enphase Energy,Annual index reconstitution.[33],DASH
2023-12-18,MDB,MongoDB,JD,JD.com,Annual index reconstitution.[33],MDB
2023-12-18,ROP,Roper Technologies,LCID,Lucid Group,Annual index reconstitution.[33],ROP
2023-12-18,SPLK,Splunk,ZM,Zoom Video Communications,Annual index reconstitution.[33],SPLK
2023-12-14,TTWO,Take-Two Interactive,SGEN,Seagen Inc.,Seagen merged with Pfizer.[34],TTWO
2023-07-17,TTD,The Trade Desk,ATVI,Activision Blizzard,Activision Blizzard was acquired by Microsoft.[35],TTD
2023-06-20,ON,Onsemi,RIVN,Rivian Automotive,Rivian did not meet the minimum monthly weight requirements.[36],ON
2023-06-07,GEHC,GE HealthCare,FI,Fiserv,Fiserv transferred its listing from NASDAQ to the NYSE.[37],GEHC
2022-12-19,CSGP,CoStar Group,VRSN,VeriSign,Annual index reconstitution.[38],CSGP
2022-12-19,RIVN,Rivian Automotive,SWKS,Skyworks,Annual index reconstitution.[38],RIVN
2022-12-19,,,NTES,NetEase,Annual index reconstitution.[38],
2022-12-19,WBD,Warner Bros. Discovery,SPLK,Splunk,Annual index reconstitution.[38],WBD
2022-12-19,GFS,GlobalFoundries,BIDU,Baidu,Annual index reconstitution.[38],GFS
2022-12-19,BKR,Baker Hughes,MTCH,Match Group,Annual index reconstitution.[38],BKR
2022-12-19,FANG,Diamondback Energy,DOCU,DocuSign,Annual index reconstitution.[38],FANG
2022-11-21,ENPH,Enphase Energy,OKTA,Okta,Okta did not meet the minimum monthly weight requirements.[39],ENPH
2022-02-22,AZN,AstraZeneca,XLNX,Xilinx,Xilinx was acquired by AMD.[40],AZN
2022-02-02,CEG,Constellation Energy,,,Component member Exelon spun off Constellation Energy.[41],CEG
2022-01-24,ODFL,Old Dominion Freight Line,PTON,Peloton,Peloton did not meet the minimum monthly weight requirements.[42],ODFL
2021-12-20,ABNB,Airbnb,CDW,CDW,Annual index reconstitution.[43],ABNB
2021-12-20,FTNT,Fortinet,FOXA,Fox Corporation,Annual index reconstitution.[43],FTNT
2021-12-20,,,FOX,Fox Corporation,Annual index reconstitution.[43],
2021-12-20,PANW,Palo Alto Networks,CERN,Cerner,Annual index reconstitution. Cerner was acquired by Oracle Corporation and rebranded as Oracle Health.[43],PANW
2021-12-20,LCID,Lucid Group,CHKP,Check Point,Annual index reconstitution.[43],LCID
2021-12-20,ZS,Zscaler,TCOM,Trip.com,Annual index reconstitution.[43],ZS
2021-12-20,DDOG,Datadog,INCY,Incyte,Annual index reconstitution.[43],DDOG
2021-08-26,CRWD,Crowdstrike,MXIM,Maxim Integrated Products,Maxim Integrated Products was acquired by Analog Devices.[44],CRWD
2021-07-21,HON,Honeywell,ALXN,Alexion Pharmaceuticals,Alexion Pharmaceuticals was acquired by AstraZeneca.[45],HON
2020-12-21,AEP,American Electric Power,BMRN,BioMarin Pharmaceutical,Annual index reconstitution.[46],AEP
2020-12-21,MRVL,Marvell Technology,CTXS,Citrix Systems,Annual index reconstitution.[46],MRVL
2020-12-21,MTCH,Match Group,EXPE,Expedia,Annual index reconstitution.[46],MTCH
2020-12-21,OKTA,Okta,LBTYA,Liberty Global,Annual index reconstitution.[46],OKTA
2020-12-21,,,LBTYK,Liberty Global,Annual index reconstitution.[46],
2020-12-21,PTON,Peloton,TTWO,Take-Two Interactive,Annual index reconstitution.[46],PTON
2020-12-21,TEAM,Atlassian,ULTA,Ulta Beauty,Annual index reconstitution.[46],TEAM
2020-10-19,KDP,Keurig Dr Pepper,WDC,Western Digital,Western Digital did not meet the minimum monthly weight requirements.[47],KDP
2020-08-24,PDD,Pinduoduo,NTAP,NetApp,NetApp did not meet the minimum monthly weight requirements.[48],PDD
