date,added_ticker,added_security,removed_ticker,removed_security,reason,added_yahoo_symbol
2020-07-20,MRNA,Moderna,CSGP,CoStar Group,CoStar did not meet the minimum monthly weight requirements.[49],MRNA
2020-06-22,DOCU,DocuSign,UAL,United Airlines Holdings,United Airlines did not meet the minimum monthly weight requirements.[50],DOCU
2020-04-30,ZM,Zoom Video Communications,WTW,Willis Towers Watson,WTW did not meet the minimum monthly weight requirements.[51],ZM
2020-04-20,DXCM,Dexcom,AAL,American Airlines,American Airlines did not meet the minimum monthly weight requirements.[52],DXCM
2019-12-23,ANSS,Ansys,HAS,Hasbro,Annual index reconstitution.[53],ANSS
2019-12-23,CDW,CDW,HSIC,Henry Schein,Annual index reconstitution.[53],CDW
2019-12-23,CPRT,Copart,JBHT,J.B. Hunt,Annual index reconstitution.[53],CPRT
2019-12-23,CSGP,CoStar Group,MYL,Mylan,Annual index reconstitution.[53],CSGP
2019-12-23,SGEN,Seattle Genetics,NLOK,NortonLifeLock,Annual index reconstitution.[53],SGEN
2019-12-23,SPLK,Splunk,WYNN,Wynn Resorts,Annual index reconstitution.[53],SPLK
2019-11-21,EXC,Exelon,CELG,Celgene,Celgene was acquired by Bristol Myers Squibb.[54],EXC
2019-03-19,FOXA,Fox Corporation Class A,TCFCA,21st Century Fox Class A,"Two classes of stock of Fox Corporation replaced the two classes of stock of 21st Century Fox, which was acquired by The Walt Disney Company.[55]",FOXA
2019-03-19,FOX,Fox Corporation Class B,TCFCB,21st Century Fox Class B,"Two classes of stock of Fox Corporation replaced the two classes of stock of 21st Century Fox, which was acquired by The Walt Disney Company.[55]",FOX
2018-12-24,AMD,Advanced Micro Devices,ESRX,Express Scripts,Annual index reconstitution.[56],AMD
2018-12-24,LULU,lululemon Athletica,HOLX,Hologic,Annual index reconstitution.[56],LULU
2018-12-24,NTAP,NetApp,QRTEA,Qurate Retail,Annual index reconstitution.[56],NTAP
2018-12-24,UAL,United Continental Holdings,SHPG,Shire PLC,Annual index reconstitution.[56],UAL
2018-12-24,VRSN,Verisign,STX,Seagate Technology,Annual index reconstitution.[56],VRSN
2018-12-24,WLTW,Willis Towers Watson,VOD,Vodafone,Annual index reconstitution.[56],WLTW
2018-11-19,XEL,Xcel Energy,XRAY,Dentsply Sirona,Dentsply Sirona did not meet the minimum monthly weight requirements.[57],XEL
2018-11-05,NXPI,NXP Semiconductors,CA,CA Inc.,NXP Semiconductors rejoined the index following its failed acquisition by Qualcomm. CA Inc. merged with Broadcom.,NXPI
2018-07-23,PEP,PepsiCo,DISH,Dish Network,Dish Network did not meet the minimum monthly weight requirement.[58],PEP
2017-12-18,ASML,ASML Holding,AKAM,Akamai Technologies,Annual index reconstitution.[59],ASML
2017-12-18,CDNS,Cadence Design Systems,DISCA,Discovery Communications Series A,Annual index reconstitution.[59],CDNS
2017-12-18,,,DISCK,Discovery Communications Series C,Annual index reconstitution.[59],
2017-12-18,SNPS,Synopsys,NCLH,Norwegian Cruise Line Holdings,Annual index reconstitution.[59] Norwegian Cruise Line was dropped due to transferring its listing from NASDAQ to the NYSE.[60],SNPS
2017-12-18,TTWO,Take-Two Interactive,TSCO,Tractor Supply,Annual index reconstitution.[59],TTWO
2017-12-18,WDAY,Workday,VIAB,Viacom,Annual index reconstitution.[59],WDAY
2017-10-23,ALGN,Align Technology,MAT,Mattel,Mattel did not meet the minimum monthly weight requirements.[61],ALGN
2017-06-19,MELI,MercadoLibre,YHOO,Yahoo! Inc.,Yahoo! Inc. was acquired by Verizon and subsequently converted to a closed-end fund.[62],MELI
2017-04-24,WYNN,Wynn Resorts,TRIP,TripAdvisor,TripAdvisor did not meet the minimum monthly weight requirements.[63],WYNN
2017-03-20,IDXX,Idexx Laboratories,SBAC,SBA Communications,"SBA converted into a real estate investment trust, making it ineligible for inclusion in the Nasdaq-100, but it became eligible for inclusion in the Nasdaq Financial-100.[64]",IDXX
2017-02-07,JBHT,J.B. Hunt,NXPI,NXP Semiconductors,NXP was in the process of merging with Qualcomm.[65],JBHT
2016-12-19,CTAS,Cintas,BBBY,Bed Bath & Beyond,Annual index reconstitution.[66],CTAS
2016-12-19,HAS,Hasbro,NTAP,NetApp,Annual index reconstitution.[66],HAS
2016-12-19,HOLX,Hologic,SRCL,Stericycle,Annual index reconstitution.[66],HOLX
2016-12-19,KLAC,KLA-Tencor,WFM,Whole Foods Market,Annual index reconstitution.[66],KLAC
2016-10-19,SHPG,Shire PLC,LLTC,Linear Technology,Linear Technology did not meet the minimum monthly weight requirements.[67],SHPG
2016-07-18,MCHP,Microchip Technology,NDOI,Endo International,Endo International did not meet the minimum monthly weight requirements.[68],MCHP
2016-06-20,XRAY,Dentsply Sirona,LMCA,Liberty Media,Liberty Media did not meet the minimum monthly weight requirements.[69],XRAY
2016-06-20,,,LMCK,Liberty Media,Liberty Media did not meet the minimum monthly weight requirements.[69],
2016-06-20,,,BATRA,Liberty Media,Liberty Media did not meet the minimum monthly weight requirements.[69],
2016-06-20,,,BATRK,Liberty Media,Liberty Media did not meet the minimum monthly weight requirements.[69],
2016-04-18,BATRA,Liberty Media,,,Liberty Media established two tracking stocks to follow the performance of its investment in the Atlanta Braves.[70],BATRA
2016-04-18,BATRK,Liberty Media,,,Liberty Media established two tracking stocks to follow the performance of its investment in the Atlanta Braves.[70],BATRK
2016-03-16,NTES,NetEase,SNDK,SanDisk,SanDisk was acquired by Western Digital.[71],NTES
2016-02-16,CSX,CSX Corporation,KLAC,KLA-Tencor,KLA-Tencor did not meet the minimum monthly weight requirements.[72],CSX
2016-02-01,AVGO,Broadcom,,,Avago Technologies changed its name to Broadcom.[73] Former ticker BRCM retired.,AVGO
2015-12-21,CTRP,Ctrip,CHRW,C. H. Robinson Worldwide,Annual index reconstitution.[74],CTRP
2015-12-21,ENDP,Endo International,EXPD,Expeditors International,Annual index reconstitution.[74],ENDP
2015-12-21,EXPE,Expedia Group,GMCR,Keurig Green Mountain,Annual index reconstitution.[74],EXPE
2015-12-21,MXIM,Maxim Integrated Products,GRMN,Garmin,Annual index reconstitution.[74],MXIM
2015-12-21,NCLH,Norwegian Cruise Line,SPLS,Staples,Annual index reconstitution.[74],NCLH
2015-12-21,TMUS,T-Mobile US,VIP,VimpelCom,Annual index reconstitution.[74],TMUS
2015-12-21,ULTA,Ulta Beauty,WYNN,Wynn Resorts,Annual index reconstitution.[74],ULTA
2015-12-21,,,LILA,Liberty Latin America Class A,Liberty Media tracking stocks were removed from the index.[74],
2015-12-21,,,LILAK,Liberty Latin America Class C,Liberty Media tracking stocks were removed from the index.[74],
2015-11-11,PYPL,PayPal,BRCM,Broadcom Corporation,Broadcom was in the process of merging with Avago.[75],PYPL
2015-10-07,INCY,Incyte,ALTR,Altera,Altera merged with Intel.[76],INCY
2015-08-03,SWKS,Skyworks Solutions,,,Skyworks Solutions replaced Sigma-Aldrich in the index.[77],SWKS
2015-07-31,,,SIAL,Sigma-Aldrich,Sigma-Aldrich was acquired by Merck KGaA.,
2015-07-29,JD,JD.com,,,JD.com replaced Catamaran Corporation in the index.[78],JD
2015-07-27,BMRN,BioMarin Pharmaceutical,,,BioMarin replaced DirecTV in the index.[79],BMRN
2015-07-24,,,DTV,DirecTV,DirecTV was acquired by AT&T.[80],
2015-07-24,,,CTRX,Catamaran Corporation,Catamaran Corporation went private.[81],
2015-07-02,KHC,Kraft Heinz,KRFT,Kraft Foods,"Kraft Foods merged with Heinz, becoming Kraft Heinz",KHC
2015-07-02,LILA,Liberty Latin America Class A,,,"Liberty Interactive created two new tracking stocks, tracking the company's interests in Latin America.[82]",LILA
2015-07-02,LILAK,Liberty Latin America Class C,,,"Liberty Interactive created two new tracking stocks, tracking the company's interests in Latin America.[82]",LILAK
2015-03-23,WBA,Walgreens Boots Alliance,EQIX,Equinix,"Equinix converted into a real estate investment trust, making it ineligible for inclusion in the Nasdaq-100, but it became eligible for inclusion in the Nasdaq Financial-100.[83]",WBA
2014-12-22,AAL,American Airlines Group,EXPE,Expedia Group,Annual index reconstitution.[3],AAL
2014-12-22,EA,Electronic Arts,FFIV,F5 Networks,Annual index reconstitution.[3],EA
2014-12-22,LRCX,Lam Research,MXIM,Maxim Integrated Products,Annual index reconstitution.[3],LRCX
2014-12-22,CMCSK,Comcast Corporation Class A,,,NASDAQ revised the index methodology allowing multiple share classes of index participants to be included.[3],CMCSK
2014-12-22,FOX,"Twenty-First Century Fox, Inc. Class B",,,NASDAQ revised the index methodology allowing multiple share classes of index participants to be included.[3],FOX
2014-12-22,LBTYK,Liberty Global PLC Class C,,,NASDAQ revised the index methodology allowing multiple share classes of index participants to be included.[3],LBTYK
2014-04-03,GOOG,Google Class C,,,Class C common stock of Google was added to the index as a result of Google's stock split.[84],GOOG
2013-12-23,DISH,DISH Network Corporation,FOSL,Fossil Group,Annual index reconstitution.[85],DISH
2013-12-23,ILMN,Illumina,MCHP,Microchip Technology,Annual index reconstitution.[85],ILMN
2013-12-23,NXPI,NXP Semiconductors,NUAN,Nuance Communications,Annual index reconstitution.[85],NXPI
2013-12-23,TRIP,TripAdvisor,SHLD,Sears Holdings,Annual index reconstitution.[85],TRIP
2013-12-23,TSCO,Tractor Supply Company,XRAY,Dentsply,Annual index reconstitution.[85],TSCO
2013-11-18,MAR,Marriott International,GOLD,Randgold Resources,Randgold Resources did not meet the minimum monthly weight requirements.[86],MAR
2013-10-29,VIP,VimpelCom,DELL,Dell,Dell Inc. was taken private.[87],VIP
2013-08-22,GMCR,Green Mountain Coffee Roasters,LIFE,Life Technologies,Life Technologies was in the process of merging with Thermo Fisher Scientific.[88],GMCR
2013-07-25,CHTR,Charter Communications,BMC,BMC Software,BMC Software was taken private.,CHTR
2013-07-15,TSLA,Tesla Motors,ORCL,Oracle,Oracle transferred its listing from NASDAQ to NYSE.[89],TSLA
2013-06-06,NFLX,Netflix,PRGO,Perrigo,Perrigo transferred its listing from NASDAQ to NYSE.[90],NFLX
2013-06-05,LMCA,Liberty Media,VMED,Virgin Media,Virgin Media merged with Liberty Media.[91],LMCA
2013-03-18,KRFT,Kraft Foods,STRZA,Starz,Starz did not meet the minimum monthly weight requirements.[92],KRFT
2013-01-15,STRZA,Starz,LMCA,Liberty Media,Starz replaced Liberty Media after a spinoff.[93],STRZA
2012-12-24,ADI,Analog Devices,APOL,Apollo Group,Annual index reconstitution.[94],ADI
2012-12-24,CTRX,Catamaran Corporation,EA,Electronic Arts,Annual index reconstitution.[94],CTRX
2012-12-24,DISCA,Discovery Communications,FLEX,Flextronics,Annual index reconstitution.[94],DISCA
2012-12-24,EQIX,Equinix,GMCR,Green Mountain Coffee Roasters,Annual index reconstitution.[94],EQIX
2012-12-24,LBTYA,Liberty Global,LRCX,Lam Research,Annual index reconstitution.[94],LBTYA
2012-12-24,LMCA,Liberty Media,MRVL,Marvell Technology Group,Annual index reconstitution.[94],LMCA
2012-12-24,REGN,Regeneron Pharmaceuticals,NFLX,Netflix,Annual index reconstitution.[94],REGN
2012-12-24,SBAC,SBA Communications,RIMM,Research in Motion,Annual index reconstitution.[94],SBAC
2012-12-24,VRSK,Verisk Analytics,VRSN,VeriSign,Annual index reconstitution.[94],VRSK
2012-12-24,WDC,Western Digital,WCRX,Warner Chilcott,Annual index reconstitution.[94],WDC
2012-12-12,FB,"Facebook, Inc.",INFY,Infosys,Infosys transferred its listing from NASDAQ to NYSE.[95],FB
2012-07-23,KFT,Kraft Foods,CTRP,Ctrip,Ctrip did not meet the minimum monthly weight requirements.[96],KFT
2012-05-30,VIAB,Viacom,TEVA,Teva Pharmaceutical Industries,Teva transferred its listing from NASDAQ to NYSE.[97],VIAB
2012-04-23,TXN,Texas Instruments,FSLR,First Solar,First Solar did not meet the minimum monthly weight requirements.[98],TXN
2011-12-19,AVGO,Avago Technologies,FLIR,FLIR Systems,Annual index reconstitution.[99],AVGO
2011-12-19,FOSL,Fossil Group,ILMN,Illumina,Annual index reconstitution.[99],FOSL
2011-12-19,HANS,Hansen Natural,NIHD,NII Holdings,Annual index reconstitution.[99],HANS
2011-12-19,NUAN,Nuance Communications,QGEN,Qiagen,Annual index reconstitution.[99],NUAN
2011-12-19,GOLD,Randgold Resources,URBN,Urban Outfitters,Annual index reconstitution.[99],GOLD
2011-12-06,PRGO,Perrigo,JOYG,Joy Global,Joy Global transferred its listing from NASDAQ to NYSE.[100],PRGO
2011-07-15,SIRI,Sirius XM Radio,CEPH,Cephalon,Cephalon was acquired by Teva Pharmaceutical Industries.[101],SIRI
2011-05-27,GMCR,Green Mountain Coffee Roasters,MICC,Millicom International Cellular,"Millicom consolidated its primary listing to NASDAQ OMX Stockholm, withdrawing the NASDAQ US listing.[102][103]",GMCR
2011-04-04,ALXN,Alexion Pharmaceuticals,GENZ,Genzyme,Genzyme was acquired by Sanofi-Aventis.[104],ALXN
2010-12-20,AKAM,Akamai Technologies,CTAS,Cintas,Annual index reconstitution.[105],AKAM
2010-12-20,CTRP,Ctrip,DISH,Dish Network,Annual index reconstitution.[105],CTRP
2010-12-20,DLTR,Dollar Tree,FWLT,Foster Wheeler,Annual index reconstitution.[105],DLTR
2010-12-20,FFIV,F5 Networks,HOLX,Hologic,Annual index reconstitution.[105],FFIV
2010-12-20,MU,Micron Technology,JBHT,J. B. Hunt,Annual index reconstitution.[105],MU
2010-12-20,NFLX,Netflix,LOGI,Logitech,Annual index reconstitution.[105],NFLX
2010-12-20,WFMI,Whole Foods Market,PDCO,Patterson Companies,Annual index reconstitution.[105],WFMI
2009-12-21,VOD,Vodafone,AKAM,Akamai Technologies,Annual index reconstitution.[106],VOD
2009-12-21,MAT,Mattel,HANS,Hansen Natural,Annual index reconstitution.[106],MAT
2009-12-21,BMC,BMC Software,IACI,IAC/InterActiveCorp,Annual index reconstitution.[106],BMC
2009-12-21,MYL,Mylan,LBTYA,Liberty Global Class A,Annual index reconstitution.[106],MYL
2009-12-21,QGEN,Qiagen,PPDI,Pharmaceutical Product Development,Annual index reconstitution.[106],QGEN
2009-12-21,SNDK,SanDisk,RYAAY,Ryanair,Annual index reconstitution.[106],SNDK
2009-12-21,VMED,Virgin Media,STLD,Steel Dynamics,Annual index reconstitution.[106],VMED
2009-10-29,PCLN,Priceline.com,JNPR,Juniper Networks,Joy Global transferred its listing from NASDAQ to NYSE.[107],PCLN
2009-07-17,CERN,Cerner,JAVA,Sun Microsystems,Sun Microsystems was acquired by Oracle.[108],CERN
2009-01-20,NWSA,News Corporation Class A,FMCN,Focus Media Holding,Focus Media did not meet the minimum monthly weight requirements.[109],NWSA
2008-12-22,ADP,Automatic Data Processing,AMLN,Amylin Pharmaceuticals,Annual index reconstitution.[110],ADP
2008-12-22,FSLR,First Solar,CDNS,Cadence Design Systems,Annual index reconstitution.[110],FSLR
2008-12-22,LIFE,Life Technologies,DISCA,Discovery Communications Class A,Annual index reconstitution.[110],LIFE
2008-12-22,ROST,Ross Stores,LAMR,Lamar Advertising Company,Annual index reconstitution.[110],ROST
2008-12-22,MXIM,Maxim Integrated Products,LEAP,Leap Wireless International,Annual index reconstitution.[110],MXIM
2008-12-22,ILMN,Illumina,LVLT,Level 3 Communications,Annual index reconstitution.[110],ILMN
2008-12-22,PPDI,Pharmaceutical Product Development,PETM,PetSmart,Annual index reconstitution.[110],PPDI
2008-12-22,ORLY,O'Reilly Auto Parts,SIRI,Sirius XM Radio,Annual index reconstitution.[110],ORLY
2008-12-22,URBN,Urban Outfitters,SNDK,SanDisk,Annual index reconstitution.[110],URBN
2008-12-22,JBHT,J. B. Hunt,VMED,Virgin Media,Annual index reconstitution.[110],JBHT
2008-12-22,WCRX,Warner Chilcott,WFMI,Whole Foods Market,Annual index reconstitution.[110],WCRX
2008-11-10,STX,Seagate Technology,MNST,Monster Worldwide,Monster did not meet the minimum monthly weighting requirements.[111],STX
2008-07-21,FLIR,FLIR Systems,UAUA,UAL Corporation,UAL did not meet the minimum monthly weighting requirements.[112],FLIR
2008-05-19,CA,CA Technologies,TLAB,Tellabs,Tellabs did not meet the minimum monthly weighting requirements.[113],CA
2008-04-30,DTV,DirecTV,BEAS,BEA Systems,BEA Systems was acquired by Oracle.[114],DTV
2007-12-24,HOLX,Hologic,ERIC,LM Ericsson,Annual index reconstitution.[115],HOLX
2007-12-24,FMCN,Focus Media,PTEN,Patterson-UTI Energy,Annual index reconstitution.[115],FMCN
2007-12-24,HANS,Hansen Natural,ROST,Ross Stores,Annual index reconstitution.[115],HANS
2007-12-24,STLD,Steel Dynamics,SEPR,Sepracor,Annual index reconstitution.[115],STLD
2007-12-24,SRCL,Stericycle,XMSR,XM Satellite Radio,Annual index reconstitution.[115],SRCL
2007-12-04,BIDU,"Baidu.com, Inc.",CKFR,CheckFree Corporation,CheckFree was acquired by Fiserv.[116],BIDU
2007-10-08,LEAP,Leap Wireless International,CDWC,CDW Corporation,CDW was taken private.[117],LEAP
2007-08-27,VMED,Virgin Media,NLTI,NTL Incorporated,NTL Incorporated was merged into Virgin Media.[118],VMED
2007-07-12,FWLT,Foster Wheeler,BMET,Biomet,Biomet was taken private.[119],FWLT
2007-06-01,CEPH,Cephalon,MEDI,MedImmune,MedImmune was acquired by AstraZeneca.[120],CEPH
2007-03-08,UAUA,UAL Corporation,AEOS,American Eagle Outfitters,American Eagle Outfitters transferred its listing from NASDAQ to NYSE.[121][122],UAUA
2007-02-14,RYAAY,Ryanair,APCC,American Power Conversion,APC was acquired by Schneider Electric.[123],RYAAY
2007-02-01,LOGI,Logitech,CMVT,Comverse Technology,Comverse did not meet the minimum monthly weighting requirements.[124],LOGI
