Symbol,SignalDate,EntryDate,ExitDate,EntryPrice,ExitPrice,Shares,PnL,ReturnPct,ExitReason,Score,BreakoutLevel,Target,Stop,HoldingDays
CI,2020-01-03,2020-01-07,2020-02-26,188.55,171.74,530.363299,-8915.41,-8.92,stop,78.32,188.55,253.61,171.74,50
KR,2020-02-28,2020-03-04,2020-05-28,26.92,28.2174,3383.528713,4389.8,4.82,time_stop,74.86,26.92,35.81,23.28,85
CAG,2020-07-10,2020-07-13,2020-10-05,27.49,28.1114,3473.058865,2158.05,2.26,time_stop,87.2,27.49,36.9,23.9,84
AOS,2020-10-02,2020-10-05,2020-12-29,48.99,49.4654,1992.905418,947.41,0.97,time_stop,78.57,48.99,66.99,42.42,85
MTB,2021-01-01,2021-01-06,2021-04-01,110.13,130.7049,895.122581,18417.07,18.68,time_stop,81.49,110.13,145.97,98.371,85
KMI,2021-04-23,2021-04-26,2021-07-20,12.67,13.2517,9234.16864,5371.97,4.59,time_stop,77.08,12.67,17.1,11.7906,85
EQIX,2021-08-27,2021-08-31,2021-10-01,767.19,710.85,159.502712,-8986.38,-7.34,stop,85.61,767.19,1003.98,710.85,31
HII,2021-10-08,2021-10-11,2021-11-11,188.29,170.46,602.16954,-10736.68,-9.47,stop,74.9,188.29,254.05,170.46,31
ZION,2021-11-19,2021-11-22,2021-12-03,57.14,52.298,1796.391665,-8698.21,-8.47,stop,69.09,57.14,74.29,52.298,11
REGN,2021-12-10,2021-12-14,2021-12-20,666.94,598.5771,140.863659,-9629.84,-10.25,stop,88.31,666.94,878.24,598.5771,6
PSX,2022-02-04,2022-02-07,2022-03-15,76.26,65.6581,1105.661753,-11722.08,-13.9,stop,77.93,76.26,101.39,65.6581,36
FTNT,2023-04-07,2023-04-10,2023-07-05,66.72,74.31,1088.064821,8258.41,11.38,time_stop,88.42,66.72,87.67,57.63,86
MA,2023-06-30,2023-07-05,2023-09-27,388.27,389.139,208.24193,180.97,0.22,time_stop,83.97,388.27,507.02,351.6,84
AIZ,2023-09-22,2023-09-27,2023-12-20,140.22,158.4313,577.913738,10524.54,12.99,time_stop,80.68,140.22,187.08,127.35,84
LYV,2023-12-15,2023-12-20,2024-03-18,93.71,104.38,977.052622,10425.15,11.39,time_stop,76.07,93.71,124.27,81.38,89
T,2024-05-24,2024-05-30,2024-08-23,16.04,18.2377,6358.151495,13973.55,13.7,time_stop,75.61,16.04,21.01,14.52,85
ES,2024-08-30,2024-09-05,2024-11-04,62.67,58.16,1850.299967,-8344.85,-7.2,stop,83.38,62.67,81.49,58.16,60
PODD,2024-11-08,2024-11-11,2025-02-07,275.52,283.08,390.583065,2952.8,2.74,time_stop,75.71,275.52,359.31,225.37,88
PAYC,2025-02-21,2025-02-24,2025-04-07,215.2,190.8476,513.783684,-12511.86,-11.32,stop,80.81,215.2,290.55,190.8476,42
DLR,2025-07-18,2025-07-21,2025-08-21,174.99,160.11,560.342828,-8337.9,-8.5,stop,86.93,174.99,229.62,160.11,31
AMZN,2025-09-05,2025-09-08,2025-10-17,236.53,211.42,379.302796,-9524.29,-10.62,stop,83.25,236.53,311.68,211.42,39
HUBB,2025-10-24,2025-10-29,2026-01-26,449.12,484.0466,178.554055,6236.29,7.78,time_stop,82.58,449.12,606.07,397.244,89
PHM,2026-02-13,2026-02-17,2026-03-19,143.35,115.8,602.91931,-16610.43,-19.22,stop,80.7,143.35,189.8,115.8,30
