Date,Equity,Cash,PositionValue,OpenPositions,OpenWatches
2020-01-02,100000.0,100000.0,0.0,0,1
2020-01-03,100000.0,100000.0,0.0,0,0
2020-01-06,100000.0,100000.0,0.0,0,1
2020-01-07,100314.65395348547,0.0,100314.65395348547,1,0
2020-01-08,101993.57394165588,0.0,101993.57394165588,1,0
2020-01-09,101723.38290987138,0.0,101723.38290987138,1,0
2020-01-10,101448.40909137993,0.0,101448.40909137993,1,0
2020-01-13,98182.25133264136,0.0,98182.25133264136,1,0
2020-01-14,98992.79205718807,0.0,98992.79205718807,1,0
2020-01-15,100459.38383075608,0.0,100459.38383075608,1,0
2020-01-16,101771.63969013108,0.0,101771.63969013108,1,0
2020-01-17,102529.0761060975,0.0,102529.0761060975,1,0
2020-01-21,102760.67304345663,0.0,102760.67304345663,1,0
2020-01-22,101921.21709572227,0.0,101921.21709572227,1,0
2020-01-23,102615.9269807826,0.0,102615.9269807826,1,0
2020-01-24,99388.37140917113,0.0,99388.37140917113,1,0
2020-01-27,96464.75343544898,0.0,96464.75343544898,1,0
2020-01-28,99060.31756020451,0.0,99060.31756020451,1,0
2020-01-29,97714.29085661958,0.0,97714.29085661958,1,0
2020-01-30,95036.71529279782,0.0,95036.71529279782,1,0
2020-01-31,92812.65473245656,0.0,92812.65473245656,1,0
2020-02-03,92518.36363499817,0.0,92518.36363499817,1,0
2020-02-04,94974.01303999683,0.0,94974.01303999683,1,0
2020-02-05,99615.10463280627,0.0,99615.10463280627,1,0
2020-02-06,102210.68494296522,0.0,102210.68494296522,1,0
2020-02-07,100792.28520804328,0.0,100792.28520804328,1,0
2020-02-10,101467.71827764518,0.0,101467.71827764518,1,0
2020-02-11,103812.37627877634,0.0,103812.37627877634,1,0
2020-02-12,107372.8251349733,0.0,107372.8251349733,1,0
2020-02-13,107049.57835081873,0.0,107049.57835081873,1,0
2020-02-14,106301.78843528323,0.0,106301.78843528323,1,0
2020-02-18,107078.5259448132,0.0,107078.5259448132,1,0
2020-02-19,106832.48353491281,0.0,106832.48353491281,1,0
2020-02-20,106335.55118679146,0.0,106335.55118679146,1,0
2020-02-21,104782.09235313493,0.0,104782.09235313493,1,0
2020-02-24,96662.56334319476,0.0,96662.56334319476,1,0
2020-02-25,92513.55657018612,0.0,92513.55657018612,1,0
2020-02-26,91084.59294616812,91084.59294616812,0.0,0,1
2020-02-27,91084.59294616812,91084.59294616812,0.0,0,0
2020-02-28,91084.59294616812,91084.59294616812,0.0,0,0
2020-03-02,91084.59294616812,91084.59294616812,0.0,0,1
2020-03-03,91084.59294616812,91084.59294616812,0.0,0,1
2020-03-04,91765.98681927599,0.0,91765.98681927599,1,0
2020-03-05,99205.71263455771,0.0,99205.71263455771,1,0
2020-03-06,94967.13767588226,0.0,94967.13767588226,1,0
2020-03-09,92625.55701701474,0.0,92625.55701701474,1,0
2020-03-10,96626.99558777259,0.0,96626.99558777259,1,0
2020-03-11,90669.3189550328,0.0,90669.3189550328,1,0
2020-03-12,86312.21775059616,0.0,86312.21775059616,1,0
2020-03-13,91024.99449584933,0.0,91024.99449584933,1,0
2020-03-16,92180.95775081743,0.0,92180.95775081743,1,0
2020-03-17,97812.61299167201,0.0,97812.61299167201,1,0
2020-03-18,100509.85628421832,0.0,100509.85628421832,1,0
2020-03-19,101310.1246376633,0.0,101310.1246376633,1,0
2020-03-20,94166.85641529955,0.0,94166.85641529955,1,0
2020-03-23,92121.68172079911,0.0,92121.68172079911,1,0
2020-03-24,89365.136583959,0.0,89365.136583959,1,0
2020-03-25,82814.66738319167,0.0,82814.66738319167,1,0
2020-03-26,85956.51639550416,0.0,85956.51639550416,1,0
2020-03-27,86341.83963168315,0.0,86341.83963168315,1,0
2020-03-30,87883.1325763991,0.0,87883.1325763991,1,0
2020-03-31,89276.23867285368,0.0,89276.23867285368,1,0
2020-04-01,90402.5413253216,0.0,90402.5413253216,1,0
2020-04-02,93662.9682119462,0.0,93662.9682119462,1,0
2020-04-03,95708.14290644664,0.0,95708.14290644664,1,0
2020-04-06,96715.90640601564,0.0,96715.90640601564,1,0
2020-04-07,94433.61468430416,0.0,94433.61468430416,1,0
2020-04-08,91943.83427003755,0.0,91943.83427003755,1,0
2020-04-09,92062.39278364305,0.0,92062.39278364305,1,0
2020-04-13,92862.68049779462,0.0,92862.68049779462,1,0
2020-04-14,95115.34388485023,0.0,95115.34388485023,1,0
2020-04-15,94937.5093412264,0.0,94937.5093412264,1,0
2020-04-16,94700.36649973992,0.0,94700.36649973992,1,0
2020-04-17,94641.09046972159,0.0,94641.09046972159,1,0
2020-04-20,94641.09046972159,0.0,94641.09046972159,1,0
